Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NAT,2004-10-12,Y,34.75,34.5,34.75,31.15,-10.35,32.99,-5.06,3,37.6,31.15,-10.35,37.46,7.79
NAT,2005-01-26,Y,44.12,44.37,45.7,44.13,3.58,45.52,3.17,23,53.69,44.13,21.69,50.4,14.23
NAT,2005-04-29,Y,46.6,45.1,46.24,44.54,-4.42,45.65,-2.03,21,57.51,39.04,23.41,41.14,-11.71
NAT,2005-08-02,Y,46.0,45.5,45.51,44.26,-3.78,44.92,-2.34,17,45.67,38.5,-16.3,40.0,-13.04
NAT,2005-10-10,N,35.79,35.4,35.5,34.5,-3.63,35.25,-1.53,11,37.29,30.84,-13.85,31.93,-10.81
NAT,2006-02-07,N,34.34,35.85,36.81,35.2,7.19,35.6,3.66,10,36.92,32.0,7.51,32.82,-4.42
NAT,2006-05-02,N,33.08,34.88,35.11,33.44,6.13,34.78,5.13,17,35.99,30.45,8.79,30.45,-7.95
NAT,2006-08-04,N,40.06,40.22,40.79,39.61,1.82,39.9,-0.39,14,41.7,35.0,-12.63,35.39,-11.65
NAT,2006-11-03,N,34.6,35.75,36.0,34.99,4.04,35.72,3.26,14,36.4,32.5,-6.06,33.24,-3.93
NAT,2007-02-14,N,37.53,36.0,37.0,35.22,-6.15,35.44,-5.56,2,37.0,35.22,-6.15,36.5,-2.74
NAT,2007-05-14,Y,40.29,40.98,40.98,40.29,1.71,40.57,0.69,4,40.98,39.61,1.71,39.69,-1.48
NAT,2007-08-09,Y,38.7,37.0,39.0,37.0,-4.39,38.94,0.62,8,39.5,32.0,-17.31,36.58,-5.47
NAT,2007-11-05,N,37.9,36.7,37.79,36.5,-3.71,36.92,-2.61,11,37.79,31.69,-16.4,32.36,-14.63
NAT,2008-02-12,N,31.02,30.83,30.83,29.32,-5.48,29.57,-4.67,3,31.48,29.32,-5.48,30.29,-2.35
NAT,2008-05-23,Y,38.04,37.81,38.5,37.67,1.2,38.31,0.7,28,40.45,34.5,-9.3,39.01,2.54
NAT,2008-08-08,N,38.24,37.28,37.7,36.65,-4.15,37.11,-2.95,7,40.35,36.65,5.51,39.36,2.95
NAT,2008-11-07,N,28.9,30.1,33.45,29.38,15.74,31.31,8.33,14,35.31,24.03,22.17,25.79,-10.76
NAT,2009-02-13,N,29.62,30.3,30.73,28.25,-4.62,30.2,1.95,7,30.73,28.05,-5.3,28.82,-2.7
NAT,2009-05-05,N,36.49,36.49,38.1,35.0,4.41,36.39,-0.27,10,38.1,31.27,-14.3,33.9,-7.07
NAT,2009-08-07,Y,29.93,29.52,29.95,29.51,-1.4,29.94,0.03,14,31.24,29.51,4.37,30.25,1.06
NAT,2009-11-09,Y,29.06,29.09,29.5,29.05,1.51,29.25,0.65,11,32.31,28.86,11.18,31.99,10.08
NAT,2010-02-12,N,28.81,28.11,28.88,28.0,-2.81,28.88,0.24,7,29.68,28.0,3.01,29.47,2.29
NAT,2010-05-10,Y,29.68,29.49,30.35,29.49,2.25,29.83,0.5,11,31.28,27.15,-8.52,28.1,-5.32
NAT,2010-08-06,N,29.22,29.61,29.93,29.22,2.42,29.75,1.81,14,29.93,27.68,-5.27,27.97,-4.27
NAT,2010-11-08,Y,27.27,26.92,27.19,26.65,-2.27,26.75,-1.9,11,27.2,26.59,-2.49,26.68,-2.16
NAT,2011-02-14,Y,24.75,24.61,24.65,24.07,-2.74,24.17,-2.34,4,25.0,24.07,-2.74,24.88,0.52
NAT,2011-05-09,Y,24.47,24.7,24.7,24.26,0.93,24.51,0.16,11,24.75,23.4,-4.37,24.05,-1.71
NAT,2011-08-08,N,14.79,13.04,14.07,13.02,-11.96,13.44,-9.12,11,15.64,13.02,-11.96,13.81,-6.62
NAT,2011-11-07,Y,11.32,11.57,11.61,11.21,2.56,11.52,1.76,11,12.09,11.21,6.8,11.85,4.68
NAT,2012-02-13,Y,11.6,11.68,11.9,11.54,2.58,11.76,1.37,4,12.85,11.54,10.77,12.66,9.13
NAT,2012-05-07,Y,11.46,11.61,11.92,11.49,4.01,11.87,3.57,11,12.18,11.49,6.28,11.53,0.61
NAT,2012-08-07,N,10.28,10.39,11.16,10.39,8.56,11.0,7.0,10,11.49,10.39,11.77,11.28,9.72
NAT,2012-11-15,N,7.44,7.45,7.96,7.44,6.98,7.73,3.89,1,7.97,7.44,7.12,7.87,5.77
NAT,2013-02-11,N,8.3,8.34,8.36,8.26,0.72,8.36,0.72,4,8.68,8.26,4.57,8.31,0.12
NAT,2013-05-13,Y,8.34,8.38,8.56,8.31,2.63,8.36,0.23,4,8.77,8.28,5.15,8.61,3.23
NAT,2013-08-27,N,7.79,7.64,8.07,7.61,3.59,7.64,-1.92,24,8.43,7.5,8.21,7.93,1.79
NAT,2013-11-11,Y,9.05,9.05,9.16,8.61,-4.86,8.74,-3.42,4,9.16,8.61,-4.86,8.94,-1.21
NAT,2014-02-10,Y,9.69,9.72,10.13,9.6,4.54,9.93,2.47,11,10.23,9.58,5.57,10.17,4.95
NAT,2014-05-12,Y,8.65,8.44,8.99,8.44,3.93,8.94,3.46,4,8.99,8.27,-4.27,8.3,-4.04
NAT,2014-08-11,N,8.72,8.77,9.18,8.76,5.27,9.0,3.21,4,9.18,8.6,5.27,8.98,2.98
NAT,2014-11-10,N,8.44,8.66,8.88,8.44,5.21,8.68,2.84,12,9.25,8.09,9.59,9.18,8.76
NAT,2015-02-09,N,10.01,10.06,10.06,9.15,-8.59,9.41,-5.99,11,10.67,9.15,-8.59,10.26,2.49
NAT,2015-05-11,N,11.34,11.79,12.18,11.61,7.4,11.64,2.64,4,12.48,11.61,10.05,12.45,9.78
NAT,2015-08-10,N,14.87,15.08,15.08,14.17,-4.7,14.47,-2.68,11,15.28,13.51,-9.14,13.91,-6.45
NAT,2015-11-11,N,15.16,15.3,15.8,14.87,4.22,15.05,-0.72,9,15.8,14.85,4.22,15.17,0.06
NAT,2016-02-08,N,11.25,10.69,12.89,9.94,14.57,11.95,6.22,11,13.88,9.94,23.37,12.85,14.22
NAT,2016-05-09,N,15.28,15.35,16.18,15.31,5.89,15.98,4.58,11,16.18,13.14,-14.0,13.96,-8.63
NAT,2016-08-08,N,12.04,12.5,12.52,12.08,3.98,12.47,3.57,11,12.52,10.87,-9.71,10.89,-9.55
NAT,2016-11-10,N,7.99,8.66,9.36,8.36,17.14,9.19,15.14,8,9.6,8.36,20.15,9.06,13.39
NAT,2017-02-06,N,8.35,8.44,8.72,8.44,4.43,8.68,3.95,11,8.82,8.22,5.62,8.34,-0.11
NAT,2017-05-08,N,7.07,6.85,7.0,6.51,-7.92,6.78,-4.1,14,7.48,6.51,-7.92,7.03,-0.56
NAT,2017-08-07,N,5.71,5.6,5.87,5.58,2.8,5.61,-1.75,14,5.87,4.7,-17.68,4.99,-12.6
NAT,2017-11-09,N,4.26,4.2,4.53,4.2,6.33,4.28,0.46,9,4.53,4.0,6.33,4.15,-2.58
NAT,2018-02-12,N,1.97,1.94,2.17,1.93,11.85,2.16,11.34,7,2.25,1.96,14.21,2.18,10.65
NAT,2018-05-14,N,2.04,2.04,2.04,2.01,-1.47,2.03,-0.49,7,2.3,2.0,12.74,2.13,4.41
NAT,2018-08-14,N,2.3,2.3,2.33,2.15,-6.52,2.15,-6.52,4,2.33,2.02,-12.17,2.07,-10.0
NAT,2018-11-12,N,3.38,3.22,3.25,2.91,-13.9,2.96,-12.42,7,3.25,2.79,-17.45,2.88,-14.79
NAT,2019-02-19,Y,2.23,2.1,2.31,2.08,-6.72,2.28,2.24,24,2.38,2.01,-9.86,2.04,-8.52
NAT,2019-05-15,Y,2.4,2.48,2.7,2.47,12.5,2.66,10.83,2,2.76,2.47,14.99,2.59,7.91
NAT,2019-08-16,N,1.75,1.77,1.8,1.71,2.85,1.76,0.57,1,1.84,1.71,5.14,1.76,0.57
NAT,2019-11-25,Y,3.71,3.69,3.72,3.6,-2.96,3.6,-2.96,25,4.96,3.42,33.69,4.87,31.26
NAT,2020-02-19,N,3.27,3.31,3.35,3.25,2.44,3.33,1.83,3,3.42,3.15,4.58,3.27,0.0
NAT,2020-05-18,N,5.03,5.25,5.25,4.75,-5.56,4.84,-3.77,35,5.4,4.27,-15.1,4.45,-11.53
NAT,2020-08-17,N,4.5,4.63,4.63,4.34,-3.55,4.42,-1.77,7,4.63,4.22,-6.22,4.32,-3.99
NAT,2021-02-26,N,3.2,3.16,3.28,2.95,-7.81,2.97,-7.18,22,3.72,2.95,16.25,3.65,14.06
NAT,2021-05-25,N,3.57,3.59,3.67,3.47,2.8,3.6,0.84,25,3.81,3.38,6.72,3.44,-3.64
NAT,2021-08-30,N,2.33,2.35,2.37,2.24,-3.86,2.26,-3.0,21,2.62,2.24,12.44,2.37,1.71
NAT,2021-11-24,N,1.91,1.87,1.94,1.86,-2.61,1.92,0.52,24,2.1,1.77,9.94,1.83,-4.18
NAT,2022-02-25,N,1.71,1.75,1.95,1.73,14.03,1.92,12.28,22,2.54,1.73,48.53,1.92,12.28
NAT,2022-05-31,N,2.3,2.32,2.32,2.01,-12.6,2.05,-10.86,21,2.32,1.87,-18.69,1.89,-17.82
NAT,2022-08-30,N,2.7,2.57,2.58,2.33,-13.7,2.41,-10.74,18,3.45,2.33,27.77,3.11,15.18
NAT,2022-11-30,N,3.47,3.58,3.64,3.38,4.89,3.62,4.32,17,3.85,3.01,-13.25,3.49,0.57
NAT,2023-02-27,N,3.8,3.86,4.32,3.86,13.68,4.25,11.84,21,4.65,3.64,22.36,3.68,-3.15
