Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NC,2002-02-21,Y,55.25,55.0,55.0,53.9,-2.44,54.5,-1.35,22,65.34,53.9,18.26,64.59,16.92
NC,2002-04-24,Y,69.83,69.59,70.09,69.37,-0.65,69.95,0.17,23,76.2,69.37,9.12,73.73,5.58
NC,2002-07-23,Y,44.72,44.73,44.73,43.7,-2.28,44.65,-0.15,24,50.15,43.47,12.14,47.94,7.2
NC,2002-10-24,Y,38.2,38.38,43.75,38.38,14.52,42.56,11.41,22,45.66,38.38,19.52,45.52,19.16
NC,2003-02-19,Y,39.2,38.95,38.95,37.9,-3.31,37.99,-3.08,2,40.0,37.9,-3.31,40.0,2.04
NC,2003-04-23,Y,52.0,51.9,52.5,51.4,-1.15,51.7,-0.57,23,61.19,51.0,17.67,58.63,12.75
NC,2003-07-23,Y,64.2,65.0,68.8,65.0,7.16,68.2,6.23,23,73.59,65.0,14.62,71.15,10.82
NC,2003-10-24,Y,71.0,72.59,81.05,72.59,14.15,79.25,11.61,28,83.05,72.59,16.97,75.87,6.85
NC,2004-02-18,Y,88.55,86.75,86.75,86.75,2.03,86.75,-2.03,2,87.0,81.54,-7.91,82.07,-7.31
NC,2004-04-21,Y,87.0,87.05,87.05,87.05,0.05,87.05,0.05,30,89.25,83.67,-3.82,85.95,-1.2
NC,2004-08-06,Y,84.51,84.5,84.51,81.29,-3.81,81.55,-3.5,14,84.51,79.78,-5.59,81.29,-3.81
NC,2004-11-04,Y,101.5,102.0,104.74,101.77,3.19,102.5,0.98,15,104.74,98.6,3.19,99.85,-1.62
NC,2005-03-15,Y,109.5,109.25,109.26,105.52,-3.63,106.85,-2.42,3,109.26,104.7,-4.38,104.72,-4.36
NC,2005-05-04,Y,104.9,105.15,105.34,104.75,0.41,105.14,0.22,16,105.67,96.41,-8.09,102.41,-2.37
NC,2005-08-08,Y,112.52,112.53,114.43,112.53,1.69,113.26,0.65,11,116.26,105.8,-5.97,107.5,-4.46
NC,2005-11-03,Y,118.4,118.65,119.55,118.36,0.97,118.4,,15,119.88,112.49,-4.99,116.25,-1.81
NC,2006-02-28,Y,138.8,138.8,144.75,137.65,4.28,144.72,4.26,17,148.9,137.65,7.27,148.9,7.27
NC,2006-05-03,Y,168.03,168.03,171.75,168.0,2.21,170.7,1.58,16,172.45,149.0,-11.32,149.82,-10.83
NC,2006-08-02,Y,141.19,141.19,142.99,138.63,-1.81,140.07,-0.79,16,142.99,124.35,-11.92,133.65,-5.34
NC,2006-11-02,Y,149.19,148.65,149.99,138.16,-7.39,140.0,-6.15,15,152.94,138.16,-7.39,150.0,0.54
NC,2007-02-28,Y,128.43,135.0,144.0,131.0,12.12,143.22,11.51,16,145.44,131.0,13.24,132.3,3.01
NC,2007-05-01,Y,159.0,158.36,160.94,153.76,-3.29,157.18,-1.14,17,165.88,153.57,4.32,162.72,2.33
NC,2007-08-06,N,115.71,115.79,121.25,113.03,4.78,121.25,4.78,11,131.0,101.0,13.21,123.21,6.48
NC,2007-10-30,N,107.7,107.7,111.0,105.05,3.06,106.7,-0.92,17,111.0,88.04,-18.25,90.57,-15.9
NC,2008-02-26,N,100.82,100.0,100.82,96.61,-4.17,97.12,-3.66,24,100.82,68.84,-31.71,71.08,-29.49
NC,2008-04-30,Y,89.9,89.17,93.78,86.0,-4.33,92.91,3.34,16,95.59,80.06,-10.94,84.2,-6.34
NC,2008-08-07,Y,104.56,99.92,104.79,94.05,-10.05,104.15,-0.39,8,125.5,94.05,20.02,116.97,11.86
NC,2008-11-03,Y,61.91,58.5,58.8,50.71,-18.09,53.83,-13.05,18,58.8,25.88,-58.19,28.94,-53.25
NC,2009-03-13,N,17.79,17.96,21.34,17.12,19.95,21.05,18.32,7,29.54,17.12,66.04,26.44,48.62
NC,2009-05-05,Y,38.36,37.99,39.4,33.28,-13.24,36.61,-4.53,10,39.4,29.51,-23.07,32.36,-15.64
NC,2009-08-05,Y,47.6,47.6,53.34,47.0,12.05,48.05,0.94,16,58.99,47.0,23.92,57.86,21.55
NC,2009-11-04,Y,62.44,63.21,66.84,61.04,7.04,66.65,6.74,16,73.54,50.16,-19.66,52.78,-15.47
NC,2010-03-02,Y,49.59,51.79,56.85,50.15,14.64,55.97,12.86,17,81.75,50.15,64.85,81.47,64.28
NC,2010-05-05,Y,83.33,82.56,91.09,75.01,-9.98,78.41,-5.9,16,114.69,75.01,37.63,93.51,12.21
NC,2010-08-04,Y,91.09,92.55,111.75,92.55,22.68,111.12,21.98,16,112.45,82.65,23.44,85.57,-6.05
NC,2010-11-03,Y,101.42,106.0,112.57,106.0,10.99,112.41,10.83,16,112.57,91.05,10.99,99.61,-1.78
