Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NCR,2002-01-22,N,10.56,9.76,10.25,9.61,-8.99,10.0,-5.3,24,10.7,9.61,-8.99,10.17,-3.69
NCR,2002-04-18,N,10.52,10.03,10.22,9.81,-6.74,10.11,-3.89,1,10.36,9.81,-6.74,10.32,-1.9
NCR,2002-07-25,N,7.73,6.75,7.22,6.2,-19.79,6.5,-15.91,22,7.6,5.72,-26.0,7.5,-2.97
NCR,2002-10-24,N,6.36,6.35,6.35,5.75,-9.59,6.06,-4.71,22,6.35,5.25,-17.45,6.04,-5.03
NCR,2003-01-23,Y,9.88,4.93,9.88,9.44,-4.45,9.75,-1.31,29,9.94,8.46,-14.37,9.76,-1.21
NCR,2003-04-24,N,11.16,5.58,11.16,10.74,-3.76,10.82,-3.04,22,12.1,10.38,8.42,11.76,5.37
NCR,2003-07-24,N,15.16,7.62,15.36,14.53,-4.15,14.53,-4.15,22,15.36,12.88,-15.03,13.66,-9.89
NCR,2003-10-23,N,17.17,8.44,17.1,16.64,-3.08,16.96,-1.22,29,18.3,16.2,6.58,16.34,-4.83
NCR,2004-01-27,N,20.5,10.25,20.5,19.78,-3.51,19.88,-3.02,24,22.95,19.57,11.95,22.62,10.34
NCR,2004-04-29,N,23.0,22.87,22.87,22.87,0.56,22.87,-0.56,22,23.51,22.22,-3.39,23.06,0.26
NCR,2004-07-29,N,24.5,12.06,12.06,10.92,-55.42,11.36,-53.63,22,23.43,10.64,-56.57,22.38,-8.65
NCR,2004-10-28,N,26.38,26.39,27.18,26.21,3.03,26.93,2.08,22,29.0,25.82,9.93,28.44,7.8
NCR,2005-01-27,N,33.85,34.45,34.51,33.5,1.94,34.0,0.44,22,38.5,33.4,13.73,37.6,11.07
NCR,2005-04-28,N,32.97,32.97,33.39,32.44,-1.63,32.9,-0.21,22,38.11,32.44,15.55,37.1,12.49
NCR,2005-07-26,N,34.29,34.31,34.32,33.17,-3.29,33.24,-3.09,24,36.44,33.17,6.23,35.39,3.17
NCR,2005-10-27,N,30.4,30.75,31.27,30.25,2.86,30.33,-0.23,22,31.27,29.09,-4.3,29.75,-2.13
NCR,2006-01-26,N,36.9,37.5,37.92,36.36,2.76,36.81,-0.24,22,39.9,36.36,8.13,39.65,7.47
NCR,2006-04-27,N,43.96,40.75,41.27,37.84,-13.92,39.6,-9.91,22,41.27,37.84,-13.92,39.19,-10.85
NCR,2006-07-27,N,34.63,34.9,35.6,32.02,-7.53,32.68,-5.63,22,35.6,31.64,-8.63,34.96,0.95
NCR,2006-10-26,N,39.38,40.6,40.84,38.06,3.7,39.28,-0.25,22,44.51,38.06,13.02,44.25,12.36
NCR,2007-01-25,N,44.82,45.15,45.85,45.15,2.29,45.44,1.38,22,47.6,45.12,6.2,46.85,4.52
