Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NEWR,2015-02-12,Y,35.85,37.0,38.65,33.03,-7.86,33.75,-5.85,8,38.65,33.03,-7.86,34.89,-2.67
NEWR,2015-05-12,Y,32.75,35.29,35.97,32.04,9.83,32.32,-1.31,3,35.97,30.59,9.83,30.71,-6.22
NEWR,2015-08-06,Y,35.15,36.2,38.86,35.42,10.55,37.54,6.82,15,38.86,31.47,10.55,33.35,-5.12
NEWR,2015-11-05,Y,39.2,38.04,38.26,35.03,-10.63,36.01,-8.13,15,38.4,33.17,-15.38,37.72,-3.75
NEWR,2016-02-04,Y,29.9,29.8,29.8,20.91,-30.06,23.24,-22.27,15,29.8,20.38,-31.83,26.77,-10.46
NEWR,2016-05-10,Y,25.89,24.89,27.12,23.55,-9.03,25.95,0.23,10,27.12,23.55,-9.03,26.69,3.08
NEWR,2016-08-02,Y,33.88,34.0,34.4,31.88,-5.9,33.93,0.14,17,35.97,31.88,6.16,35.43,4.57
NEWR,2016-11-07,Y,34.36,32.85,34.29,30.39,-11.55,34.01,-1.01,11,35.94,30.39,-11.55,33.84,-1.51
NEWR,2017-02-07,Y,36.95,37.6,38.61,35.17,-4.81,35.79,-3.13,10,38.61,34.49,-6.65,35.53,-3.84
NEWR,2017-05-09,Y,41.29,41.7,44.49,41.35,7.75,43.46,5.25,10,44.94,40.6,8.83,42.76,3.56
NEWR,2017-08-03,Y,46.52,46.85,46.85,42.68,-8.25,46.02,-1.07,15,47.05,42.69,-8.23,45.93,-1.26
NEWR,2017-11-07,Y,50.98,53.67,54.79,52.02,7.47,53.65,5.23,10,55.95,51.57,9.74,55.68,9.21
NEWR,2018-02-06,Y,59.3,62.22,66.1,60.95,11.46,64.63,8.98,10,70.92,60.95,19.59,68.34,15.24
NEWR,2018-05-08,Y,77.12,85.0,91.79,84.77,19.02,87.98,14.08,10,95.58,84.77,23.93,94.63,22.7
NEWR,2018-08-07,Y,103.77,103.94,105.75,99.2,-4.4,102.94,-0.79,10,107.23,99.2,-4.4,100.49,-3.16
NEWR,2018-11-06,Y,86.07,92.11,101.16,91.75,17.53,96.11,11.66,10,101.16,81.13,17.53,84.75,-1.53
NEWR,2019-02-06,Y,106.24,100.26,104.49,95.12,-10.46,100.58,-5.32,9,108.0,95.12,-10.46,107.1,0.8
NEWR,2019-05-14,Y,107.11,100.55,103.2,100.0,-6.63,100.82,-5.87,3,103.2,97.39,-9.07,97.53,-8.94
NEWR,2019-08-06,Y,83.76,60.54,63.03,55.6,-33.61,59.78,-28.62,10,65.05,55.6,-33.61,57.5,-31.35
NEWR,2020-02-04,Y,70.77,62.23,69.44,61.03,-13.76,62.93,-11.07,17,69.44,58.8,-16.91,59.48,-15.95
NEWR,2020-05-14,Y,58.28,65.61,66.5,63.24,14.1,63.89,9.62,1,66.5,63.24,14.1,63.89,9.62
NEWR,2020-08-04,Y,73.5,56.13,56.62,53.5,-27.21,55.77,-24.12,17,60.68,52.13,-29.07,57.91,-21.21
NEWR,2020-11-05,Y,65.14,56.17,58.56,54.82,-15.84,55.08,-15.44,15,58.56,52.96,-18.69,56.88,-12.68
NEWR,2021-02-04,Y,80.77,67.0,69.35,64.98,-19.54,67.65,-16.24,15,70.08,62.28,-22.89,63.22,-21.72
NEWR,2021-05-13,Y,56.64,52.9,61.38,51.52,-9.03,59.29,4.67,8,62.43,51.52,10.22,61.46,8.5
NEWR,2021-08-03,Y,68.32,70.87,78.95,70.77,15.55,78.83,15.38,17,82.76,70.77,21.13,73.58,7.69
NEWR,2021-11-08,Y,90.94,120.0,127.5,113.83,40.2,125.97,38.51,11,129.7,113.83,42.62,119.23,31.1
NEWR,2022-02-08,Y,109.18,83.48,88.0,75.31,-31.02,78.23,-28.34,10,88.0,63.8,-41.56,64.98,-40.48
NEWR,2022-05-12,Y,47.82,42.07,48.0,41.66,-12.88,46.6,-2.55,8,48.0,41.66,-12.88,46.62,-2.5
NEWR,2022-08-04,Y,61.32,62.67,68.1,61.25,11.05,67.53,10.12,15,70.4,61.25,14.8,63.35,3.31
NEWR,2022-11-08,Y,52.02,52.09,56.19,52.09,8.01,54.63,5.01,10,62.36,50.41,19.87,51.31,-1.36
NEWR,2023-02-07,Y,64.58,77.5,80.88,75.31,25.24,76.5,18.45,10,80.88,73.65,25.24,75.49,16.89
