Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NJR,2002-01-23,Y,20.05,20.05,20.23,19.8,-1.29,20.14,0.44,23,20.79,19.51,3.63,20.69,3.14
NJR,2002-04-24,Y,21.24,21.27,21.41,20.95,-1.36,21.28,0.18,23,21.74,20.34,-4.23,20.61,-2.96
NJR,2002-07-24,Y,18.12,18.18,18.68,18.18,3.09,18.55,2.42,23,21.61,18.18,19.26,21.33,17.71
NJR,2002-10-30,N,21.01,21.16,21.27,21.04,1.23,21.24,1.09,16,21.27,19.92,-5.18,20.82,-0.9
NJR,2003-01-28,N,20.03,20.21,21.55,20.2,7.58,21.23,5.99,24,21.7,20.2,8.33,21.41,6.88
NJR,2003-04-24,N,22.93,22.94,23.15,22.71,0.95,22.89,-0.17,22,23.19,21.73,-5.23,21.73,-5.23
NJR,2003-07-24,N,23.49,23.58,23.57,23.1,-1.66,23.17,-1.36,22,23.8,22.47,-4.34,23.27,-0.93
NJR,2003-10-28,Y,24.67,24.51,24.89,24.5,0.89,24.77,0.4,24,25.8,24.37,4.58,24.89,0.89
NJR,2004-01-28,N,25.87,26.05,26.15,25.57,-1.15,25.6,-1.04,23,26.67,24.53,-5.17,25.81,-0.23
NJR,2004-04-28,Y,25.63,25.33,25.33,25.33,1.17,25.33,-1.17,23,25.95,24.33,-5.07,25.27,-1.4
NJR,2004-07-26,N,27.31,27.4,27.44,27.17,-0.51,27.17,-0.51,25,27.44,26.41,-3.29,26.77,-1.97
NJR,2004-10-27,N,27.51,27.53,27.97,27.51,1.67,27.97,1.67,23,28.69,27.27,4.28,28.03,1.89
NJR,2005-01-26,Y,28.79,28.73,29.01,28.65,0.76,28.83,0.13,23,29.77,28.65,3.4,29.17,1.31
NJR,2005-04-27,Y,29.51,29.51,29.51,28.86,-2.2,29.08,-1.45,23,30.68,28.42,3.96,29.7,0.64
NJR,2005-07-27,Y,31.69,31.5,31.54,31.05,-2.01,31.44,-0.78,23,31.69,29.62,-6.53,30.18,-4.76
