Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NKTR,2002-01-23,Y,15.85,15.75,15.76,14.59,-7.94,14.83,-6.43,23,15.76,12.04,-24.03,12.88,-18.73
NKTR,2002-02-14,Y,13.05,13.03,13.21,12.04,-7.73,12.88,-1.3,1,13.21,12.04,-7.73,12.88,-1.3
NKTR,2002-04-25,Y,8.3,8.26,8.36,8.02,-3.25,8.13,-2.04,22,8.65,6.35,-23.49,7.35,-11.44
NKTR,2002-05-02,Y,8.27,8.31,8.5,7.76,-6.28,8.19,-0.96,15,8.5,6.35,-23.3,7.35,-11.23
NKTR,2002-07-23,Y,7.01,7.01,7.58,6.8,8.13,7.4,5.56,24,8.4,6.5,19.82,7.5,6.99
NKTR,2002-07-29,N,7.22,7.23,7.69,7.12,6.5,7.69,6.5,18,8.4,6.5,16.34,7.5,3.87
NKTR,2002-10-22,Y,5.66,5.67,5.71,5.5,-2.82,5.64,-0.35,24,7.96,5.5,40.63,7.96,40.63
NKTR,2003-01-28,Y,7.85,7.49,7.53,6.06,-22.8,6.18,-21.27,24,7.53,4.58,-41.65,5.43,-30.82
NKTR,2003-04-22,Y,8.0,8.0,8.4,8.0,5.0,8.15,1.87,24,8.46,7.55,5.75,7.78,-2.74
NKTR,2003-07-31,Y,8.84,8.78,9.0,8.5,-3.84,8.5,-3.84,15,9.0,6.78,-23.3,8.85,0.11
NKTR,2003-10-29,Y,13.39,13.47,13.69,12.9,-3.65,13.1,-2.16,23,14.5,12.45,8.28,12.65,-5.52
NKTR,2004-02-02,Y,16.91,17.26,17.45,16.72,3.19,17.03,0.7,18,20.04,16.72,18.5,18.47,9.22
NKTR,2004-04-14,Y,21.48,21.31,21.59,20.65,-3.86,21.07,-1.9,2,21.79,20.65,-3.86,21.56,0.37
NKTR,2004-07-19,Y,16.89,16.8,17.11,16.73,1.24,17.1,1.18,32,17.68,9.05,-46.44,13.15,-22.18
NKTR,2004-10-28,N,14.87,14.67,14.81,14.48,-2.62,14.66,-1.41,22,16.73,14.07,12.5,15.09,1.47
NKTR,2005-03-01,Y,17.7,18.73,18.89,17.11,6.72,17.55,-0.79,17,18.89,13.32,-24.74,13.46,-23.95
NKTR,2005-05-09,Y,14.51,14.53,15.89,14.34,9.51,15.64,7.78,11,17.23,14.34,18.74,17.04,17.43
NKTR,2005-07-27,Y,18.63,18.78,18.96,18.39,1.77,18.6,-0.16,23,19.3,16.72,-10.25,16.82,-9.71
NKTR,2005-11-03,Y,15.18,15.5,15.96,15.32,5.13,15.87,4.54,15,16.26,15.23,7.11,16.16,6.45
NKTR,2006-02-28,Y,20.91,20.46,20.65,19.91,-4.78,20.53,-1.81,17,20.73,18.95,-9.37,19.1,-8.65
NKTR,2006-05-10,Y,22.3,22.41,22.47,20.85,-6.5,21.49,-3.63,9,22.47,18.94,-15.06,19.7,-11.65
NKTR,2006-08-03,Y,16.54,16.78,17.09,16.14,3.32,16.29,-1.51,15,17.51,15.81,5.86,17.32,4.77
NKTR,2006-11-02,Y,14.01,14.71,14.75,14.21,5.28,14.38,2.64,15,16.29,14.21,16.27,16.19,15.56
NKTR,2007-02-28,Y,11.86,11.75,11.92,11.3,-4.72,11.72,-1.18,16,12.0,11.03,-6.99,11.38,-4.04
NKTR,2007-05-09,Y,11.15,12.45,12.45,11.7,11.65,11.79,5.73,9,12.45,11.21,11.65,11.4,2.24
NKTR,2007-08-08,Y,9.24,8.9,10.5,8.9,13.63,9.59,3.78,9,10.5,8.15,13.63,8.73,-5.51
NKTR,2007-11-07,Y,5.22,5.13,5.55,5.12,6.32,5.45,4.4,9,6.89,5.12,31.99,6.49,24.32
NKTR,2008-02-27,Y,6.46,7.0,7.2,6.71,11.45,7.13,10.37,23,7.25,6.08,12.22,6.65,2.94
NKTR,2008-05-07,Y,5.22,5.08,5.08,4.47,-14.36,4.62,-11.49,9,5.12,4.45,-14.75,4.63,-11.11
NKTR,2008-08-06,Y,5.2,5.05,5.19,4.3,-17.3,4.41,-15.19,9,5.21,4.3,-17.3,4.62,-11.15
NKTR,2008-11-06,Y,4.84,4.68,5.34,4.4,10.33,4.73,-2.27,15,5.34,2.93,-39.46,3.74,-22.72
NKTR,2009-02-24,Y,4.84,4.79,5.09,4.54,-6.39,4.54,-6.39,24,5.09,4.0,-17.52,4.59,-5.36
NKTR,2009-05-06,Y,5.35,5.4,5.57,5.24,4.11,5.31,-0.74,9,6.59,5.0,23.17,6.03,12.71
NKTR,2009-08-04,Y,7.58,7.58,7.75,6.95,-8.31,7.35,-3.03,17,7.88,6.82,-10.02,7.61,0.39
