Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NMM,2009-01-28,Y,7.85,7.87,8.15,7.87,3.82,7.99,1.78,23,8.72,6.3,-19.74,6.72,-14.39
NMM,2010-04-28,Y,19.42,19.62,19.68,18.8,-3.19,18.82,-3.03,23,19.68,12.17,-37.33,15.08,-22.34
NMM,2010-07-26,Y,18.14,18.14,18.26,17.85,-1.59,17.94,-1.1,25,18.55,16.57,-8.65,17.63,-2.81
NMM,2010-10-26,Y,18.71,18.98,18.98,18.63,1.44,18.79,0.42,24,19.5,18.09,4.22,18.64,-0.32
NMM,2011-01-24,Y,19.45,19.45,19.59,18.61,-4.31,18.64,-4.11,25,20.0,18.57,-4.52,19.72,1.38
NMM,2011-04-20,Y,20.55,20.51,21.05,20.49,2.43,20.99,2.14,30,21.56,18.63,-9.34,19.23,-6.42
NMM,2011-07-27,Y,16.45,16.38,16.53,16.2,-1.51,16.39,-0.36,23,16.53,11.06,-32.76,14.5,-11.85
NMM,2011-10-24,Y,12.46,12.52,12.52,12.2,-2.08,12.37,-0.72,25,12.9,11.06,-11.23,11.63,-6.66
NMM,2012-01-26,N,12.42,12.51,12.77,12.46,2.81,12.53,0.88,22,13.2,12.42,6.28,12.98,4.5
NMM,2012-04-26,Y,12.6,12.73,12.89,12.62,2.3,12.83,1.82,22,13.26,9.44,-25.07,9.49,-24.68
NMM,2012-07-26,Y,11.76,11.79,12.4,11.79,5.44,12.1,2.89,22,12.55,11.68,6.71,12.1,2.89
NMM,2012-10-23,Y,12.96,13.02,13.1,12.94,1.08,12.99,0.23,24,13.4,10.42,-19.59,11.84,-8.64
NMM,2013-01-24,N,12.71,13.02,13.1,12.8,3.06,12.83,0.94,22,13.1,11.9,-6.37,12.54,-1.33
NMM,2013-04-25,Y,13.38,13.52,13.52,13.25,1.04,13.34,-0.29,22,13.91,13.25,3.96,13.71,2.46
NMM,2013-07-25,Y,14.04,14.18,14.18,13.88,-1.13,14.04,,22,14.26,13.15,-6.33,13.38,-4.7
NMM,2013-10-31,Y,15.63,16.32,16.98,16.16,8.63,16.5,5.56,15,17.1,15.95,9.4,16.62,6.33
NMM,2014-01-29,Y,18.44,18.64,18.68,18.14,-1.62,18.28,-0.86,23,18.68,16.34,-11.38,16.78,-9.0
NMM,2014-04-29,Y,18.89,18.94,19.19,18.82,1.58,18.93,0.21,17,19.19,18.05,-4.44,18.27,-3.28
NMM,2014-07-29,Y,19.3,19.48,19.75,19.36,2.33,19.75,2.33,17,20.29,18.61,5.12,20.05,3.93
NMM,2014-10-27,N,16.45,16.61,16.61,15.92,-3.22,15.95,-3.03,26,17.09,12.55,-23.7,13.62,-17.2
NMM,2015-02-02,N,11.69,12.18,13.18,12.18,12.74,12.99,11.12,18,14.19,11.65,21.38,12.48,6.75
NMM,2015-05-04,N,13.17,12.93,13.0,12.09,-8.2,12.53,-4.85,11,13.0,10.51,-20.19,10.98,-16.62
NMM,2015-08-20,N,8.61,8.6,8.61,7.64,-11.26,7.92,-8.01,1,8.61,6.91,-19.74,6.96,-19.16
NMM,2015-11-03,N,7.14,5.75,6.2,5.13,-28.15,5.79,-18.9,17,6.2,3.96,-44.53,3.99,-44.11
NMM,2016-02-03,N,2.17,1.36,1.6,1.25,-42.39,1.55,-28.57,16,1.6,0.79,-63.59,1.08,-50.23
NMM,2016-05-12,Y,1.32,1.29,1.42,1.26,7.57,1.36,3.03,8,1.51,1.26,14.39,1.34,1.51
