Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NOVN,2017-05-08,N,4.98,4.95,5.29,4.84,6.22,5.17,3.81,14,5.29,4.7,6.22,5.03,1.0
NOVN,2017-08-11,N,4.33,4.3,4.3,4.09,-5.54,4.3,-0.69,8,4.39,3.88,-10.39,3.99,-7.85
NOVN,2017-11-10,N,5.89,5.85,5.85,5.59,-5.09,5.71,-3.05,8,5.9,5.21,-11.54,5.57,-5.43
NOVN,2018-05-11,N,3.11,3.13,3.15,3.12,1.28,3.14,0.96,8,3.32,3.11,6.75,3.12,0.32
NOVN,2018-08-09,N,2.76,2.66,2.79,2.65,-3.98,2.67,-3.26,9,2.79,2.42,-12.31,2.45,-11.23
NOVN,2018-11-08,N,2.66,2.65,2.69,2.57,-3.38,2.67,0.37,9,2.7,2.33,-12.4,2.43,-8.64
NOVN,2019-03-27,N,1.39,1.4,1.55,1.21,-12.94,1.34,-3.59,23,1.55,0.65,-53.23,0.78,-43.88
NOVN,2019-05-15,Y,1.39,1.43,1.44,1.35,3.59,1.41,1.43,2,1.74,1.35,25.17,1.68,20.86
NOVN,2019-08-12,N,2.66,2.53,2.6,2.53,-4.88,2.55,-4.13,7,2.65,2.3,-13.53,2.4,-9.77
NOVN,2020-03-30,Y,0.47,0.48,0.48,0.42,-10.63,0.47,0.0,18,0.5,0.34,-27.65,0.39,-17.02
NOVN,2020-05-20,N,0.37,0.41,0.49,0.36,32.43,0.46,24.32,31,0.89,0.36,140.54,0.47,27.02
NOVN,2020-08-11,N,0.66,0.68,0.69,0.61,-7.57,0.62,-6.06,11,0.69,0.47,-28.78,0.49,-25.75
NOVN,2021-02-25,N,1.76,1.71,1.75,1.56,-11.36,1.6,-9.09,23,2.08,1.12,-36.36,1.63,-7.38
NOVN,2021-08-12,N,8.36,8.23,10.58,8.2,26.55,9.65,15.43,9,10.58,8.18,26.55,8.79,5.14
NOVN,2021-11-10,N,7.09,7.06,7.22,6.53,-7.89,6.6,-6.91,10,7.22,5.37,-24.25,5.52,-22.14
NOVN,2022-02-22,N,3.93,3.65,3.88,3.46,-11.95,3.63,-7.63,28,4.0,3.1,-21.11,3.59,-8.65
NOVN,2022-05-16,N,2.39,2.39,2.57,2.39,7.53,2.54,6.27,7,3.09,2.39,29.28,2.79,16.73
NOVN,2022-08-11,N,2.9,2.87,3.08,2.85,6.2,2.91,0.34,9,3.33,2.65,14.82,2.67,-7.93
