Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NR,2002-02-26,Y,6.65,6.65,6.86,6.2,-6.76,6.71,0.9,17,7.13,6.2,7.21,6.72,1.05
NR,2002-04-29,N,8.25,8.1,8.3,8.1,-1.81,8.19,-0.72,18,9.11,7.85,10.42,8.22,-0.36
NR,2002-07-31,Y,4.9,4.9,4.99,4.65,-5.1,4.75,-3.06,16,4.99,3.2,-34.69,3.8,-22.44
NR,2002-10-29,Y,2.98,3.01,3.22,2.88,8.05,2.9,-2.68,17,3.99,2.88,33.89,3.64,22.14
NR,2003-02-27,Y,4.0,4.08,4.19,3.97,4.75,4.11,2.75,22,4.68,3.97,16.99,4.67,16.74
NR,2003-05-05,Y,5.12,5.14,5.17,4.91,-4.1,4.97,-2.92,11,5.8,4.91,13.28,5.6,9.37
NR,2003-07-28,Y,4.75,4.75,4.75,4.67,-1.68,4.7,-1.05,18,5.19,4.58,9.26,5.05,6.31
NR,2003-11-06,N,4.09,4.07,4.07,4.07,0.73,4.07,-0.73,15,4.15,3.67,-10.48,3.81,-7.07
NR,2004-02-25,Y,4.9,5.05,5.05,5.05,3.06,5.05,3.06,23,5.86,4.97,19.59,5.64,15.1
NR,2004-04-26,Y,5.63,5.63,5.63,5.33,-5.32,5.6,-0.53,25,5.99,5.03,-10.65,5.4,-4.08
NR,2004-07-26,Y,5.89,5.92,6.1,5.56,-5.6,6.04,2.54,25,6.15,5.31,-9.84,5.58,-5.26
NR,2004-10-25,Y,5.71,5.7,6.02,5.7,5.42,5.97,4.55,25,6.02,4.88,-14.53,5.49,-3.85
NR,2005-02-28,Y,6.39,6.4,6.5,6.19,-3.12,6.35,-0.62,18,6.65,5.75,-10.01,5.95,-6.88
NR,2005-04-27,Y,6.06,5.99,6.05,5.76,-4.95,6.0,-0.99,23,6.39,5.66,-6.6,5.96,-1.65
NR,2005-07-25,Y,8.15,7.9,8.32,7.83,-3.92,8.23,0.98,25,8.85,7.67,8.58,8.65,6.13
NR,2005-11-07,Y,7.69,7.64,7.8,7.26,-5.59,7.69,,11,7.8,7.1,-7.67,7.36,-4.29
NR,2006-03-06,Y,7.52,7.5,7.5,7.09,-5.71,7.21,-4.12,11,8.11,6.92,-7.97,8.02,6.64
NR,2006-11-09,Y,5.83,6.05,6.38,6.01,9.43,6.15,5.48,8,6.83,6.01,17.15,6.57,12.69
NR,2007-03-08,Y,6.36,6.45,6.72,6.26,5.66,6.4,0.62,8,6.72,6.04,5.66,6.47,1.72
NR,2007-05-03,Y,8.25,8.25,8.27,7.8,-5.45,8.14,-1.33,15,8.27,7.1,-13.93,7.33,-11.15
NR,2007-08-02,Y,5.98,5.81,5.98,5.41,-9.53,5.46,-8.69,15,6.19,4.97,-16.88,5.38,-10.03
NR,2007-11-05,N,5.93,6.02,6.02,5.31,-10.45,5.48,-7.58,11,6.02,5.29,-10.79,5.44,-8.26
NR,2008-02-22,N,5.01,5.11,5.15,4.7,-6.37,4.78,-4.78,28,5.35,4.29,-14.54,4.68,-6.77
NR,2008-05-01,Y,5.41,5.48,6.15,5.43,13.67,5.51,1.84,15,6.91,5.43,27.72,6.74,24.58
NR,2008-07-31,Y,7.32,7.49,8.1,7.32,10.65,8.01,9.42,15,8.92,7.32,21.85,8.34,13.93
NR,2008-10-30,Y,5.72,5.73,5.82,5.18,-9.44,5.75,0.52,22,5.82,3.04,-46.85,3.52,-38.46
NR,2009-02-19,Y,3.58,3.51,3.57,3.27,-8.65,3.34,-6.7,1,3.57,3.27,-8.65,3.34,-6.7
NR,2009-04-30,Y,2.8,2.78,2.99,2.68,6.78,2.76,-1.42,15,3.15,2.65,12.5,2.68,-4.28
NR,2009-07-30,Y,2.86,2.83,2.96,2.63,-8.04,2.63,-8.04,22,2.96,2.25,-21.32,2.5,-12.58
NR,2009-10-29,Y,3.02,3.0,3.13,2.88,-4.63,3.01,-0.33,22,3.31,2.77,9.6,2.79,-7.61
NR,2010-02-18,Y,4.28,4.48,5.15,4.43,20.32,5.01,17.05,1,5.15,4.43,20.32,5.01,17.05
NR,2010-04-29,Y,6.57,6.59,7.29,6.56,10.95,6.68,1.67,22,8.05,5.85,22.52,6.28,-4.41
NR,2010-07-29,Y,8.3,8.11,8.11,7.54,-9.15,7.99,-3.73,22,8.81,7.54,-9.15,8.19,-1.2
NR,2010-10-28,Y,8.25,7.19,7.19,5.49,-33.45,5.88,-28.72,22,7.19,5.12,-37.93,5.73,-30.54
NR,2011-02-17,Y,6.5,7.14,7.15,6.72,10.0,6.81,4.76,1,7.15,6.72,10.0,6.81,4.76
NR,2011-04-28,Y,7.79,7.9,9.14,7.86,17.32,9.02,15.91,22,9.91,7.86,27.21,9.06,16.3
NR,2011-07-28,Y,9.55,9.0,9.31,8.34,-12.67,9.28,-2.72,22,9.77,6.57,-31.2,7.2,-24.6
NR,2011-10-27,Y,9.34,9.31,9.31,8.8,-5.78,9.23,-1.17,22,9.86,8.21,-12.09,8.77,-5.99
NR,2012-02-16,Y,8.1,8.05,8.61,7.84,6.29,8.18,0.98,1,8.61,7.84,6.29,8.18,0.98
NR,2012-04-26,Y,7.36,6.7,6.85,6.47,-12.09,6.56,-10.86,22,6.85,5.73,-22.14,5.88,-20.1
NR,2012-07-26,Y,6.4,6.0,6.9,5.94,7.81,6.73,5.15,22,7.22,5.94,12.81,7.12,11.24
NR,2012-10-25,Y,6.62,6.63,7.62,6.63,15.1,6.71,1.35,22,7.62,6.44,15.1,6.87,3.77
NR,2013-02-14,Y,8.9,8.93,9.25,8.69,3.93,9.15,2.8,1,9.25,8.69,3.93,9.15,2.8
NR,2013-04-25,Y,8.56,8.56,10.1,8.56,17.99,9.93,16.0,22,11.66,8.56,36.21,11.38,32.94
NR,2013-07-25,Y,12.42,11.98,12.05,11.35,-8.61,11.69,-5.87,22,12.05,10.94,-11.91,11.58,-6.76
NR,2013-10-24,Y,12.84,12.96,13.0,12.21,-4.9,12.79,-0.38,22,13.23,12.21,-4.9,12.79,-0.38
NR,2014-02-13,Y,11.52,11.51,12.0,10.87,-5.64,11.67,1.3,8,12.0,10.87,-5.64,10.98,-4.68
