Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NSIT,2002-04-25,Y,21.03,23.9,25.39,23.85,20.73,25.16,19.63,22,28.5,23.85,35.52,28.23,34.23
NSIT,2002-07-25,Y,14.6,14.1,14.1,10.15,-30.47,10.36,-29.04,22,14.1,8.96,-38.63,11.29,-22.67
NSIT,2002-10-24,Y,12.09,10.7,10.7,9.02,-25.39,9.25,-23.49,22,10.7,6.77,-44.0,8.44,-30.1
NSIT,2003-01-30,Y,7.58,7.52,8.0,7.3,5.54,8.0,5.54,22,8.0,7.17,5.54,7.52,-0.79
NSIT,2003-07-24,Y,11.35,13.0,15.14,12.53,33.39,14.96,31.8,22,15.98,12.53,40.79,15.4,35.68
NSIT,2003-10-30,Y,17.7,17.85,18.14,16.14,-8.81,16.85,-4.8,22,19.0,16.14,-8.81,17.84,0.79
NSIT,2004-02-05,Y,21.57,22.67,23.2,22.45,7.55,22.64,4.96,15,23.2,20.65,7.55,21.99,1.94
NSIT,2004-04-22,Y,19.03,18.3,20.09,18.11,5.57,20.0,5.09,29,20.25,16.12,-15.29,17.48,-8.09
NSIT,2004-07-22,Y,15.46,15.75,16.14,15.16,4.39,16.03,3.68,29,16.46,13.95,-9.76,15.61,0.97
NSIT,2004-10-21,Y,17.22,17.21,17.63,16.84,2.38,17.0,-1.27,29,20.56,16.69,19.39,19.85,15.27
NSIT,2005-01-27,Y,19.26,19.19,19.8,18.57,-3.58,19.61,1.81,22,19.98,17.98,-6.64,18.35,-4.72
NSIT,2005-04-21,Y,18.16,18.11,18.57,17.73,-2.36,18.53,2.03,29,19.73,17.73,8.64,19.57,7.76
NSIT,2005-07-21,Y,20.6,20.55,20.55,19.6,-4.85,20.28,-1.55,29,20.75,19.25,-6.55,19.43,-5.67
NSIT,2005-10-20,Y,18.61,18.51,19.05,18.51,2.36,19.0,2.09,1,19.05,18.51,2.36,19.0,2.09
NSIT,2006-01-26,Y,21.47,20.88,21.3,20.86,-2.84,21.15,-1.49,22,21.71,20.63,-3.91,21.63,0.74
NSIT,2006-04-20,Y,21.79,21.35,21.35,19.87,-8.81,19.95,-8.44,1,21.35,19.87,-8.81,19.95,-8.44
NSIT,2006-07-20,Y,18.51,17.5,17.54,16.3,-11.93,16.42,-11.29,1,17.54,16.3,-11.93,16.42,-11.29
NSIT,2006-11-06,Y,20.39,20.53,22.9,20.53,12.25,22.37,9.65,11,22.9,20.49,12.25,20.68,1.37
NSIT,2007-01-30,Y,18.66,19.09,20.71,18.57,10.98,20.32,8.94,17,20.71,18.57,10.98,19.86,6.43
NSIT,2007-05-02,Y,20.45,20.51,20.74,19.85,-2.93,20.54,0.44,16,20.74,19.14,-6.4,19.57,-4.3
NSIT,2007-08-07,Y,22.5,23.3,24.76,22.72,10.04,23.99,6.62,10,24.76,21.6,10.04,23.06,2.48
NSIT,2007-11-01,Y,26.47,22.2,22.2,20.0,-24.44,20.14,-23.87,15,22.2,17.45,-34.07,19.85,-25.0
NSIT,2008-02-06,Y,16.61,19.02,20.35,17.89,22.51,17.96,8.12,9,20.35,17.86,22.51,18.63,12.16
NSIT,2008-04-23,Y,14.19,13.14,13.14,10.95,-22.83,11.0,-22.48,23,13.14,10.78,-24.03,12.52,-11.76
NSIT,2008-07-24,Y,12.33,13.13,13.45,12.69,9.08,13.19,6.97,22,16.04,12.15,30.08,15.76,27.81
NSIT,2008-11-06,Y,8.11,7.62,7.62,6.0,-26.01,6.04,-25.52,15,7.62,3.33,-58.93,3.4,-58.07
NSIT,2009-02-09,Y,3.05,2.96,3.03,2.64,-13.44,2.88,-5.57,11,3.06,2.6,-14.75,2.75,-9.83
