Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NSSC,2002-02-14,N,1.07,1.06,1.07,1.03,-3.73,1.05,-1.86,1,1.1,1.03,-3.73,1.04,-2.8
NSSC,2002-05-15,Y,1.22,1.22,1.28,1.22,4.91,1.27,4.09,2,1.28,1.14,-5.73,1.21,-0.81
NSSC,2002-10-04,N,1.66,1.71,1.79,1.7,7.83,1.74,4.81,14,1.79,1.6,7.83,1.67,0.6
NSSC,2003-02-14,N,1.71,1.71,1.75,1.7,2.33,1.72,0.58,7,1.79,1.7,4.67,1.75,2.33
NSSC,2003-05-15,N,1.48,1.46,1.52,1.45,2.7,1.5,1.35,1,1.52,1.45,2.7,1.5,1.35
NSSC,2004-01-09,N,1.46,1.44,1.44,1.39,-4.79,1.39,-4.79,7,1.44,1.3,-10.95,1.39,-4.79
NSSC,2004-02-17,N,1.54,1.84,1.89,1.56,22.72,1.83,18.83,3,1.94,1.56,25.97,1.94,25.97
NSSC,2004-05-06,N,3.04,3.09,3.15,2.81,-7.56,3.15,3.61,15,3.3,2.41,-20.72,2.74,-9.86
NSSC,2004-09-15,N,3.16,3.41,3.42,3.03,8.22,3.35,6.01,2,3.42,3.03,8.22,3.23,2.21
NSSC,2004-11-09,N,3.61,3.7,4.34,3.63,20.22,4.26,18.0,10,4.88,3.63,35.18,4.44,22.99
NSSC,2005-02-08,N,5.84,5.79,5.79,5.01,-14.21,5.33,-8.73,10,5.79,5.01,-14.21,5.15,-11.81
NSSC,2005-05-09,N,4.28,3.97,4.21,3.97,-7.24,4.11,-3.97,11,4.23,3.9,-8.87,4.2,-1.86
NSSC,2005-09-20,Y,6.28,6.33,6.44,6.2,2.54,6.26,-0.31,31,6.44,4.44,-29.29,5.42,-13.69
NSSC,2006-02-07,N,8.67,8.67,8.92,8.35,-3.69,8.63,-0.46,10,10.51,8.35,21.22,10.44,20.41
NSSC,2006-05-10,N,9.94,9.91,10.43,9.91,4.82,10.31,3.61,9,10.56,9.19,-7.63,9.33,-6.23
NSSC,2006-09-13,N,7.51,7.65,7.65,5.92,-21.17,6.21,-17.31,2,7.65,5.92,-21.17,6.42,-14.51
NSSC,2006-11-06,Y,5.38,5.5,5.8,5.4,7.8,5.67,5.39,11,6.3,5.4,17.1,6.15,14.31
NSSC,2007-02-06,Y,5.12,5.15,5.35,5.12,4.49,5.26,2.73,10,5.35,5.09,4.49,5.24,2.34
