Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NVDA,2002-02-14,Y,20.73,19.78,19.89,18.93,-8.68,19.13,-7.71,1,19.89,18.93,-8.68,19.13,-7.71
NVDA,2002-05-22,Y,12.69,12.73,12.75,11.54,-9.06,11.92,-6.06,30,12.75,7.4,-41.68,7.56,-40.42
NVDA,2002-08-15,Y,3.43,3.25,3.69,3.15,-8.16,3.57,4.08,1,3.69,3.15,-8.16,3.57,4.08
NVDA,2002-11-07,Y,4.84,4.09,4.34,3.67,-24.32,3.79,-21.85,8,4.63,3.41,-29.69,4.49,-7.42
NVDA,2003-02-13,Y,3.29,3.74,4.01,3.65,21.88,4.01,21.88,8,4.41,3.65,34.04,4.29,30.39
NVDA,2003-05-08,Y,5.35,6.28,7.18,6.1,34.2,7.12,33.08,8,7.3,6.1,36.44,7.09,32.52
NVDA,2003-08-07,Y,6.43,5.52,5.54,5.09,-20.83,5.17,-19.59,8,5.68,5.09,-20.83,5.38,-16.32
NVDA,2003-11-06,Y,6.06,7.22,7.35,7.07,21.28,7.25,19.63,15,7.37,6.46,21.61,6.59,8.74
NVDA,2004-02-12,Y,7.84,7.65,7.96,7.57,-3.44,7.77,-0.89,8,8.09,7.57,-3.44,8.05,2.67
NVDA,2004-05-06,Y,7.3,7.52,7.66,7.32,4.93,7.36,0.82,15,7.66,6.9,-5.47,7.07,-3.15
NVDA,2004-08-05,Y,4.84,3.37,3.4,3.1,-36.08,3.14,-35.25,15,4.17,3.1,-36.08,4.12,-15.05
NVDA,2004-11-04,Y,5.14,5.91,6.26,5.81,21.78,5.88,14.39,15,6.84,5.79,33.07,6.32,22.95
NVDA,2005-01-20,Y,7.13,7.14,7.29,7.12,2.24,7.15,0.28,1,7.29,7.12,2.24,7.15,0.28
NVDA,2005-02-17,Y,8.5,9.16,9.43,8.9,10.94,9.42,10.82,1,9.43,8.9,10.94,9.42,10.82
NVDA,2005-04-28,Y,7.23,7.3,7.36,6.97,-3.59,7.31,1.1,22,8.77,6.97,21.3,8.77,21.3
NVDA,2005-07-25,Y,8.66,8.61,8.85,8.59,2.19,8.84,2.07,25,10.34,8.59,19.39,9.73,12.35
NVDA,2005-10-24,Y,10.94,10.86,11.04,10.82,-1.09,11.01,0.63,25,12.26,10.25,12.06,12.06,10.23
NVDA,2006-01-26,Y,15.13,15.33,15.59,15.2,3.04,15.42,1.91,22,16.91,14.29,11.76,15.82,4.56
NVDA,2006-02-16,Y,15.73,16.89,16.91,15.73,7.5,15.82,0.57,1,16.91,15.73,7.5,15.82,0.57
NVDA,2006-05-01,Y,20.6,20.75,21.0,20.22,1.94,20.57,-0.14,18,21.25,15.87,-22.96,16.22,-21.26
NVDA,2006-07-27,Y,13.69,14.05,15.14,13.97,10.59,15.11,10.37,22,18.48,13.9,34.98,18.23,33.23
NVDA,2006-10-26,Y,22.56,22.56,23.06,21.33,-5.45,21.59,-4.29,22,24.5,21.01,8.59,24.21,7.31
NVDA,2007-02-13,Y,22.67,22.87,23.0,22.31,-1.58,22.37,-1.32,3,23.0,21.75,-4.05,21.81,-3.79
NVDA,2007-05-10,Y,21.88,23.06,23.65,22.71,8.08,23.43,7.08,8,23.65,22.57,8.08,23.35,6.71
NVDA,2007-08-09,Y,30.75,28.23,29.53,27.59,-10.27,29.33,-4.61,8,30.6,27.0,-12.19,30.05,-2.27
