Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NVMI,2002-02-27,Y,3.7,3.85,4.34,3.51,17.29,3.65,-1.35,16,4.34,3.15,17.29,3.83,3.51
NVMI,2002-05-08,Y,2.63,2.63,2.63,2.63,,2.63,,9,2.75,2.48,-5.7,2.54,-3.04
NVMI,2002-08-13,N,1.7,1.61,1.7,1.6,-5.88,1.6,-5.88,3,1.7,1.5,-11.76,1.51,-11.17
NVMI,2002-11-11,N,1.33,1.4,1.47,1.32,10.52,1.47,10.52,4,1.47,1.29,10.52,1.45,9.02
NVMI,2003-03-03,N,2.58,2.58,2.58,2.4,-6.97,2.4,-6.97,18,2.58,1.95,-24.41,2.21,-14.34
NVMI,2003-05-19,Y,2.59,2.71,2.85,2.71,10.03,2.85,10.03,32,5.28,2.71,103.86,3.55,37.06
NVMI,2003-08-13,N,3.49,3.42,3.44,3.42,-2.0,3.43,-1.71,2,3.48,3.42,-2.0,3.48,-0.28
NVMI,2003-11-13,N,6.64,6.63,7.37,6.63,10.99,7.19,8.28,8,7.37,6.08,10.99,6.1,-8.13
NVMI,2004-02-19,N,7.19,7.42,7.49,7.2,4.17,7.2,0.13,1,7.56,6.96,5.14,7.0,-2.64
NVMI,2004-05-13,N,5.34,5.33,5.33,4.87,-8.8,4.93,-7.67,8,5.33,4.2,-21.34,4.25,-20.41
NVMI,2004-08-12,N,3.12,3.0,3.18,3.0,-3.84,3.01,-3.52,8,3.78,3.0,21.15,3.5,12.17
NVMI,2004-11-10,Y,3.98,3.86,4.01,3.77,-5.27,3.8,-4.52,9,4.01,3.5,-12.06,3.6,-9.54
NVMI,2005-02-17,N,3.78,3.6,3.68,3.5,-7.4,3.68,-2.64,1,3.75,3.5,-7.4,3.72,-1.58
NVMI,2005-05-09,N,2.48,2.38,2.6,2.36,4.83,2.42,-2.41,11,2.6,2.23,-10.08,2.39,-3.62
NVMI,2005-08-04,N,2.98,2.84,2.95,2.65,-11.07,2.7,-9.39,15,2.95,2.64,-11.4,2.79,-6.37
NVMI,2005-11-07,N,2.33,2.25,2.46,2.19,-6.0,2.29,-1.28,11,2.46,1.94,-16.73,2.23,-4.29
NVMI,2006-04-11,Y,1.85,1.85,1.86,1.76,-4.86,1.85,,10,1.94,1.75,-5.4,1.8,-2.7
NVMI,2006-05-10,N,1.84,1.99,2.48,1.99,34.78,2.4,30.43,9,2.5,1.85,35.86,1.98,7.6
NVMI,2006-08-03,N,2.0,1.9,2.02,1.9,-5.0,2.02,1.49,15,2.04,1.81,-9.49,1.98,-1.0
NVMI,2006-11-06,N,2.16,2.25,2.4,2.2,11.11,2.31,7.4,11,2.4,2.18,11.11,2.34,8.33
NVMI,2007-02-20,N,2.82,2.8,2.89,2.61,-7.44,2.87,1.77,24,3.1,2.23,-20.92,2.71,-3.9
NVMI,2007-05-07,N,2.78,2.73,2.8,2.73,-1.79,2.8,0.71,11,2.95,2.64,6.11,2.94,5.75
NVMI,2007-08-01,Y,2.77,2.71,2.87,2.68,3.61,2.86,3.24,16,2.87,2.29,-17.32,2.56,-7.58
NVMI,2007-11-06,Y,2.84,2.65,2.74,2.25,-20.77,2.7,-4.92,10,2.74,2.1,-26.05,2.44,-14.08
NVMI,2008-02-19,N,2.5,2.5,2.54,2.22,-11.19,2.36,-5.6,31,2.54,1.7,-32.0,1.98,-20.8
NVMI,2008-05-05,N,1.58,1.56,1.65,1.55,4.43,1.65,4.43,11,1.7,1.54,7.59,1.6,1.26
NVMI,2008-08-05,N,1.32,1.3,1.3,1.28,-3.03,1.3,-1.51,10,1.37,1.11,-15.9,1.33,0.75
NVMI,2008-11-05,Y,0.8,0.81,0.81,0.8,1.25,0.8,,16,0.85,0.52,-35.0,0.55,-31.25
NVMI,2009-02-18,N,0.5,0.51,0.51,0.47,-6.0,0.47,-6.0,2,0.51,0.39,-21.99,0.39,-21.99
NVMI,2009-05-06,N,0.76,0.83,0.83,0.8,9.21,0.83,9.21,9,0.92,0.71,21.05,0.8,5.26
NVMI,2009-11-03,Y,3.01,3.0,3.1,2.83,-5.98,2.99,-0.66,17,3.2,2.75,-8.63,3.14,4.31
NVMI,2010-02-17,N,5.18,5.34,5.4,4.23,-18.33,4.49,-13.32,2,5.4,4.23,-18.33,4.76,-8.1
NVMI,2010-05-04,N,5.69,5.69,5.75,5.15,-9.49,5.38,-5.44,17,5.75,3.81,-33.04,4.2,-26.18
NVMI,2010-08-03,Y,6.05,6.07,6.38,5.85,5.45,6.3,4.13,17,6.89,5.2,-14.04,5.36,-11.4
NVMI,2010-11-02,Y,6.31,6.3,6.34,6.04,-4.27,6.2,-1.74,17,7.29,6.04,15.53,7.03,11.41
NVMI,2011-02-15,N,10.19,10.6,11.44,10.07,12.15,11.06,8.43,3,11.44,10.07,12.15,10.57,3.62
NVMI,2011-05-04,N,9.22,10.0,10.0,9.52,8.45,9.83,6.61,16,11.79,9.52,27.87,10.18,10.41
NVMI,2011-08-02,Y,8.38,8.39,8.44,8.02,-4.29,8.4,0.23,17,8.44,6.16,-26.49,6.26,-25.29
NVMI,2011-11-01,N,7.27,6.25,7.13,6.21,-14.58,6.8,-6.46,17,7.2,6.21,-14.58,6.73,-7.42
NVMI,2012-02-15,N,9.01,8.88,9.19,8.46,-6.1,8.58,-4.77,2,9.19,8.46,-6.1,8.68,-3.66
NVMI,2012-05-02,N,8.59,9.01,9.21,8.43,7.21,8.49,-1.16,16,9.21,6.82,-20.6,7.01,-18.39
NVMI,2012-07-31,N,8.86,8.46,8.55,8.13,-8.34,8.16,-8.0,17,8.55,7.4,-16.57,7.53,-15.1
NVMI,2012-10-31,N,7.21,7.53,7.92,6.87,9.84,7.91,9.7,16,7.92,6.87,9.84,7.4,2.63
NVMI,2013-02-19,Y,9.08,9.11,9.67,9.11,6.49,9.46,4.18,24,9.67,8.61,6.49,9.27,2.09
NVMI,2013-04-30,Y,9.17,9.06,9.34,9.0,1.85,9.34,1.85,17,9.6,9.0,4.68,9.25,0.87
NVMI,2013-07-30,Y,9.15,9.15,9.18,8.85,-3.27,8.93,-2.4,17,9.27,8.55,-6.55,8.6,-6.01
NVMI,2013-10-30,N,8.84,8.98,9.06,8.75,2.48,8.75,-1.01,16,9.36,8.67,5.88,9.18,3.84
NVMI,2014-02-18,N,11.2,11.41,12.25,10.88,9.37,10.93,-2.41,3,12.25,10.88,9.37,11.0,-1.78
NVMI,2014-04-30,N,9.76,10.28,10.8,10.17,10.65,10.5,7.58,16,10.88,10.15,11.47,10.47,7.27
NVMI,2014-07-30,N,11.29,10.67,10.68,10.38,-8.06,10.57,-6.37,16,11.05,9.77,-13.46,11.05,-2.12
NVMI,2014-10-29,N,10.54,9.96,10.3,9.74,-7.59,10.03,-4.74,24,10.83,9.74,-7.59,10.51,-0.28
NVMI,2015-02-18,Y,10.94,11.2,11.41,10.9,4.29,11.17,2.1,2,11.5,10.9,5.11,11.45,4.66
NVMI,2015-05-12,Y,11.36,11.8,11.84,11.72,4.22,11.78,3.69,3,11.84,11.52,4.22,11.76,3.52
NVMI,2015-07-28,Y,12.17,12.79,12.79,12.2,5.09,12.36,1.56,24,12.79,11.25,-7.55,11.3,-7.14
NVMI,2015-10-27,Y,10.19,10.37,10.51,10.24,3.03,10.3,0.98,24,11.0,10.14,7.84,10.97,7.54
NVMI,2016-02-17,Y,9.73,9.9,9.96,9.75,2.36,9.96,2.36,2,10.0,9.75,2.77,9.94,2.26
NVMI,2016-05-04,Y,11.13,11.24,11.39,11.21,2.33,11.25,1.07,16,11.63,11.15,4.49,11.43,2.69
NVMI,2016-08-03,Y,11.32,11.18,11.19,11.05,-2.38,11.1,-1.94,16,11.98,10.94,5.83,11.79,4.15
NVMI,2016-11-02,Y,12.27,12.22,12.25,12.14,-1.05,12.17,-0.81,16,12.63,11.83,-3.58,12.4,1.05
NVMI,2017-02-14,Y,15.76,15.92,16.78,15.91,6.47,16.69,5.9,3,17.04,15.91,8.12,17.0,7.86
NVMI,2017-05-09,N,19.22,21.67,22.6,21.36,17.58,22.13,15.14,11,26.22,21.36,36.42,24.74,28.72
NVMI,2017-08-02,N,23.75,24.39,24.62,20.55,-13.47,22.97,-3.28,17,25.47,20.55,-13.47,23.54,-0.88
NVMI,2017-11-01,N,31.26,29.23,29.23,23.38,-25.2,25.77,-17.56,17,29.23,23.38,-25.2,27.2,-12.98
NVMI,2018-02-13,N,25.52,25.95,26.1,24.57,-3.72,25.33,-0.74,4,27.8,24.57,8.93,27.1,6.19
NVMI,2018-05-02,N,26.44,26.1,27.61,26.02,4.42,27.0,2.11,17,29.73,26.02,12.44,28.0,5.9
NVMI,2018-08-01,N,27.99,26.4,27.6,25.65,-8.36,27.29,-2.5,17,28.44,25.65,-8.36,27.63,-1.28
NVMI,2018-11-01,N,22.56,23.86,26.12,22.88,15.78,25.53,13.16,16,26.12,22.43,15.78,23.51,4.21
NVMI,2019-02-13,N,24.34,23.6,24.92,23.6,-3.04,24.21,-0.53,3,25.48,23.6,4.68,24.93,2.42
