Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NWSA,2002-01-24,Y,14.39,14.3,14.4,14.25,-0.97,14.27,-0.83,22,14.5,12.75,-11.39,13.1,-8.96
NWSA,2002-03-05,N,13.7,14.1,14.22,14.0,3.79,14.18,3.5,10,15.12,14.0,10.36,14.54,6.13
NWSA,2002-04-11,N,13.45,13.55,13.62,13.37,1.26,13.42,-0.22,8,13.8,13.05,-2.97,13.8,2.6
NWSA,2002-07-11,Y,11.5,11.48,11.48,11.16,-2.95,11.4,-0.86,8,11.48,10.41,-9.47,10.54,-8.34
NWSA,2002-10-10,N,9.44,9.58,9.98,9.52,5.6,9.9,4.76,8,11.6,9.52,22.75,11.49,21.58
NWSA,2003-01-22,Y,13.54,13.88,13.97,13.72,3.17,13.96,3.1,30,14.06,12.55,-7.31,12.95,-4.35
NWSA,2003-04-10,N,13.61,13.6,13.6,12.58,-7.56,12.72,-6.53,8,13.84,12.58,-7.56,13.62,0.07
NWSA,2003-07-15,Y,15.41,15.52,15.62,15.25,1.36,15.28,-0.84,3,15.62,15.12,-1.88,15.29,-0.77
NWSA,2003-10-14,N,17.26,17.3,17.72,17.12,2.66,17.3,0.23,3,17.72,17.12,2.66,17.13,-0.75
NWSA,2004-01-27,N,19.11,19.05,19.14,18.76,-1.83,18.89,-1.09,24,19.87,17.92,-6.22,18.59,-2.72
NWSA,2004-01-28,N,18.89,18.82,18.82,18.3,-3.17,18.43,-2.48,23,19.87,17.92,-5.18,18.59,-1.64
NWSA,2004-02-11,N,18.85,18.89,19.35,18.89,2.65,19.3,2.38,9,19.87,18.59,5.41,18.59,-1.37
NWSA,2004-04-13,N,19.0,18.75,18.78,18.43,-3.0,18.44,-2.94,3,18.78,18.26,-3.89,18.51,-2.57
NWSA,2004-04-28,N,18.91,18.7,18.7,18.32,-3.12,18.34,-3.01,23,18.87,17.34,-8.3,17.73,-6.18
NWSA,2004-05-06,N,18.69,18.86,18.87,18.2,-2.62,18.25,-2.35,15,18.87,17.34,-7.22,17.73,-5.08
NWSA,2004-07-15,N,17.54,17.6,17.61,17.5,0.39,17.5,-0.22,1,17.97,17.5,2.45,17.79,1.42
NWSA,2004-10-14,N,16.3,16.44,16.52,16.28,1.34,16.34,0.24,1,16.52,16.28,1.34,16.39,0.55
NWSA,2005-01-27,N,17.66,17.7,17.73,17.57,-0.5,17.64,-0.05,22,17.93,17.14,-2.94,17.41,-1.41
NWSA,2005-02-02,N,17.62,17.75,17.93,17.57,1.75,17.67,0.28,16,17.93,17.14,-2.72,17.41,-1.19
NWSA,2005-02-07,Y,17.67,17.5,17.57,17.39,-1.58,17.46,-1.18,11,17.69,17.28,-2.2,17.41,-1.47
NWSA,2005-04-14,N,17.23,17.14,17.14,16.32,-5.33,16.85,-2.26,1,17.14,16.32,-5.33,16.59,-3.77
NWSA,2005-06-14,Y,17.3,17.37,17.55,16.61,-3.98,17.48,1.09,3,18.01,16.61,4.1,17.86,3.23
NWSA,2005-07-21,N,17.53,17.67,17.69,17.44,0.91,17.57,0.28,29,18.18,17.04,3.7,17.41,-0.68
NWSA,2005-10-20,N,15.64,15.59,15.71,15.44,-1.27,15.53,-0.7,1,15.71,15.27,-2.36,15.35,-1.85
NWSA,2005-11-10,Y,15.24,15.33,15.58,15.33,2.23,15.53,1.9,8,15.58,15.01,2.23,15.2,-0.26
NWSA,2006-01-26,N,16.7,16.7,16.8,16.48,-1.31,16.62,-0.47,22,17.0,16.44,1.79,16.86,0.95
NWSA,2006-04-18,N,17.91,17.89,17.92,17.8,-0.61,17.91,,3,17.92,17.71,-1.11,17.73,-0.94
NWSA,2006-05-10,Y,19.12,19.5,19.82,19.3,3.66,19.69,2.98,9,20.16,19.3,5.43,19.97,4.44
NWSA,2006-07-20,N,19.66,19.59,19.64,19.3,-1.83,19.39,-1.32,1,19.64,18.96,-3.56,18.96,-3.56
NWSA,2006-10-18,N,21.81,21.87,21.98,21.73,0.77,21.82,0.04,2,22.04,21.72,1.05,21.76,-0.22
NWSA,2006-11-08,Y,21.86,21.64,22.3,21.5,2.01,22.04,0.82,9,22.4,21.5,2.47,22.09,1.05
NWSA,2007-01-25,N,24.43,24.5,24.5,24.09,-1.39,24.12,-1.26,22,25.78,23.86,5.52,24.64,0.85
