Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
NXGN,2019-01-23,Y,18.11,17.93,18.57,17.1,-5.57,18.33,1.21,23,18.99,16.93,-6.51,18.75,3.53
NXGN,2019-05-23,Y,19.12,19.32,19.61,18.95,2.56,19.35,1.2,29,21.12,18.04,10.46,19.23,0.57
NXGN,2019-07-24,Y,20.53,15.24,18.78,14.63,-28.73,16.07,-21.72,23,18.78,13.6,-33.75,14.8,-27.91
NXGN,2019-10-23,Y,15.94,17.0,17.31,15.94,8.59,17.01,6.71,23,17.46,15.94,9.53,16.98,6.52
NXGN,2020-01-23,Y,15.93,17.12,17.15,14.47,-9.16,14.58,-8.47,29,17.15,13.46,-15.5,13.64,-14.37
NXGN,2020-07-30,Y,12.54,15.6,16.38,14.0,30.62,14.62,16.58,22,16.38,13.47,30.62,13.73,9.48
NXGN,2020-10-22,Y,13.89,14.4,15.55,13.94,11.95,15.01,8.06,29,16.36,13.39,17.78,16.26,17.06
NXGN,2021-01-27,Y,21.9,21.05,21.81,19.31,-11.82,19.98,-8.76,23,21.81,18.01,-17.76,18.99,-13.28
NXGN,2021-05-26,Y,18.72,18.27,18.27,15.81,-15.54,16.26,-13.14,23,18.27,15.81,-15.54,17.07,-8.81
NXGN,2021-07-29,Y,16.29,15.1,16.46,15.1,-7.3,16.22,-0.42,22,16.93,14.85,-8.83,15.01,-7.85
NXGN,2021-10-28,Y,15.0,15.44,16.66,15.2,11.06,16.46,9.73,22,17.21,15.2,14.73,16.48,9.86
NXGN,2022-01-25,Y,18.36,19.58,20.26,18.22,10.34,18.24,-0.65,24,20.26,18.11,10.34,19.07,3.86
NXGN,2022-05-17,Y,20.08,19.48,19.48,18.17,-9.51,18.94,-5.67,3,19.48,17.59,-12.4,17.83,-11.2
NXGN,2022-07-26,Y,18.6,17.33,18.46,16.9,-9.13,17.15,-7.79,24,18.46,16.74,-10.0,17.58,-5.48
NXGN,2023-01-24,Y,17.08,16.54,18.53,16.51,8.48,18.07,5.79,24,19.33,16.51,13.17,18.96,11.0
