Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
OGS,2014-05-05,Y,36.29,36.94,37.22,36.28,2.56,36.39,0.27,11,37.22,35.54,2.56,36.34,0.13
OGS,2014-08-04,Y,36.18,34.9,36.11,34.85,-3.67,35.71,-1.29,11,37.56,34.58,-4.42,36.89,1.96
OGS,2014-11-03,Y,38.08,38.08,38.47,37.82,1.02,38.44,0.94,19,39.61,37.82,4.01,38.99,2.38
OGS,2015-02-18,Y,42.24,42.37,42.58,41.69,-1.3,41.94,-0.71,2,42.58,41.23,-2.39,42.15,-0.21
OGS,2015-04-29,Y,42.34,41.52,42.76,41.2,-2.69,41.97,-0.87,16,43.0,40.83,-3.56,42.81,1.11
OGS,2015-07-29,Y,43.7,43.42,44.97,42.75,2.9,44.18,1.09,23,45.58,42.75,4.3,44.22,1.18
OGS,2015-10-28,Y,49.25,49.24,49.73,47.6,-3.35,48.81,-0.89,23,49.73,45.57,-7.47,47.84,-2.86
OGS,2016-02-17,Y,58.06,57.33,58.64,56.93,-1.94,58.58,0.89,2,58.93,56.93,-1.94,58.03,-0.05
OGS,2016-05-02,Y,59.67,58.6,60.08,57.76,-3.2,59.93,0.43,18,61.71,56.51,-5.29,57.73,-3.25
OGS,2016-08-01,Y,64.59,64.95,64.95,63.98,-0.95,63.99,-0.94,18,64.95,59.98,-7.15,61.99,-4.04
OGS,2016-10-31,Y,61.28,62.09,62.33,58.78,-4.07,58.99,-3.73,18,62.33,56.64,-7.57,59.74,-2.51
OGS,2017-02-22,Y,64.39,64.11,66.27,63.16,2.91,66.25,2.88,23,67.13,63.16,4.25,66.26,2.9
OGS,2017-05-01,Y,68.83,68.09,70.37,68.09,2.23,69.52,1.0,18,70.37,67.31,2.23,68.55,-0.4
OGS,2017-07-31,Y,72.78,74.19,74.19,71.59,1.97,73.56,1.11,18,74.84,72.67,2.83,73.66,1.2
OGS,2017-10-30,Y,75.6,77.68,78.26,75.8,3.51,76.98,1.82,18,78.26,75.8,3.51,77.12,2.01
OGS,2018-02-21,Y,66.67,65.09,66.83,63.51,-4.07,65.54,-1.01,23,67.36,62.2,-6.7,66.04,-0.94
OGS,2018-04-30,Y,69.72,71.9,72.84,70.14,4.47,72.75,4.34,18,74.63,70.08,7.04,70.8,1.54
OGS,2018-07-30,Y,75.24,75.39,77.42,74.34,2.89,77.04,2.39,18,80.09,74.34,6.44,80.03,6.36
OGS,2018-10-29,Y,81.23,81.96,82.98,80.36,2.15,81.19,-0.04,18,84.66,76.91,-5.31,84.45,3.96
OGS,2019-02-20,Y,84.6,81.27,84.94,79.22,-6.35,84.65,0.05,23,89.48,79.22,-6.35,88.81,4.97
OGS,2019-04-29,Y,87.63,88.46,88.66,86.78,1.17,88.52,1.01,18,89.61,85.7,2.25,89.0,1.56
OGS,2019-10-28,Y,93.32,92.75,93.3,91.71,-1.72,92.35,-1.03,18,93.64,84.9,-9.02,88.5,-5.16
OGS,2020-02-19,Y,95.71,95.01,95.11,93.17,-2.65,95.06,-0.67,2,95.64,93.17,-2.65,94.16,-1.61
OGS,2020-07-28,N,76.39,74.95,78.63,74.95,2.93,77.38,1.29,25,78.89,73.61,-3.63,75.14,-1.63
OGS,2020-11-02,Y,71.49,72.91,75.95,72.56,6.23,73.67,3.04,18,78.58,70.73,9.91,76.74,7.34
OGS,2021-02-25,Y,69.01,69.36,71.25,66.77,3.24,66.97,-2.95,22,77.7,66.77,12.59,74.74,8.3
OGS,2021-05-03,Y,80.58,80.3,80.62,78.63,-2.41,79.78,-0.99,18,80.62,72.5,-10.02,74.01,-8.15
OGS,2021-08-02,Y,74.31,74.31,75.32,73.5,1.35,74.88,0.76,18,75.32,71.51,-3.76,72.57,-2.34
OGS,2021-11-01,Y,69.4,70.34,70.34,67.53,-2.69,68.65,-1.08,18,70.72,66.7,-3.89,67.95,-2.08
OGS,2022-02-23,Y,76.07,76.46,79.56,75.55,4.58,77.61,2.02,23,89.47,75.55,17.61,82.5,8.45
OGS,2022-05-02,Y,82.63,84.94,86.22,82.61,4.34,82.99,0.43,18,89.46,82.61,8.26,85.69,3.7
OGS,2022-08-01,Y,84.1,85.28,85.44,82.94,1.59,82.97,-1.34,18,85.44,79.33,-5.67,83.71,-0.46
OGS,2022-10-31,Y,77.48,77.36,81.1,76.06,4.67,80.03,3.29,18,84.89,76.06,9.56,84.87,9.53
OGS,2023-02-22,Y,79.97,78.63,81.87,78.63,2.37,80.26,0.36,23,82.1,73.46,-8.14,78.41,-1.95
