Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
OKTA,2017-06-07,Y,25.69,27.6,28.1,26.01,9.38,27.15,5.68,9,28.25,23.55,9.96,26.48,3.07
OKTA,2017-09-07,Y,27.12,28.32,30.56,24.5,12.68,30.3,11.72,8,33.64,24.5,24.04,28.62,5.53
OKTA,2017-12-07,Y,29.17,28.76,29.97,26.95,-7.61,27.16,-6.89,8,29.97,24.94,-14.5,25.95,-11.03
OKTA,2018-03-07,Y,39.14,40.32,42.87,39.8,9.52,42.6,8.84,9,42.88,37.64,9.55,38.57,-1.45
OKTA,2018-06-06,Y,54.14,57.45,61.0,50.14,12.67,50.88,-6.02,9,61.0,49.12,12.67,54.48,0.62
OKTA,2018-09-06,Y,60.2,69.25,75.0,66.09,24.58,71.92,19.46,15,75.49,66.09,25.39,68.5,13.78
OKTA,2018-12-05,Y,60.65,60.1,69.85,57.65,15.16,66.95,10.38,17,69.85,53.91,15.16,54.59,-9.99
OKTA,2019-03-07,Y,81.21,74.79,79.12,70.44,-13.26,78.43,-3.42,8,83.33,70.44,-13.26,79.21,-2.46
OKTA,2019-05-30,Y,106.6,114.5,119.96,110.51,12.53,113.22,6.21,22,136.61,107.41,28.15,131.15,23.03
OKTA,2019-08-28,Y,133.17,130.75,135.25,121.34,-8.88,127.18,-4.49,23,135.25,99.77,-25.08,106.16,-20.28
OKTA,2019-12-05,Y,119.16,119.36,121.4,116.59,-2.15,118.31,-0.71,15,122.44,112.59,-5.51,116.22,-2.46
OKTA,2020-03-05,Y,129.05,129.15,133.88,121.38,-5.94,125.97,-2.38,15,133.88,88.66,-31.29,115.45,-10.53
OKTA,2020-05-28,Y,183.92,184.32,196.79,184.0,6.99,195.58,6.33,22,205.71,173.06,11.84,198.19,7.75
OKTA,2020-08-27,Y,218.44,212.32,217.42,207.17,-5.15,207.98,-4.78,22,231.29,185.05,-15.28,197.65,-9.51
OKTA,2020-12-02,Y,230.21,246.39,258.75,239.3,12.39,242.35,5.27,16,274.99,230.07,19.45,271.81,18.07
OKTA,2021-03-03,Y,241.22,220.0,239.51,218.0,-9.62,226.22,-6.21,16,244.56,199.08,-17.46,213.53,-11.47
OKTA,2021-05-26,Y,246.53,226.89,229.67,215.62,-12.53,222.4,-9.78,23,242.6,209.65,-14.95,239.26,-2.94
OKTA,2021-09-01,Y,264.76,262.31,276.23,261.07,4.33,271.75,2.64,16,276.3,247.05,-6.68,258.15,-2.49
OKTA,2021-12-01,Y,198.08,215.75,224.62,213.19,13.39,221.18,11.66,16,244.18,200.22,23.27,217.91,10.01
OKTA,2022-03-02,Y,182.7,174.0,177.95,161.12,-11.81,167.98,-8.05,16,177.95,143.3,-21.56,174.5,-4.48
OKTA,2022-06-02,Y,93.68,107.02,111.35,98.12,18.86,98.38,5.01,15,111.35,77.97,18.86,82.67,-11.75
OKTA,2022-08-31,Y,91.4,69.16,69.34,58.12,-36.41,60.6,-33.69,16,69.34,58.12,-36.41,59.01,-35.43
OKTA,2022-11-30,Y,53.32,61.95,67.62,61.37,26.81,67.43,26.46,16,74.18,60.22,39.12,67.92,27.38
OKTA,2023-03-01,Y,71.44,81.0,81.55,76.3,14.15,80.91,13.25,16,87.88,76.3,23.01,83.83,17.34
