Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ONCT,2019-08-08,Y,4.43,4.29,4.29,3.75,-15.34,3.87,-12.64,8,4.73,3.75,-15.34,4.23,-4.51
ONCT,2020-03-17,N,3.33,2.99,3.38,2.31,-30.63,3.33,0.0,4,3.81,2.31,-30.63,2.72,-18.31
ONCT,2020-05-07,Y,2.5,2.6,2.67,2.41,6.79,2.43,-2.79,8,2.68,2.41,7.2,2.51,0.39
ONCT,2020-08-06,Y,2.87,2.97,2.97,2.67,-6.96,2.82,-1.74,15,3.05,2.6,-9.4,2.69,-6.27
ONCT,2021-03-11,Y,6.37,6.8,7.89,6.49,23.86,7.57,18.83,8,9.45,6.49,48.35,9.0,41.28
ONCT,2021-05-06,Y,5.45,5.41,5.8,5.41,6.42,5.56,2.01,15,6.24,4.82,14.49,5.25,-3.66
ONCT,2021-08-05,Y,3.88,3.91,4.47,3.91,15.2,4.22,8.76,15,4.47,3.32,15.2,3.55,-8.5
ONCT,2021-11-04,Y,4.07,4.15,4.41,4.06,8.35,4.18,2.7,15,4.49,3.13,-23.09,3.13,-23.09
ONCT,2022-03-10,Y,1.68,1.67,1.7,1.53,-8.92,1.54,-8.33,8,1.7,1.37,-18.45,1.57,-6.54
ONCT,2022-05-05,Y,1.1,1.07,1.07,0.99,-10.0,1.02,-7.27,15,1.07,0.69,-37.27,0.83,-24.54
ONCT,2022-08-09,Y,1.11,1.11,1.14,1.07,-3.6,1.12,0.9,10,1.4,1.07,26.12,1.23,10.81
