Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ORCL,2002-03-14,Y,13.44,12.9,13.03,12.59,-6.32,12.6,-6.24,1,13.03,12.59,-6.32,12.6,-6.24
ORCL,2002-06-18,Y,8.93,9.44,9.52,8.52,6.6,8.8,-1.45,3,9.52,8.08,-9.51,8.11,-9.07
ORCL,2002-09-17,Y,9.02,8.24,8.52,7.81,-13.51,8.32,-7.86,3,8.52,7.81,-13.51,7.99,-11.51
ORCL,2002-12-18,Y,10.63,11.06,11.57,10.8,8.84,11.0,3.48,2,11.57,10.55,8.84,10.74,1.03
ORCL,2003-03-18,Y,12.25,11.65,11.83,11.1,-9.38,11.31,-7.67,3,11.83,11.1,-9.38,11.35,-7.34
ORCL,2003-06-12,Y,13.33,13.92,14.0,13.36,5.02,13.48,1.12,8,14.0,12.86,5.02,12.93,-3.0
ORCL,2003-09-12,N,12.98,12.14,12.6,12.05,-7.16,12.55,-3.31,7,12.64,12.05,-7.16,12.12,-6.62
ORCL,2003-12-15,Y,12.7,12.98,13.23,12.75,4.17,13.12,3.3,4,13.43,12.75,5.74,13.09,3.07
ORCL,2004-03-11,Y,12.25,12.48,12.5,11.95,-2.44,12.06,-1.55,8,12.5,11.37,-7.18,11.5,-6.12
ORCL,2004-06-15,Y,11.71,11.36,11.43,11.23,-4.09,11.35,-3.07,3,11.43,11.05,-5.63,11.14,-4.86
ORCL,2004-09-14,Y,10.55,11.09,11.41,11.03,8.15,11.33,7.39,3,11.58,11.03,9.76,11.51,9.09
ORCL,2004-12-13,N,13.28,14.21,14.87,13.75,11.97,14.63,10.16,4,14.87,13.75,11.97,13.98,5.27
ORCL,2005-03-22,Y,12.49,12.32,12.59,12.24,-2.0,12.51,0.16,24,12.73,11.66,-6.64,11.7,-6.32
ORCL,2005-06-29,N,12.83,13.47,13.79,13.23,7.48,13.57,5.76,16,14.11,12.99,9.97,14.04,9.43
ORCL,2005-09-22,Y,13.52,12.54,12.6,12.26,-9.31,12.45,-7.91,29,12.6,11.85,-12.35,12.26,-9.31
ORCL,2005-12-15,Y,12.83,12.54,12.73,11.99,-6.54,12.69,-1.09,1,12.73,11.99,-6.54,12.69,-1.09
ORCL,2006-03-20,Y,13.72,13.34,13.9,13.22,-3.64,13.62,-0.72,32,14.45,13.22,5.32,14.28,4.08
ORCL,2006-06-22,Y,14.33,14.68,15.07,14.54,5.16,14.9,3.97,29,15.29,13.77,6.69,15.12,5.51
ORCL,2006-09-19,Y,16.13,18.09,18.29,17.84,13.39,17.93,11.15,31,19.14,17.39,18.66,18.98,17.66
ORCL,2006-12-18,Y,17.91,17.14,17.26,16.93,-5.47,17.1,-4.52,32,17.98,16.93,-5.47,17.27,-3.57
ORCL,2007-03-20,Y,17.55,18.3,18.39,17.78,4.78,18.17,3.53,31,19.05,17.78,8.54,19.0,8.26
ORCL,2007-06-26,Y,19.16,19.32,19.77,19.27,3.18,19.69,2.76,24,20.94,19.27,9.29,20.61,7.56
ORCL,2007-09-20,Y,21.04,21.57,22.17,21.04,5.37,21.98,4.46,1,22.17,21.04,5.37,21.98,4.46
ORCL,2007-12-19,Y,20.76,22.43,22.5,22.04,8.38,22.1,6.45,2,22.76,22.04,9.63,22.71,9.39
ORCL,2008-03-26,Y,20.94,19.45,19.7,19.25,-8.07,19.43,-7.21,23,21.93,19.25,-8.07,21.8,4.1
ORCL,2008-06-25,Y,22.55,21.68,22.22,21.42,-5.01,21.42,-5.01,23,22.22,19.98,-11.39,21.18,-6.07
ORCL,2008-09-18,Y,18.75,20.99,21.0,14.56,-22.34,20.07,7.04,1,21.0,14.56,-22.34,20.07,7.04
ORCL,2008-12-18,Y,16.61,17.44,18.16,16.61,9.33,17.78,7.04,1,18.16,16.61,9.33,17.78,7.04
ORCL,2009-03-18,Y,15.83,17.55,18.09,17.35,14.27,17.37,9.72,2,18.09,17.0,14.27,17.1,8.02
ORCL,2009-06-23,Y,19.87,20.86,21.75,20.78,9.46,21.26,6.99,24,22.0,19.79,10.71,21.74,9.41
ORCL,2009-09-16,Y,22.13,21.42,21.76,21.32,-3.66,21.52,-2.75,2,21.87,21.32,-3.66,21.62,-2.3
