Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PAA,2002-03-06,N,12.96,12.94,12.96,12.66,-2.31,12.8,-1.23,9,12.96,12.32,-4.93,12.8,-1.23
PAA,2002-05-07,N,13.55,13.58,13.65,13.25,-2.21,13.35,-1.47,10,13.65,12.9,-4.79,13.16,-2.87
PAA,2002-07-24,N,10.68,10.68,11.64,10.58,8.98,11.6,8.61,23,13.2,10.58,23.59,11.79,10.39
PAA,2002-10-29,N,12.15,12.08,12.21,11.97,-1.48,12.14,-0.08,17,12.21,10.88,-10.45,11.25,-7.4
PAA,2003-02-26,N,12.72,12.69,12.7,12.52,-1.57,12.56,-1.25,23,12.88,12.1,-4.87,12.35,-2.9
PAA,2003-04-25,N,13.55,13.55,13.7,13.55,1.1,13.62,0.51,21,14.44,13.34,6.56,14.32,5.68
PAA,2003-07-29,N,15.55,15.62,15.68,15.5,0.83,15.68,0.83,17,15.8,14.81,-4.75,15.74,1.22
PAA,2003-10-28,N,15.32,15.36,15.37,15.25,-0.45,15.27,-0.32,24,15.85,14.88,3.45,15.62,1.95
PAA,2004-02-24,N,15.98,15.92,15.97,15.75,-1.43,15.92,-0.37,24,16.89,15.75,5.69,16.76,4.88
PAA,2004-04-28,N,16.89,16.89,16.89,16.57,-1.95,16.78,-0.71,23,16.89,13.62,-19.4,15.5,-8.28
PAA,2004-08-04,N,16.38,16.38,16.39,16.18,-1.22,16.18,-1.22,16,16.6,15.82,-3.41,16.39,0.12
PAA,2004-11-03,N,18.02,18.29,18.39,18.0,2.05,18.22,1.1,16,18.44,17.61,2.33,18.22,1.1
PAA,2005-02-24,N,19.46,19.52,19.69,19.48,1.18,19.61,0.77,22,20.49,19.26,5.29,20.28,4.21
PAA,2005-04-28,N,20.93,21.04,21.29,20.95,1.72,21.04,0.52,22,21.29,19.89,-4.96,20.68,-1.19
PAA,2005-07-28,N,23.13,23.25,23.45,23.15,1.38,23.36,0.99,22,24.1,21.0,-9.2,22.12,-4.36
