Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PBR,2013-10-25,Y,15.91,16.66,17.45,16.54,9.67,17.35,9.05,21,17.94,15.85,12.75,17.27,8.54
PBR,2014-02-25,Y,11.33,11.23,11.31,11.0,-2.91,11.07,-2.29,25,11.74,10.2,-9.97,11.59,2.29
PBR,2014-05-09,Y,15.1,15.19,15.41,15.14,2.05,15.36,1.72,8,15.7,15.12,3.97,15.28,1.19
PBR,2014-08-08,Y,15.94,16.07,16.48,15.94,3.38,16.46,3.26,8,16.58,15.23,-4.45,16.51,3.57
PBR,2015-01-02,Y,6.76,6.33,6.35,6.05,-10.5,6.07,-10.2,15,7.25,5.79,-14.34,7.06,4.43
PBR,2015-04-23,N,8.93,8.46,9.52,8.42,6.6,9.4,5.26,23,10.55,8.42,18.14,10.13,13.43
PBR,2015-05-15,Y,10.13,10.39,10.46,9.52,-6.02,9.69,-4.34,35,10.46,8.26,-18.46,9.4,-7.2
PBR,2015-08-06,Y,6.49,6.45,6.52,6.04,-6.93,6.05,-6.77,15,6.52,5.26,-18.95,5.27,-18.79
PBR,2016-01-27,Y,3.13,3.49,3.5,3.05,11.82,3.2,2.23,23,3.59,2.84,14.69,3.15,0.63
PBR,2016-03-21,Y,5.64,5.51,5.84,5.44,3.54,5.77,2.3,25,6.88,4.98,21.98,6.72,19.14
PBR,2016-05-12,Y,7.35,7.23,7.37,6.77,-7.89,6.88,-6.39,8,7.37,6.15,-16.32,6.45,-12.24
PBR,2016-08-11,Y,8.67,8.75,9.0,8.68,3.8,8.73,0.69,8,9.52,8.68,9.8,9.43,8.76
PBR,2016-11-10,Y,10.34,9.95,10.1,9.45,-8.6,9.73,-5.89,8,10.23,9.14,-11.6,9.65,-6.67
PBR,2017-03-21,Y,8.81,8.95,9.19,8.84,4.31,9.11,3.4,31,10.17,8.72,15.43,9.01,2.27
PBR,2017-05-11,Y,9.7,10.09,10.35,10.04,6.7,10.24,5.56,8,10.57,8.39,-13.5,8.96,-7.62
PBR,2017-08-10,Y,8.62,8.45,8.59,8.41,-2.43,8.48,-1.62,8,8.94,8.41,3.71,8.89,3.13
PBR,2017-11-13,Y,10.62,10.38,10.42,9.66,-9.03,9.68,-8.85,4,10.42,9.41,-11.39,10.14,-4.51
PBR,2018-03-14,Y,14.48,14.27,14.34,13.92,-3.86,14.07,-2.83,2,14.34,13.92,-3.86,14.1,-2.62
PBR,2018-05-07,Y,13.99,14.06,14.14,13.54,-3.21,13.87,-0.85,11,17.2,13.54,22.94,16.18,15.65
PBR,2018-08-03,Y,12.53,12.56,12.72,12.46,1.51,12.5,-0.23,14,12.73,10.63,-15.16,10.71,-14.52
PBR,2018-11-06,N,16.42,16.03,16.51,15.75,-4.08,15.87,-3.34,11,16.51,13.8,-15.95,14.86,-9.5
PBR,2019-02-27,Y,16.42,16.39,16.4,15.57,-5.17,15.72,-4.26,16,16.63,14.75,-10.17,16.59,1.03
PBR,2019-05-07,Y,14.71,15.01,15.47,14.96,5.16,15.26,3.73,10,15.47,13.35,-9.24,13.46,-8.49
PBR,2019-08-01,Y,14.72,15.23,15.35,14.82,4.27,14.95,1.56,15,15.35,13.0,-11.68,13.23,-10.12
PBR,2020-02-19,Y,14.89,14.77,14.93,14.37,-3.49,14.4,-3.29,2,14.93,13.89,-6.71,14.03,-5.77
PBR,2020-05-14,Y,6.04,6.25,6.53,6.1,8.11,6.1,0.99,1,6.53,6.1,8.11,6.1,0.99
PBR,2020-07-30,Y,9.08,9.08,9.14,8.65,-4.73,8.67,-4.51,22,9.14,8.1,-10.79,8.25,-9.14
PBR,2020-10-28,Y,6.47,6.24,6.77,6.15,-4.94,6.69,3.4,23,9.36,6.15,44.66,9.07,40.18
PBR,2021-02-24,Y,8.72,8.93,9.05,8.2,-5.96,8.27,-5.16,23,9.05,7.06,-19.03,8.49,-2.63
PBR,2021-05-13,Y,9.22,9.52,9.73,9.47,5.53,9.68,4.98,8,9.86,9.41,6.94,9.42,2.16
PBR,2021-08-04,Y,10.32,11.29,11.69,11.12,13.27,11.27,9.2,16,11.69,9.76,13.27,10.1,-2.13
PBR,2021-10-28,Y,10.56,10.33,10.43,9.76,-7.57,9.82,-7.0,22,10.43,9.47,-10.32,9.74,-7.76
PBR,2022-02-23,Y,14.56,14.63,14.67,13.57,-6.79,13.95,-4.18,23,15.12,12.66,-13.04,13.26,-8.92
PBR,2022-05-05,Y,13.65,13.8,14.22,13.41,4.17,14.08,3.15,15,15.49,13.2,13.47,15.42,12.96
PBR,2022-07-28,Y,13.39,13.91,14.44,13.91,7.84,14.28,6.64,22,15.83,12.61,18.22,13.66,2.01
PBR,2022-11-03,Y,13.05,13.51,13.56,12.48,-4.36,12.65,-3.06,15,13.56,10.82,-17.08,11.35,-13.02
PBR,2023-03-01,Y,11.09,10.79,11.15,10.63,-4.14,10.76,-2.97,16,11.61,9.63,-13.16,9.99,-9.91
