Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PD,2019-06-06,Y,47.56,50.0,55.29,46.0,16.25,48.9,2.81,15,59.82,46.0,25.77,53.41,12.3
PD,2019-09-05,Y,36.6,33.95,34.89,31.89,-12.86,32.47,-11.28,15,34.89,26.98,-26.28,29.75,-18.71
PD,2019-12-05,Y,24.99,20.53,22.75,20.53,-17.84,21.81,-12.72,15,25.44,20.53,-17.84,24.65,-1.36
PD,2020-03-18,Y,14.92,14.47,18.84,14.47,26.27,18.43,23.52,2,19.57,14.47,31.16,19.07,27.81
PD,2020-06-04,Y,26.92,25.31,26.3,23.59,-12.36,26.27,-2.41,15,32.69,23.59,21.43,30.58,13.59
PD,2020-09-02,Y,34.99,27.0,27.45,24.6,-29.69,25.97,-25.77,16,27.45,23.0,-34.26,24.83,-29.03
PD,2020-12-03,Y,32.36,39.53,41.48,37.5,28.18,40.84,26.2,15,46.56,37.5,43.88,45.21,39.7
PD,2021-03-17,Y,40.85,37.5,39.31,36.75,-10.03,37.56,-8.05,2,41.59,36.75,-10.03,41.18,0.8
PD,2021-06-03,Y,40.63,38.64,39.82,34.93,-14.02,35.36,-12.97,15,44.08,34.93,-14.02,43.72,7.6
PD,2021-09-02,Y,44.3,49.88,50.33,47.35,13.61,47.38,6.95,15,50.33,42.48,13.61,47.49,7.2
PD,2021-12-07,Y,33.49,36.62,37.79,33.87,12.83,37.25,11.22,10,38.31,31.45,14.39,34.49,2.98
PD,2022-03-16,Y,26.85,30.92,32.47,29.04,20.93,32.45,20.85,2,35.23,29.04,31.21,34.92,30.05
PD,2022-06-02,Y,27.43,27.55,27.7,25.36,-7.54,26.02,-5.14,15,29.02,21.94,-20.01,23.95,-12.68
PD,2022-09-01,Y,24.1,26.01,26.75,23.42,10.99,23.51,-2.44,15,26.75,22.85,10.99,23.56,-2.24
PD,2022-12-01,Y,22.52,23.82,24.57,22.99,9.1,23.67,5.1,15,27.97,21.69,24.2,26.6,18.11
PD,2023-03-15,Y,27.84,29.87,33.29,29.1,19.57,31.95,14.76,2,33.29,29.1,19.57,32.07,15.19
