Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PDCO,2002-02-20,N,20.2,20.07,20.62,20.07,2.07,20.38,0.89,23,20.8,19.43,-3.81,20.07,-0.59
PDCO,2002-05-23,N,22.75,22.88,23.68,22.8,4.08,23.68,4.08,29,26.74,22.8,17.53,25.3,11.2
PDCO,2002-08-22,N,25.28,25.3,25.46,24.34,-3.71,24.42,-3.4,29,26.55,23.2,-8.22,25.88,2.37
PDCO,2002-11-21,N,25.35,22.77,22.85,20.1,-20.71,20.5,-19.13,29,22.85,19.05,-24.85,22.08,-12.89
PDCO,2003-02-20,N,19.92,20.36,20.59,19.82,3.36,19.97,0.25,1,21.5,19.82,7.93,21.06,5.72
PDCO,2003-05-22,N,20.59,21.76,20.98,20.5,1.89,20.8,1.01,29,23.12,20.5,12.28,22.45,9.03
PDCO,2003-08-20,N,27.04,26.04,28.35,27.21,4.84,27.93,3.29,30,29.92,25.06,10.65,29.8,10.2
PDCO,2003-11-20,N,33.28,31.62,33.36,32.85,-1.29,32.9,-1.14,1,33.92,31.5,-5.34,32.54,-2.19
PDCO,2004-02-19,N,34.32,33.54,34.25,33.04,-3.72,33.44,-2.56,1,35.0,32.54,-5.18,32.58,-5.06
PDCO,2004-05-20,N,37.44,36.04,37.96,37.24,1.38,37.32,-0.32,1,37.96,35.18,-6.03,35.24,-5.87
PDCO,2004-08-26,N,38.2,37.04,37.64,36.95,-3.27,37.42,-2.04,22,37.65,36.29,-5.0,37.46,-1.93
PDCO,2004-11-24,N,38.97,38.78,40.65,37.54,4.28,40.36,3.56,23,43.0,37.54,10.31,42.06,7.9
PDCO,2005-02-24,N,47.1,47.25,49.25,47.0,4.56,49.17,4.39,22,51.5,47.0,9.34,48.92,3.86
PDCO,2005-05-26,N,52.96,47.02,47.02,42.32,-20.09,45.46,-14.16,22,47.85,42.32,-20.09,46.46,-12.27
