Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PDFS,2002-04-23,Y,16.87,15.95,16.0,12.35,-26.79,13.05,-22.64,24,16.0,11.05,-34.49,11.2,-33.6
PDFS,2002-07-23,Y,5.73,5.0,6.02,4.43,-22.68,6.02,5.06,24,6.45,4.43,-22.68,5.3,-7.5
PDFS,2002-10-23,Y,6.24,6.23,6.25,6.09,-2.4,6.2,-0.64,23,9.1,6.09,45.83,7.7,23.39
PDFS,2003-01-23,Y,6.69,6.0,6.0,5.3,-20.77,5.48,-18.08,29,7.62,5.09,-23.91,7.29,8.96
PDFS,2003-04-24,Y,6.5,6.37,6.46,6.34,-2.46,6.4,-1.53,22,9.01,6.34,38.61,9.0,38.46
PDFS,2003-07-24,Y,13.54,13.3,13.83,13.28,2.14,13.75,1.55,22,13.95,11.4,-15.8,11.95,-11.74
PDFS,2003-10-23,Y,13.0,12.88,12.88,12.03,-7.46,12.03,-7.46,29,13.73,11.1,-14.61,11.5,-11.53
PDFS,2004-01-27,Y,14.61,14.0,14.43,13.86,-5.13,14.39,-1.5,24,14.43,11.25,-22.99,11.36,-22.24
PDFS,2004-04-22,Y,11.7,11.38,11.38,10.26,-12.3,10.55,-9.82,29,11.38,8.42,-28.03,8.77,-24.95
PDFS,2004-07-22,Y,7.95,8.06,8.85,8.06,11.32,8.55,7.54,29,9.97,7.91,25.4,9.72,22.26
PDFS,2004-10-21,Y,13.95,13.98,14.43,13.65,3.44,13.75,-1.43,29,14.43,11.75,-15.77,13.36,-4.22
PDFS,2005-01-27,Y,14.27,14.5,15.14,14.05,6.09,14.38,0.77,22,15.14,12.92,-9.46,13.65,-4.34
PDFS,2005-04-21,Y,13.16,13.13,14.55,13.13,10.56,13.44,2.12,29,14.55,11.87,10.56,12.5,-5.01
PDFS,2005-07-21,Y,15.14,14.93,16.39,14.88,8.25,16.39,8.32,29,16.44,14.88,8.58,15.5,2.37
PDFS,2005-10-20,Y,17.05,16.44,16.44,14.42,-15.42,15.37,-9.85,1,16.44,14.42,-15.42,15.37,-9.85
PDFS,2006-01-26,Y,19.85,19.96,19.96,17.11,-13.8,17.98,-9.42,22,19.96,16.3,-17.88,17.47,-11.98
PDFS,2006-04-20,Y,18.64,16.66,16.79,13.75,-26.23,13.89,-25.48,1,16.79,13.75,-26.23,13.89,-25.48
PDFS,2006-07-20,Y,11.77,11.09,11.34,9.39,-20.22,9.5,-19.28,1,11.34,9.39,-20.22,9.5,-19.28
PDFS,2006-10-25,Y,12.82,12.95,14.88,12.81,16.06,14.48,12.94,23,14.88,12.81,16.06,14.62,14.04
PDFS,2007-02-06,Y,11.07,12.07,13.05,11.99,17.88,12.89,16.44,10,13.05,11.99,17.88,12.48,12.73
PDFS,2007-04-25,Y,11.1,12.0,12.52,11.87,12.79,12.03,8.37,23,12.52,9.74,12.79,10.02,-9.72
PDFS,2007-07-31,Y,11.09,10.0,10.0,9.18,-17.22,9.6,-13.43,17,12.43,9.18,-17.22,10.06,-9.28
PDFS,2007-10-31,Y,7.9,8.74,9.27,7.47,17.46,7.5,-5.06,16,9.27,7.47,17.46,8.26,4.55
PDFS,2008-02-07,Y,8.26,6.75,6.85,5.57,-32.56,5.89,-28.69,8,6.85,4.58,-44.55,5.2,-37.04
PDFS,2008-04-29,Y,4.93,4.73,4.79,4.05,-17.84,4.78,-3.04,17,5.44,4.05,-17.84,5.24,6.28
PDFS,2008-07-30,Y,4.55,4.34,4.91,3.95,-13.18,4.55,,16,6.29,3.95,38.24,6.23,36.92
PDFS,2008-10-28,Y,3.25,3.19,3.19,2.75,-15.38,2.75,-15.38,24,3.19,2.04,-37.23,2.25,-30.76
PDFS,2009-02-05,Y,1.61,1.69,1.69,1.58,4.96,1.59,-1.24,15,1.69,1.05,-34.78,1.06,-34.16
PDFS,2009-04-28,Y,1.72,1.36,1.9,1.36,-20.93,1.76,2.32,17,2.18,1.36,26.74,1.84,6.97
PDFS,2009-07-29,Y,2.29,2.45,2.46,2.02,-11.79,2.37,3.49,23,3.0,2.02,31.0,2.7,17.9
PDFS,2009-10-27,Y,3.72,3.81,3.81,3.48,-6.45,3.75,0.8,24,3.88,3.3,-11.29,3.49,-6.18
PDFS,2010-02-10,Y,3.87,3.87,4.0,3.8,3.35,4.0,3.35,9,4.2,3.8,8.52,4.2,8.52
PDFS,2010-04-22,Y,4.83,4.97,5.09,4.76,5.38,4.92,1.86,29,5.14,4.55,6.41,4.76,-1.24
PDFS,2010-07-29,Y,4.18,4.18,4.49,3.96,7.41,4.09,-1.91,22,4.49,3.57,-14.59,3.65,-12.67
PDFS,2010-10-28,Y,4.07,4.0,4.2,3.89,-4.42,4.05,-0.49,22,4.2,3.77,-7.37,4.0,-1.71
PDFS,2011-02-10,Y,6.05,6.25,6.55,6.25,8.26,6.4,5.78,8,6.97,6.23,15.2,6.86,13.38
PDFS,2011-04-28,Y,6.84,6.05,6.42,6.05,-11.54,6.32,-7.6,22,6.54,5.89,-13.88,6.16,-9.94
PDFS,2011-08-03,Y,5.72,5.64,5.93,5.6,3.67,5.61,-1.92,16,5.93,4.42,-22.72,4.87,-14.86
PDFS,2011-11-03,Y,5.43,5.78,5.78,5.58,6.44,5.71,5.15,15,6.33,5.38,16.57,6.09,12.15
PDFS,2012-02-16,Y,6.83,6.95,6.95,6.6,-3.36,6.74,-1.31,1,6.95,6.6,-3.36,6.74,-1.31
PDFS,2012-05-03,Y,8.69,9.49,10.37,9.11,19.19,10.29,18.27,15,10.64,8.67,22.29,8.69,0.11
PDFS,2012-08-08,Y,10.19,10.5,10.99,10.3,7.85,10.98,7.75,9,11.0,10.0,7.94,10.85,6.47
PDFS,2012-10-24,Y,13.5,13.65,13.76,12.98,-3.85,13.02,-3.55,23,14.95,12.94,10.74,13.29,-1.55
PDFS,2013-02-14,Y,15.87,15.94,17.48,15.94,10.14,16.96,6.86,1,17.48,15.94,10.14,16.96,6.86
PDFS,2013-04-24,Y,15.62,15.49,17.75,14.96,13.63,17.54,12.29,23,19.03,14.96,21.83,18.79,20.29
