Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PEP,2002-02-06,N,50.81,48.9,49.55,48.19,-5.15,49.1,-3.36,9,50.08,47.6,-6.31,49.88,-1.83
PEP,2002-04-23,N,52.83,53.0,53.04,52.02,-1.53,52.2,-1.19,24,53.5,51.41,-2.68,52.14,-1.3
PEP,2002-07-19,N,40.29,38.0,40.29,35.25,-12.53,36.2,-10.17,0,40.29,35.25,-12.53,36.2,-10.17
PEP,2002-10-08,N,35.78,38.5,41.32,38.5,15.48,41.1,14.86,10,44.34,38.5,23.92,43.8,22.41
PEP,2003-02-06,N,41.08,40.75,40.79,39.4,-4.08,40.22,-2.09,15,40.79,38.02,-7.44,39.4,-4.08
PEP,2003-04-17,N,39.9,40.4,42.58,40.75,6.71,42.54,6.61,1,42.58,40.75,6.71,42.54,6.61
PEP,2003-07-10,N,44.55,44.5,46.99,45.0,5.47,46.95,5.38,8,47.98,45.0,7.69,47.32,6.21
PEP,2003-10-07,N,47.5,47.8,48.88,46.83,2.9,47.4,-0.21,10,48.88,46.83,2.9,47.88,0.8
PEP,2004-02-05,N,47.6,48.55,48.55,48.55,1.99,48.55,1.99,15,51.82,48.55,8.86,51.75,8.71
PEP,2004-04-15,N,54.91,54.81,54.81,54.81,0.18,54.81,-0.18,1,55.25,54.66,0.61,54.79,-0.21
PEP,2004-07-15,N,53.41,52.76,53.14,51.69,-3.22,51.92,-2.78,1,53.14,51.69,-3.22,52.3,-2.07
PEP,2004-09-30,N,48.1,49.15,49.6,48.54,3.11,48.65,1.14,15,50.67,47.65,5.34,48.3,0.41
PEP,2005-02-03,N,54.14,54.25,54.73,54.17,1.08,54.33,0.35,15,55.71,53.5,2.89,54.2,0.11
PEP,2005-04-14,N,53.63,54.35,55.31,53.63,3.13,55.14,2.81,1,55.42,53.63,3.33,54.83,2.23
PEP,2005-07-12,Y,54.6,54.6,55.09,54.6,0.89,54.87,0.49,3,55.79,54.6,2.17,55.45,1.55
PEP,2005-09-29,N,55.06,56.4,57.03,55.85,3.57,56.5,2.61,22,58.66,55.85,6.53,57.59,4.59
PEP,2006-02-08,N,56.86,57.7,57.71,56.95,1.49,57.28,0.73,9,59.12,56.95,3.97,58.92,3.62
PEP,2006-04-26,N,57.5,57.82,58.03,57.72,0.92,57.86,0.62,23,60.0,56.95,4.34,58.6,1.91
PEP,2006-07-13,N,61.1,61.95,62.34,61.6,2.02,62.07,1.58,8,63.55,61.34,4.0,62.76,2.71
PEP,2006-10-12,N,63.86,63.5,63.5,62.16,-2.66,62.85,-1.58,8,63.5,61.95,-2.99,62.81,-1.64
PEP,2007-02-08,N,64.5,63.25,64.11,62.8,-2.63,63.31,-1.84,8,64.95,62.56,-3.0,64.62,0.18
PEP,2007-04-25,N,66.41,66.77,67.23,66.3,1.23,66.98,0.85,23,69.64,65.78,4.86,69.48,4.62
PEP,2007-07-24,N,66.59,66.0,66.9,65.61,-1.47,66.26,-0.49,24,70.25,65.09,5.49,69.38,4.18
PEP,2007-10-11,N,73.59,73.8,74.09,70.81,-3.79,71.77,-2.48,8,74.09,70.34,-4.42,70.4,-4.34
PEP,2008-02-07,N,66.73,68.7,70.53,67.8,5.69,70.41,5.51,8,72.75,67.8,9.02,71.73,7.49
PEP,2008-04-24,N,69.19,68.81,69.59,68.0,-1.71,68.0,-1.71,22,69.81,66.81,-3.43,67.87,-1.9
PEP,2008-07-23,Y,67.72,67.84,68.02,66.94,-1.15,67.4,-0.47,23,70.83,66.29,4.59,70.2,3.66
PEP,2008-10-14,Y,54.4,54.15,54.72,50.65,-6.89,51.25,-5.79,3,55.48,50.65,-6.89,53.88,-0.95
PEP,2009-02-13,N,52.0,52.07,53.46,51.08,2.8,52.57,1.09,7,53.46,50.5,-2.88,51.45,-1.05
PEP,2009-04-20,N,52.13,51.32,51.59,49.52,-5.0,49.86,-4.35,25,51.59,47.5,-8.88,50.32,-3.47
PEP,2009-07-22,N,56.4,56.22,56.4,55.37,-1.82,55.89,-0.9,30,59.64,55.37,5.74,57.49,1.93
PEP,2009-10-08,N,61.17,61.24,61.24,59.8,-2.23,60.39,-1.27,8,62.75,59.8,2.58,62.29,1.83
PEP,2010-02-11,N,60.38,60.87,61.7,60.5,2.18,61.19,1.34,8,62.92,60.49,4.2,62.66,3.77
PEP,2010-04-22,N,65.98,65.75,65.79,64.5,-2.24,64.76,-1.84,29,67.61,61.91,-6.16,63.58,-3.63
PEP,2010-07-20,N,62.05,61.77,64.87,61.71,4.54,64.73,4.31,31,66.83,61.71,7.7,64.8,4.43
PEP,2010-10-07,N,68.11,66.59,66.7,65.18,-4.3,66.09,-2.95,8,67.0,65.0,-4.56,66.68,-2.09
PEP,2011-02-10,N,64.42,63.48,64.19,62.94,-2.29,63.36,-1.64,8,64.7,62.56,-2.88,63.41,-1.56
PEP,2011-04-28,N,67.93,67.93,69.92,67.87,2.92,69.72,2.63,22,71.89,67.87,5.82,71.3,4.96
PEP,2011-07-21,N,68.48,67.31,67.31,64.79,-5.4,66.17,-3.38,29,67.31,60.1,-12.24,62.07,-9.37
PEP,2011-10-12,N,60.95,62.37,63.62,62.0,4.38,62.7,2.87,9,63.62,61.67,4.38,62.28,2.18
PEP,2012-02-09,N,66.73,64.86,64.9,63.81,-4.39,64.27,-3.7,8,64.9,62.33,-6.6,62.68,-6.08
PEP,2012-04-26,N,66.67,66.5,66.77,66.22,-0.67,66.37,-0.44,22,69.18,65.68,3.76,68.12,2.17
PEP,2012-07-25,N,68.79,69.06,70.45,69.04,2.41,70.3,2.19,23,73.65,69.04,7.06,73.39,6.68
PEP,2012-10-17,N,70.3,70.23,70.93,69.95,0.89,70.09,-0.28,2,70.93,69.61,-0.98,69.88,-0.59
PEP,2013-02-14,N,71.5,72.12,73.2,71.5,2.37,72.28,1.09,1,73.72,71.5,3.1,73.68,3.04
PEP,2013-04-18,N,78.84,80.2,83.45,80.11,5.83,81.25,3.04,1,83.45,80.11,5.83,82.77,4.97
PEP,2013-07-24,N,86.2,86.7,86.7,85.64,-0.64,85.64,-0.64,23,86.7,79.94,-7.26,80.18,-6.98
PEP,2013-10-16,N,80.59,82.0,82.4,81.38,2.23,82.27,2.07,2,83.01,81.38,2.99,83.01,2.99
PEP,2014-02-13,N,81.49,80.77,80.87,78.36,-3.84,79.69,-2.2,10,80.87,77.01,-5.49,78.22,-4.01
PEP,2014-04-17,N,84.77,85.9,85.94,84.49,1.38,85.55,0.92,3,85.94,84.49,1.38,85.55,0.92
PEP,2014-07-23,N,89.17,91.26,93.09,90.76,4.39,90.82,1.85,25,93.09,87.46,4.39,91.85,3.0
PEP,2014-10-09,N,93.94,95.35,96.22,93.56,2.42,93.57,-0.39,10,96.22,89.82,-4.38,91.51,-2.58
PEP,2015-02-11,N,97.99,100.05,100.76,99.2,2.82,100.4,2.45,10,100.76,97.83,2.82,99.06,1.09
PEP,2015-04-23,N,97.28,96.67,97.44,95.45,-1.88,95.73,-1.59,23,98.44,93.25,-4.14,98.22,0.96
PEP,2015-07-09,N,95.61,97.34,97.35,94.08,1.81,94.59,-1.06,9,97.49,94.08,1.96,96.78,1.22
PEP,2015-10-06,N,95.81,97.96,98.0,96.73,2.28,97.07,1.31,11,100.1,96.73,4.47,99.7,4.06
PEP,2016-02-11,N,97.62,96.39,97.94,96.09,-1.56,96.9,-0.73,9,100.19,96.09,2.63,99.58,2.0
PEP,2016-04-18,N,103.77,104.16,104.59,103.5,0.79,103.72,-0.04,35,106.94,100.0,-3.63,100.1,-3.53
PEP,2016-07-07,N,105.92,108.53,109.0,107.07,2.9,107.49,1.48,9,110.94,107.07,4.73,109.66,3.53
PEP,2016-09-29,N,107.38,109.5,109.71,107.71,2.16,107.76,0.35,23,109.71,105.0,-2.21,105.62,-1.63
PEP,2017-02-15,N,106.92,105.35,107.25,104.77,-2.01,106.73,-0.17,3,108.3,104.77,-2.01,108.15,1.15
PEP,2017-04-26,N,114.16,111.75,113.76,111.34,-2.47,113.33,-0.72,24,114.66,111.34,-2.47,113.69,-0.41
PEP,2017-07-11,N,114.27,113.34,113.98,112.25,-1.76,113.74,-0.46,11,116.67,112.25,2.1,116.63,2.06
PEP,2017-10-04,N,109.13,106.94,110.16,106.19,-2.69,109.34,0.19,17,113.63,106.19,4.12,111.61,2.27
PEP,2018-02-13,N,111.93,112.0,112.67,110.68,-1.11,112.14,0.18,4,112.67,108.72,-2.86,111.06,-0.77
PEP,2018-04-26,N,101.15,102.25,104.08,101.15,2.89,103.26,2.08,23,104.08,95.94,-5.15,97.51,-3.59
PEP,2018-07-10,N,107.76,110.62,113.0,109.68,4.86,112.89,4.76,11,116.79,109.68,8.37,116.01,7.65
PEP,2018-10-02,N,110.71,110.45,111.11,107.7,-2.71,108.72,-1.79,18,111.11,104.53,-5.58,110.29,-0.37
PEP,2019-02-15,N,112.59,115.85,116.28,114.11,3.27,115.91,2.94,1,116.28,114.11,3.27,115.91,2.94
PEP,2019-04-17,N,122.41,125.0,127.11,123.84,3.83,127.01,3.75,2,128.26,123.84,4.77,127.09,3.82
PEP,2019-07-09,N,132.56,133.0,133.4,130.72,-1.38,131.74,-0.61,11,135.24,130.01,2.02,130.09,-1.86
PEP,2019-10-03,N,133.94,138.44,139.75,136.5,4.33,137.93,2.97,16,140.45,135.58,4.86,136.25,1.72
PEP,2020-02-13,N,146.08,145.25,147.13,143.52,-1.75,146.47,0.26,9,147.2,143.52,-1.75,145.85,-0.15
PEP,2020-04-28,N,134.46,136.78,137.68,134.66,2.39,136.32,1.38,18,137.68,129.32,-3.82,135.95,1.1
PEP,2020-07-13,N,134.46,136.77,138.07,134.47,2.68,134.91,0.33,7,138.07,133.05,2.68,134.66,0.14
PEP,2020-10-01,N,138.6,139.44,140.85,137.49,1.62,140.8,1.58,16,144.11,135.15,3.97,141.73,2.25
PEP,2021-02-11,N,137.7,137.85,138.21,134.34,-2.44,134.97,-1.98,9,138.21,132.28,-3.93,132.51,-3.76
PEP,2021-04-15,N,142.11,141.67,143.1,141.42,0.69,142.31,0.14,2,144.32,141.42,1.55,144.16,1.44
PEP,2021-07-13,N,149.51,151.15,153.91,150.75,2.94,152.96,2.3,4,156.84,150.75,4.9,155.82,4.22
PEP,2021-10-05,N,150.2,151.36,152.39,150.07,1.45,151.09,0.59,11,159.66,149.96,6.29,158.81,5.73
PEP,2022-02-10,N,171.94,168.66,171.45,167.3,-2.69,168.37,-2.07,9,171.45,164.54,-4.3,167.71,-2.46
PEP,2022-04-26,N,173.74,173.97,175.35,172.73,0.92,173.3,-0.25,25,177.62,159.62,-8.12,162.21,-6.63
PEP,2022-07-12,N,170.47,173.0,173.32,168.87,1.67,169.5,-0.56,4,173.32,167.7,1.67,171.12,0.38
PEP,2022-10-12,N,162.59,168.73,170.7,166.6,4.98,169.39,4.18,10,176.91,166.6,8.8,173.06,6.43
PEP,2023-02-09,N,171.16,175.32,176.49,172.04,3.11,172.78,0.94,9,178.22,172.04,4.12,176.28,2.99
PEP,2023-04-25,N,185.5,186.56,190.18,186.24,2.52,189.71,2.26,25,196.88,186.24,6.13,191.84,3.41
