Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PERI,2012-08-14,Y,5.31,5.31,5.31,5.15,-3.01,5.15,-3.01,3,5.4,5.01,-5.64,5.37,1.12
PERI,2012-11-01,Y,7.7,7.47,7.89,7.45,-3.24,7.83,1.68,15,9.74,7.45,26.49,8.77,13.89
PERI,2013-03-13,Y,10.02,9.96,9.96,9.19,-8.37,9.27,-7.57,2,9.96,8.9,-11.26,9.13,-8.97
PERI,2013-05-13,N,12.6,14.23,14.94,13.43,18.57,13.94,10.63,4,14.94,13.43,18.57,14.38,14.12
PERI,2013-08-12,N,12.05,11.48,11.48,10.11,-16.09,10.33,-14.27,4,11.48,10.11,-16.09,10.84,-10.04
PERI,2013-11-12,N,10.21,11.4,12.27,11.03,20.17,11.83,15.86,3,12.27,10.81,20.17,10.98,7.54
PERI,2014-03-03,N,11.93,13.61,13.75,12.86,15.25,13.14,10.14,22,13.75,11.49,15.25,11.63,-2.51
PERI,2014-05-15,N,10.51,10.9,11.08,10.13,5.42,10.39,-1.14,3,11.08,9.89,-5.89,10.14,-3.52
PERI,2014-08-06,N,8.19,7.61,7.61,7.3,-10.86,7.45,-9.03,11,7.61,6.89,-15.87,7.0,-14.52
PERI,2014-11-06,N,5.14,5.95,6.45,5.68,25.48,6.1,18.67,17,6.45,5.5,25.48,5.62,9.33
PERI,2015-02-25,N,3.82,3.59,3.9,3.42,-10.47,3.65,-4.45,24,3.9,3.16,-17.27,3.3,-13.61
PERI,2015-05-06,N,3.67,3.8,3.85,3.63,4.9,3.72,1.36,10,3.85,3.47,-5.44,3.58,-2.45
PERI,2015-08-03,N,2.56,2.87,2.89,2.6,12.89,2.64,3.12,21,2.89,2.36,12.89,2.36,-7.81
PERI,2015-11-03,N,2.16,2.35,2.5,2.28,15.74,2.42,12.03,18,2.63,2.15,21.75,2.4,11.11
PERI,2016-03-15,N,2.55,2.53,2.53,2.22,-12.94,2.36,-7.45,4,2.53,2.11,-17.25,2.14,-16.07
PERI,2016-05-10,N,1.5,1.63,1.81,1.53,20.66,1.6,6.66,11,1.81,1.24,20.66,1.3,-13.33
PERI,2016-11-08,N,0.98,1.1,1.17,1.06,19.38,1.12,14.28,11,1.22,1.0,24.48,1.13,15.3
PERI,2017-03-07,N,1.94,1.72,1.81,1.55,-20.1,1.69,-12.88,11,1.93,1.55,-20.1,1.92,-1.03
PERI,2017-05-04,N,1.73,1.54,1.59,1.3,-24.85,1.46,-15.6,16,1.59,1.3,-24.85,1.47,-15.02
PERI,2017-08-03,N,1.72,1.63,1.64,1.43,-16.86,1.46,-15.11,16,1.64,1.19,-30.81,1.22,-29.06
PERI,2017-11-09,N,0.96,1.0,1.03,0.97,7.29,1.0,4.16,9,1.08,0.88,12.5,1.0,4.16
PERI,2018-03-15,N,0.84,0.9,0.95,0.82,13.09,0.83,-1.19,2,0.95,0.8,13.09,0.81,-3.57
PERI,2018-05-10,N,0.75,0.81,1.23,0.81,64.0,0.98,30.66,9,1.23,0.81,64.0,1.06,41.33
PERI,2018-08-09,N,1.09,1.11,1.17,1.06,7.33,1.06,-2.75,9,1.17,0.98,-10.09,1.05,-3.66
PERI,2018-11-01,N,3.07,2.85,2.95,2.77,-9.77,2.8,-8.79,16,3.0,2.77,-9.77,2.85,-7.16
PERI,2019-02-13,N,3.23,2.85,3.06,2.68,-17.02,3.04,-5.88,3,3.15,2.68,-17.02,3.01,-6.81
PERI,2019-05-15,N,2.97,3.04,3.05,2.97,2.69,2.99,0.67,3,3.08,2.93,3.7,2.98,0.33
PERI,2019-08-07,N,4.25,4.59,4.95,4.27,16.47,4.89,15.05,10,5.86,4.27,37.88,5.63,32.47
PERI,2019-11-06,N,5.8,6.08,6.25,4.93,-15.0,5.2,-10.34,10,6.25,4.86,-16.2,5.15,-11.2
