Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PGR,2002-01-23,Y,12.24,12.24,12.34,12.14,0.81,12.21,-0.24,23,12.87,11.68,5.14,12.61,3.02
PGR,2002-04-17,Y,14.8,14.57,14.66,14.27,-3.58,14.44,-2.43,2,14.66,14.27,-3.58,14.4,-2.7
PGR,2002-07-17,Y,12.44,11.19,11.92,11.19,-10.04,11.88,-4.5,2,12.26,11.19,-10.04,12.02,-3.37
PGR,2002-10-16,Y,13.8,14.34,14.58,14.17,5.65,14.28,3.47,2,14.58,13.89,5.65,14.19,2.82
PGR,2003-01-22,Y,11.71,11.7,12.15,11.7,3.75,12.13,3.58,30,12.6,11.66,7.6,12.48,6.57
PGR,2003-04-16,Y,16.35,16.35,16.39,15.99,-2.2,16.3,-0.3,2,16.39,15.99,-2.2,16.3,-0.3
PGR,2003-07-16,Y,18.3,18.21,18.21,16.64,-9.07,16.78,-8.3,2,18.21,16.36,-10.6,16.66,-8.96
PGR,2003-10-22,Y,18.18,18.18,18.3,17.6,-3.19,18.05,-0.66,30,19.91,17.6,9.51,19.26,5.94
PGR,2004-01-21,Y,21.28,20.9,20.9,20.9,1.78,20.9,-1.78,30,21.34,20.17,-5.21,21.15,-0.61
PGR,2004-04-14,Y,21.79,22.3,22.3,22.3,2.34,22.3,2.34,2,22.66,22.3,3.99,22.47,3.12
PGR,2004-08-09,Y,18.62,18.51,18.66,18.28,-1.82,18.62,,11,19.5,18.28,4.72,19.47,4.56
PGR,2004-11-09,Y,23.78,23.74,24.16,23.68,1.59,23.95,0.71,10,24.16,22.94,-3.53,23.0,-3.28
PGR,2005-03-01,Y,21.86,21.86,22.14,21.78,1.28,21.96,0.45,17,22.91,21.76,4.8,22.55,3.15
PGR,2005-05-09,Y,23.4,23.22,23.26,22.98,-1.79,23.08,-1.36,11,23.68,22.6,-3.41,23.54,0.59
PGR,2005-08-09,N,23.97,23.97,24.13,23.78,-0.79,23.8,-0.7,10,24.46,23.42,-2.29,24.31,1.41
PGR,2005-11-10,Y,30.51,30.45,30.61,30.17,-1.11,30.24,-0.88,8,31.0,29.04,-4.81,30.26,-0.81
PGR,2006-03-02,Y,25.95,25.78,26.51,25.78,2.15,26.24,1.11,15,26.9,25.5,3.66,26.54,2.27
PGR,2006-08-03,Y,23.7,23.91,24.01,23.37,-1.39,23.43,-1.13,15,24.01,22.18,-6.41,23.58,-0.5
PGR,2007-05-03,Y,23.4,23.47,23.47,23.33,0.29,23.42,0.08,15,23.54,22.97,-1.83,23.08,-1.36
PGR,2007-08-03,Y,21.06,21.02,21.73,20.95,3.18,21.68,2.94,14,24.03,20.95,14.1,22.41,6.41
PGR,2008-02-29,N,18.93,18.66,18.8,18.23,-3.69,18.32,-3.16,21,18.8,15.0,-20.76,16.26,-14.1
PGR,2008-04-09,Y,17.01,17.0,17.1,16.64,-2.17,17.01,,9,18.44,16.64,8.4,17.93,5.4
PGR,2008-08-08,Y,19.67,19.6,19.8,19.29,-1.93,19.51,-0.81,7,19.8,18.14,-7.77,18.54,-5.74
PGR,2008-11-12,Y,12.18,12.74,15.14,12.5,24.3,15.1,23.97,9,15.14,11.86,24.3,13.08,7.38
PGR,2009-02-27,Y,11.57,11.34,11.78,11.18,-3.37,11.22,-3.02,21,13.67,9.76,18.15,12.86,11.14
PGR,2009-04-15,Y,15.8,15.87,16.03,15.53,-1.7,15.78,-0.12,2,16.03,15.38,-2.65,15.83,0.18
PGR,2009-08-12,Y,16.32,16.44,16.51,16.19,1.1,16.43,0.61,9,16.86,15.82,3.24,16.84,3.12
PGR,2009-11-11,Y,17.29,17.35,17.35,16.96,-1.9,17.04,-1.44,9,17.35,16.43,-4.97,16.85,-2.54
PGR,2010-03-03,Y,17.03,17.07,17.14,16.85,-1.05,17.11,0.46,16,18.25,16.85,7.16,18.1,6.28
PGR,2010-04-14,N,19.47,19.91,20.72,19.91,6.42,20.62,5.9,2,20.9,19.91,7.34,20.36,4.57
PGR,2010-08-05,Y,19.75,19.57,19.69,19.34,-2.07,19.64,-0.5,15,19.89,18.94,-4.1,19.45,-1.51
PGR,2010-11-08,Y,21.75,21.83,21.84,21.41,-1.56,21.46,-1.33,11,21.84,20.6,-5.28,20.76,-4.55
PGR,2011-03-03,Y,20.69,20.98,21.07,20.58,1.83,20.88,0.91,15,21.24,20.05,-3.09,20.67,-0.09
PGR,2011-04-14,N,21.41,21.3,21.54,20.86,-2.56,21.13,-1.3,1,21.54,20.86,-2.56,21.43,0.09
PGR,2011-08-11,Y,18.38,18.51,18.77,18.1,2.12,18.25,-0.7,8,18.77,17.46,-5.0,17.47,-4.95
PGR,2011-11-07,Y,18.76,18.97,19.28,18.86,2.77,19.23,2.55,11,19.69,18.36,4.95,18.57,-0.95
PGR,2012-02-28,Y,21.54,21.52,21.65,21.36,-0.83,21.42,-0.55,17,23.0,21.17,6.77,22.59,4.87
