Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PIRS,2015-08-13,Y,3.27,3.25,3.56,3.0,8.86,3.49,6.72,8,3.56,2.7,-17.43,2.75,-15.9
PIRS,2015-11-11,Y,1.99,1.95,2.04,1.83,-8.04,1.87,-6.03,9,2.31,1.81,16.08,2.19,10.05
PIRS,2016-03-22,Y,1.88,2.1,2.1,1.75,11.7,1.76,-6.38,24,2.48,1.75,31.91,2.41,28.19
PIRS,2016-05-11,Y,1.8,1.84,1.84,1.66,-7.77,1.7,-5.55,9,1.86,1.58,-12.22,1.74,-3.33
PIRS,2016-08-10,Y,1.71,1.75,1.78,1.63,-4.67,1.69,-1.16,9,1.78,1.62,-5.26,1.63,-4.67
PIRS,2016-11-09,Y,1.5,1.5,1.53,1.4,-6.66,1.49,-0.66,9,1.65,1.4,9.99,1.56,4.66
PIRS,2017-03-22,Y,2.45,2.5,2.6,2.42,6.12,2.54,4.08,30,2.8,2.25,14.28,2.34,-4.48
PIRS,2017-05-10,Y,3.98,3.68,4.07,3.62,-9.04,3.89,-2.26,9,4.28,3.62,-9.04,4.05,1.75
PIRS,2017-08-09,Y,5.0,4.97,5.12,4.47,-10.6,4.63,-7.4,9,5.12,4.42,-11.6,4.87,-2.59
PIRS,2017-11-08,Y,4.78,4.8,5.65,4.72,18.2,5.25,9.83,9,6.25,4.72,30.75,6.09,27.4
PIRS,2018-05-09,N,5.81,5.81,5.89,5.61,-3.44,5.69,-2.06,10,6.11,5.27,-9.29,5.92,1.89
PIRS,2018-08-09,N,5.3,5.05,5.5,4.43,-16.41,5.42,2.26,9,5.85,4.43,-16.41,5.09,-3.96
PIRS,2018-11-07,N,4.38,4.15,4.15,3.24,-26.02,3.79,-13.47,10,4.15,3.04,-30.59,3.48,-20.54
PIRS,2019-03-12,N,3.1,3.13,3.32,3.08,7.09,3.21,3.54,4,3.48,3.08,12.25,3.32,7.09
PIRS,2019-05-10,N,3.19,3.16,3.55,3.15,11.28,3.31,3.76,8,4.07,3.15,27.58,3.59,12.53
PIRS,2019-08-01,N,5.5,5.67,5.75,5.32,4.54,5.38,-2.18,16,5.75,4.75,-13.63,5.0,-9.09
PIRS,2020-03-12,N,2.23,2.07,2.11,1.6,-28.25,1.61,-27.8,9,2.2,1.6,-28.25,1.98,-11.21
PIRS,2020-05-07,N,2.57,2.64,2.71,2.56,5.44,2.59,0.77,9,3.25,2.56,26.45,2.72,5.83
PIRS,2020-08-10,N,2.7,2.88,2.91,2.65,7.77,2.79,3.33,14,3.45,2.65,27.77,3.17,17.4
PIRS,2020-11-04,N,2.5,2.5,2.74,2.44,9.6,2.67,6.79,17,2.96,2.44,18.4,2.78,11.19
PIRS,2021-03-30,N,2.47,2.58,2.62,2.41,6.07,2.5,1.21,18,2.91,2.05,17.81,2.12,-14.17
PIRS,2021-05-17,N,1.88,1.91,2.04,1.88,8.51,1.92,2.12,7,2.04,1.81,8.51,1.93,2.65
PIRS,2021-08-04,N,3.64,3.62,3.75,3.46,-4.94,3.65,0.27,17,4.13,3.46,13.46,4.04,10.98
PIRS,2021-11-02,N,4.73,4.88,4.91,4.52,-4.43,4.75,0.42,18,4.91,3.57,-24.52,3.69,-21.98
PIRS,2022-03-01,N,3.09,3.09,3.19,2.95,-4.53,3.07,-0.64,18,3.23,2.83,-8.41,3.18,2.91
PIRS,2022-05-11,N,2.25,2.23,2.23,1.72,-23.55,1.79,-20.44,10,2.23,1.61,-28.44,1.8,-19.99
PIRS,2022-08-04,N,1.82,1.78,1.8,1.63,-10.43,1.72,-5.49,16,1.85,1.51,-17.03,1.59,-12.63
PIRS,2023-03-29,N,1.48,1.1,1.29,0.95,-35.81,1.06,-28.37,24,1.29,0.72,-51.35,0.8,-45.94
