Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PL,2002-02-14,N,30.02,30.03,30.15,29.5,-1.73,30.01,-0.03,1,30.78,29.5,2.53,30.18,0.53
PL,2002-04-25,Y,31.33,31.58,31.7,31.24,1.18,31.61,0.89,22,32.34,30.4,3.22,32.02,2.2
PL,2002-07-24,N,27.23,27.0,29.03,26.0,6.61,28.95,6.31,23,33.17,26.0,21.81,32.84,20.6
PL,2002-10-22,Y,31.0,31.01,31.01,27.35,-11.77,28.4,-8.38,24,31.01,27.0,-12.9,28.99,-6.48
PL,2003-02-07,N,25.75,26.0,26.59,26.0,3.26,26.17,1.63,14,27.17,25.8,5.51,27.0,4.85
PL,2003-04-30,N,29.51,29.35,29.35,28.4,-3.76,28.73,-2.64,16,29.35,26.13,-11.45,26.76,-9.31
PL,2003-08-06,N,27.95,28.1,29.08,27.55,4.04,28.76,2.89,9,29.54,27.55,5.68,29.42,5.25
PL,2003-10-30,N,31.1,31.44,31.44,31.44,1.09,31.44,1.09,22,33.29,31.12,7.04,31.84,2.37
PL,2004-02-11,N,36.45,36.39,37.67,36.26,3.34,37.45,2.74,9,37.97,36.26,4.17,36.74,0.79
PL,2004-05-04,N,35.63,36.13,37.72,36.13,5.86,36.86,3.45,17,37.72,35.15,5.86,35.94,0.87
PL,2004-08-03,N,36.68,37.04,38.0,36.9,3.59,37.56,2.39,17,38.0,36.0,3.59,37.49,2.2
PL,2004-11-02,N,39.57,40.25,40.54,39.6,2.45,39.63,0.15,17,41.52,39.6,4.92,40.5,2.35
PL,2005-02-08,Y,41.42,41.42,41.65,40.89,-1.27,41.02,-0.96,10,42.66,40.89,2.99,41.0,-1.01
PL,2005-05-02,Y,38.28,38.25,38.51,37.79,-1.28,38.0,-0.73,18,41.27,37.79,7.81,39.74,3.81
PL,2005-08-04,Y,42.86,44.25,44.59,42.13,4.03,42.18,-1.58,15,44.59,41.15,4.03,41.44,-3.31
PL,2005-10-31,Y,43.84,43.7,44.14,42.56,-2.91,43.75,-0.2,18,44.55,42.56,-2.91,43.82,-0.04
PL,2006-02-07,Y,45.55,49.9,50.46,48.24,10.77,49.01,7.59,10,50.46,47.12,10.77,48.41,6.27
PL,2006-05-01,Y,49.44,49.44,49.44,46.9,-5.13,47.12,-4.69,18,49.44,44.65,-9.68,45.02,-8.94
PL,2006-08-01,Y,45.73,45.73,45.73,43.36,-5.18,44.51,-2.66,17,45.73,42.9,-6.18,45.04,-1.5
PL,2006-11-07,Y,44.76,43.25,45.4,43.25,-3.37,45.06,0.67,10,46.72,43.25,4.37,46.69,4.31
PL,2007-02-07,Y,49.69,45.0,46.85,44.3,-10.84,46.14,-7.14,9,46.85,44.3,-10.84,45.24,-8.95
PL,2007-05-08,Y,47.62,50.35,51.0,48.71,7.09,50.22,5.45,10,51.3,48.7,7.72,50.64,6.34
PL,2007-08-02,Y,41.9,39.9,41.77,39.29,-6.22,40.86,-2.48,15,48.46,38.65,15.65,42.08,0.42
PL,2007-11-06,Y,40.08,40.29,43.4,40.21,8.28,42.81,6.81,10,45.85,40.21,14.39,42.76,6.68
PL,2008-02-07,Y,38.9,38.6,38.72,37.57,-3.44,37.58,-3.41,8,40.4,36.39,-6.47,38.72,-0.46
PL,2008-05-07,Y,43.69,43.08,43.7,39.77,-8.97,41.61,-4.76,9,43.7,39.77,-8.97,41.75,-4.44
PL,2008-08-05,Y,38.07,37.13,37.13,34.0,-10.69,34.26,-10.0,10,37.13,33.5,-12.0,35.47,-6.82
PL,2008-11-03,Y,8.88,8.91,10.86,8.55,22.29,10.72,20.72,18,11.4,5.63,-36.59,6.41,-27.81
PL,2009-02-10,Y,7.2,7.24,7.76,6.63,-7.91,7.25,0.69,10,7.76,4.42,-38.61,5.0,-30.55
PL,2009-05-03,Y,8.3,8.63,10.13,8.63,22.04,9.96,20.0,12,13.5,8.5,62.65,10.99,32.4
PL,2009-08-04,Y,15.86,16.85,17.35,16.23,9.39,17.04,7.44,17,19.43,16.23,22.5,19.3,21.75
PL,2009-11-04,Y,19.45,18.03,18.43,15.2,-21.85,15.8,-18.76,16,18.43,15.2,-21.85,16.7,-14.13
PL,2010-02-10,Y,17.22,17.43,18.13,17.01,5.28,17.93,4.12,9,18.88,17.01,9.63,18.35,6.56
PL,2010-05-05,Y,22.81,23.4,24.2,20.43,-10.43,21.98,-3.63,16,24.2,18.93,-17.01,20.3,-11.0
PL,2010-08-03,Y,22.32,22.3,22.75,22.18,1.92,22.45,0.58,17,22.75,19.27,-13.66,19.45,-12.85
PL,2010-11-03,Y,24.59,24.77,25.31,23.98,2.92,24.57,-0.08,16,25.31,23.59,-4.06,24.03,-2.27
PL,2011-02-09,Y,28.99,28.8,29.02,28.4,-2.03,28.49,-1.72,9,29.17,28.18,-2.79,28.92,-0.24
PL,2011-05-04,Y,26.08,24.25,25.01,23.74,-8.97,24.47,-6.17,16,25.89,23.74,-8.97,24.18,-7.28
PL,2011-08-03,Y,20.57,21.48,21.8,19.48,5.97,19.57,-4.86,16,21.8,16.17,-21.39,17.3,-15.84
PL,2011-11-02,Y,18.39,20.23,21.42,19.42,16.47,21.28,15.71,16,22.01,19.42,19.68,21.17,15.11
PL,2012-02-09,Y,26.2,26.0,26.77,25.09,-4.23,26.65,1.71,8,28.43,25.09,8.51,28.26,7.86
PL,2012-05-08,Y,27.8,27.84,28.2,26.45,-4.85,27.11,-2.48,10,28.25,25.08,-9.78,25.08,-9.78
PL,2012-08-07,Y,29.7,29.34,29.44,27.41,-7.71,29.11,-1.98,10,29.44,27.41,-7.71,28.65,-3.53
PL,2012-11-06,Y,27.77,27.03,27.28,25.63,-7.7,25.75,-7.27,10,27.28,24.67,-11.16,25.09,-9.65
PL,2013-02-06,Y,31.3,31.99,32.71,31.09,4.5,31.9,1.91,9,33.6,31.09,7.34,32.95,5.27
PL,2013-05-06,Y,38.88,38.5,38.79,38.0,-2.26,38.5,-0.97,11,39.32,38.0,-2.26,38.85,-0.07
PL,2013-07-31,Y,43.33,43.74,46.09,43.74,6.36,45.05,3.96,16,46.09,42.06,6.36,42.7,-1.45
PL,2013-10-30,Y,46.0,46.79,46.79,45.67,1.71,45.88,-0.26,16,47.84,44.81,4.0,47.84,4.0
PL,2014-02-11,Y,48.49,49.6,50.72,48.97,4.59,50.41,3.95,10,52.1,48.97,7.44,51.34,5.87
PL,2014-05-07,Y,50.87,51.4,53.26,51.35,4.69,52.39,2.98,9,53.33,50.0,4.83,50.63,-0.47
PL,2014-08-04,Y,69.18,69.17,69.18,69.14,-0.05,69.17,-0.01,11,69.54,69.14,0.52,69.22,0.05
PL,2014-11-03,Y,69.51,69.46,69.58,69.42,-0.12,69.56,0.07,18,69.84,69.42,0.47,69.73,0.31
PL,2022-03-31,Y,5.08,5.22,5.85,4.95,15.15,5.6,10.23,14,5.9,4.95,16.14,5.72,12.59
PL,2022-06-14,Y,5.15,4.76,5.09,4.01,-22.13,4.56,-11.45,3,5.16,4.01,-22.13,5.1,-0.97
PL,2023-03-29,Y,3.54,3.69,4.06,3.55,14.68,3.57,0.84,23,4.5,3.55,27.11,4.1,15.81
