Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PLX,2013-08-16,Y,5.03,5.03,5.07,4.95,-1.59,5.05,0.59,35,5.6,4.4,-12.52,4.43,-11.92
PLX,2013-11-06,Y,4.41,4.45,4.49,4.36,1.81,4.36,-1.13,9,4.51,4.32,2.26,4.46,1.13
PLX,2014-03-13,Y,5.13,5.11,5.11,4.96,-3.31,5.05,-1.36,8,5.14,4.53,-11.69,4.62,-9.94
PLX,2014-05-08,Y,3.81,3.81,3.92,3.78,2.88,3.85,1.04,8,4.04,3.76,6.03,3.82,0.26
PLX,2014-11-20,Y,2.11,2.1,2.13,2.04,-3.31,2.09,-0.94,2,2.13,2.0,-5.21,2.06,-1.89
PLX,2015-03-12,Y,1.81,1.76,1.81,1.53,-15.93,1.75,-3.84,8,1.81,1.53,-15.93,1.76,-3.29
PLX,2016-05-09,Y,0.81,0.8,0.83,0.79,2.46,0.8,-1.23,11,0.83,0.78,-3.7,0.8,-1.23
PLX,2016-08-08,Y,0.64,0.64,0.65,0.59,-7.81,0.63,-1.56,11,0.7,0.59,9.37,0.62,-3.12
PLX,2016-11-09,Y,0.44,0.44,0.46,0.44,4.54,0.46,4.54,9,0.56,0.44,29.54,0.49,11.36
PLX,2017-03-16,Y,1.2,1.14,1.23,1.11,-7.49,1.22,1.66,1,1.23,1.11,-7.49,1.22,1.66
PLX,2017-05-10,N,0.92,0.96,1.0,0.82,-10.86,0.89,-3.26,10,1.0,0.76,-17.39,0.8,-13.04
PLX,2017-08-09,N,0.65,0.68,0.68,0.53,-18.46,0.62,-4.61,10,0.68,0.53,-18.46,0.56,-13.84
PLX,2017-11-08,N,0.73,0.73,0.75,0.7,-4.1,0.71,-2.73,10,0.75,0.66,-9.58,0.67,-8.21
PLX,2018-03-06,N,0.68,0.66,0.69,0.66,-2.94,0.66,-2.94,11,0.71,0.56,-17.64,0.59,-13.23
PLX,2018-05-09,N,0.4,0.41,0.41,0.39,-2.5,0.4,0.0,10,0.48,0.39,19.99,0.43,7.49
PLX,2018-08-09,N,0.5,0.47,0.51,0.47,-6.0,0.5,0.0,9,0.51,0.45,-9.99,0.47,-6.0
PLX,2018-11-07,N,0.49,0.48,0.49,0.46,-6.12,0.46,-6.12,10,0.49,0.4,-18.36,0.45,-8.16
PLX,2019-08-08,N,0.36,0.27,0.29,0.23,-36.11,0.23,-36.11,9,0.29,0.22,-38.88,0.23,-36.11
PLX,2020-03-12,N,2.36,2.6,2.7,2.33,14.4,2.39,1.27,9,2.7,2.04,14.4,2.18,-7.62
PLX,2020-05-07,N,3.07,3.15,3.21,3.09,4.56,3.09,0.65,9,3.68,2.81,19.86,2.95,-3.9
PLX,2020-06-01,N,3.34,3.53,3.62,3.34,8.38,3.44,2.99,21,4.33,3.23,29.64,4.18,25.14
PLX,2020-08-10,N,3.59,3.59,3.68,3.55,2.5,3.59,0.0,14,4.25,3.52,18.38,3.8,5.84
PLX,2020-10-29,N,3.55,3.45,3.5,3.15,-11.26,3.35,-5.63,23,4.03,3.12,13.52,3.96,11.54
PLX,2021-03-30,N,4.7,4.61,4.68,4.42,-5.95,4.51,-4.04,18,6.45,4.39,37.23,6.2,31.91
PLX,2021-05-14,N,2.87,2.93,2.93,2.61,-9.05,2.74,-4.52,8,2.98,2.61,-9.05,2.91,1.39
PLX,2021-08-16,N,1.34,1.37,1.37,1.31,2.23,1.32,-1.49,7,1.44,1.3,7.46,1.34,0.0
PLX,2021-11-15,N,1.14,1.1,1.29,1.07,13.15,1.15,0.87,7,1.29,0.94,-17.54,0.98,-14.03
PLX,2022-03-31,N,1.05,1.05,1.14,0.94,-10.47,1.06,0.95,15,2.0,0.94,90.47,1.31,24.76
PLX,2022-05-16,N,1.06,1.05,1.14,1.05,7.54,1.07,0.94,7,1.14,1.05,7.54,1.14,7.54
PLX,2022-08-15,N,1.23,1.21,1.24,1.21,-1.62,1.24,0.81,7,1.26,1.17,-4.87,1.2,-2.43
PLX,2022-11-14,N,1.05,1.08,1.11,1.04,5.71,1.07,1.9,7,1.11,1.03,5.71,1.07,1.9
PLX,2023-02-27,N,1.82,1.8,2.02,1.74,10.98,1.87,2.74,21,2.21,1.74,21.42,2.03,11.53
