Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
POR,2006-08-02,Y,26.28,26.17,26.28,25.8,-1.82,25.94,-1.29,16,26.28,24.7,-6.01,25.36,-3.5
POR,2006-10-30,N,25.7,25.8,25.8,25.2,-1.94,25.7,,18,28.65,25.12,11.47,27.89,8.52
POR,2007-03-01,Y,29.24,29.25,29.58,28.56,-2.32,28.72,-1.77,15,29.99,28.1,-3.89,28.69,-1.88
POR,2007-04-30,N,28.64,28.89,29.06,28.7,1.46,28.98,1.18,18,30.15,28.7,5.27,30.03,4.85
POR,2007-07-30,N,26.7,28.1,28.45,26.8,6.55,26.99,1.08,18,29.13,26.05,9.1,26.78,0.29
POR,2007-11-01,N,28.15,28.0,28.01,27.15,-3.55,27.39,-2.69,15,28.01,25.95,-7.81,26.65,-5.32
POR,2008-02-26,N,23.57,23.42,24.76,23.42,5.04,24.5,3.94,24,24.76,21.89,-7.12,22.77,-3.39
POR,2008-05-05,N,24.47,23.98,24.27,23.29,-4.82,23.58,-3.63,11,24.27,22.91,-6.37,24.05,-1.71
POR,2008-08-07,N,23.3,24.03,24.35,23.3,4.5,23.95,2.78,8,25.99,23.3,11.54,25.35,8.79
POR,2008-10-30,N,20.5,20.66,21.48,20.23,4.78,20.61,0.53,22,21.48,15.36,-25.07,16.82,-17.95
POR,2009-02-25,N,16.38,16.51,17.37,16.23,6.04,17.25,5.31,23,18.34,13.45,-17.88,17.95,9.58
POR,2009-05-04,N,18.82,18.48,18.92,18.19,-3.39,18.76,-0.37,11,18.98,17.07,-9.34,17.18,-8.76
POR,2009-08-03,N,19.03,19.0,19.39,18.51,-2.73,18.67,-1.89,18,19.85,18.18,-4.46,19.73,3.73
POR,2009-10-29,N,19.8,19.5,19.54,18.76,-5.3,19.0,-4.08,22,19.66,18.25,-7.87,19.39,-2.12
POR,2010-02-25,N,18.76,18.02,18.88,17.46,-6.92,18.51,-1.33,22,19.8,17.46,-6.92,19.42,3.51
POR,2010-05-04,N,20.39,20.0,20.47,19.42,-4.8,20.32,-0.39,17,20.6,18.52,-9.21,18.73,-8.18
POR,2010-08-05,N,19.52,19.48,20.0,19.47,2.45,19.85,1.69,15,20.39,19.3,4.45,19.69,0.87
POR,2010-10-28,N,20.65,20.83,21.18,20.71,2.56,20.95,1.45,22,21.71,20.68,5.13,20.94,1.4
POR,2011-02-25,N,22.58,22.5,23.04,22.5,2.03,23.01,1.9,21,24.0,22.5,6.28,23.44,3.8
POR,2011-05-05,N,24.85,24.86,25.29,24.78,1.77,24.94,0.36,15,25.9,24.78,4.22,25.56,2.85
POR,2011-08-05,N,23.57,23.72,23.72,22.5,-4.53,23.22,-1.48,14,23.72,21.29,-9.67,22.55,-4.32
POR,2011-11-03,N,24.81,24.76,25.39,24.7,2.33,25.18,1.49,15,25.39,23.98,-3.34,24.34,-1.89
POR,2012-02-24,N,24.97,24.94,25.12,24.67,-1.2,24.75,-0.88,21,25.47,24.33,-2.56,24.91,-0.24
POR,2012-05-03,N,25.6,25.46,25.59,24.95,-2.53,25.07,-2.07,15,25.59,24.26,-5.23,24.48,-4.37
POR,2012-08-07,N,27.59,27.75,27.75,27.38,-0.76,27.55,-0.14,10,27.92,27.19,-1.44,27.33,-0.94
POR,2012-11-08,N,26.5,26.61,27.06,26.26,2.11,26.34,-0.6,8,27.06,24.86,-6.18,25.33,-4.41
POR,2013-02-22,N,28.54,28.54,29.24,28.54,2.45,29.16,2.17,21,30.53,28.54,6.97,30.1,5.46
POR,2013-05-01,N,32.25,32.25,32.38,31.97,-0.86,32.01,-0.74,16,32.9,31.42,-2.57,32.33,0.24
POR,2013-08-02,N,31.92,32.22,33.26,31.7,4.19,31.71,-0.65,14,33.26,28.8,-9.77,28.92,-9.39
