Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PRFT,2004-04-27,N,4.53,4.63,4.75,4.0,-11.69,4.13,-8.6,24,4.75,3.68,-18.76,3.71,-18.1
PRFT,2004-07-27,Y,3.65,3.72,3.72,3.25,-10.95,3.49,-4.38,24,3.72,2.85,-21.91,3.08,-15.61
PRFT,2004-11-03,Y,4.47,4.44,4.44,4.13,-7.6,4.28,-4.25,16,4.65,3.88,-13.19,4.55,1.78
PRFT,2005-02-02,Y,8.14,7.85,7.89,7.06,-13.26,7.1,-12.77,16,8.1,7.0,-14.0,7.45,-8.47
PRFT,2005-05-05,Y,7.25,7.3,7.3,6.67,-8.0,6.73,-7.17,15,7.3,5.12,-29.37,5.73,-20.96
PRFT,2005-08-03,Y,8.09,7.9,7.95,7.5,-7.29,7.51,-7.16,16,7.95,6.56,-18.91,7.04,-12.97
PRFT,2005-11-02,Y,7.55,7.77,8.1,7.68,7.28,8.02,6.35,16,8.49,7.29,12.45,7.99,5.82
PRFT,2006-02-28,Y,10.92,10.45,10.68,10.09,-7.6,10.36,-5.12,17,11.27,9.92,-9.15,11.19,2.47
PRFT,2006-05-03,Y,12.0,12.1,12.37,11.69,3.08,11.75,-2.08,16,13.35,11.55,11.24,13.0,8.33
PRFT,2006-08-03,Y,12.78,13.53,13.87,12.5,8.52,12.95,1.33,15,13.87,11.5,-10.01,12.88,0.78
PRFT,2006-11-02,N,16.26,15.88,16.2,14.03,-13.71,16.2,-0.36,15,19.05,14.03,17.15,19.05,17.15
PRFT,2007-02-21,N,20.71,19.39,20.46,19.39,-6.37,20.39,-1.54,23,20.68,18.01,-13.03,19.8,-4.39
PRFT,2007-05-10,N,22.71,22.47,22.47,20.55,-9.51,21.53,-5.19,8,22.47,18.96,-16.51,19.89,-12.37
PRFT,2007-08-09,N,23.33,22.4,24.89,21.5,-7.84,24.61,5.48,8,25.19,20.7,-11.27,22.46,-3.72
PRFT,2007-11-08,N,16.52,17.97,18.8,17.3,13.8,18.23,10.41,8,18.8,16.98,13.8,17.23,4.35
PRFT,2008-03-04,N,7.86,8.78,9.18,6.43,-18.19,7.17,-8.77,17,9.18,6.43,-18.19,7.0,-10.94
PRFT,2008-05-07,N,9.35,10.0,10.79,9.5,15.4,10.0,6.95,9,10.85,9.5,16.04,10.21,9.19
PRFT,2008-08-07,N,10.24,9.26,9.26,7.26,-29.1,7.38,-27.92,8,9.26,7.02,-31.44,7.96,-22.26
PRFT,2008-11-06,N,4.96,4.0,4.66,3.9,-21.37,4.19,-15.52,15,4.74,2.31,-53.42,2.74,-44.75
PRFT,2009-03-06,N,3.49,3.87,3.89,3.65,11.46,3.81,9.16,14,5.25,3.65,50.42,4.84,38.68
PRFT,2009-05-07,N,6.6,6.65,6.84,6.24,-5.45,6.58,-0.3,8,6.84,5.89,-10.75,6.12,-7.27
PRFT,2009-08-05,N,7.36,7.38,7.7,7.35,4.61,7.62,3.53,16,7.85,7.25,6.65,7.81,6.11
PRFT,2009-11-05,N,8.01,8.14,8.51,8.05,6.24,8.44,5.36,15,8.77,8.05,9.48,8.56,6.86
PRFT,2010-03-04,N,11.37,11.39,11.56,11.02,-3.07,11.11,-2.28,15,12.19,11.02,7.21,11.43,0.52
PRFT,2010-05-06,N,11.83,11.75,11.91,10.57,-10.65,11.12,-6.0,15,12.06,10.07,-14.87,10.08,-14.79
PRFT,2010-08-05,N,8.52,8.48,8.93,8.48,4.68,8.9,4.33,15,9.34,8.26,9.49,8.98,5.27
PRFT,2010-11-04,N,10.53,10.76,11.43,10.76,8.54,11.4,8.26,15,11.76,10.47,11.68,11.12,5.6
PRFT,2011-03-03,N,12.23,12.63,12.65,11.98,3.43,12.11,-0.98,15,12.65,10.68,-12.67,11.71,-4.25
PRFT,2011-05-05,N,11.85,11.55,12.06,11.55,-2.53,11.69,-1.35,15,12.06,10.5,-11.39,10.76,-9.19
PRFT,2011-08-04,N,9.42,9.24,9.86,9.24,4.67,9.6,1.91,15,9.86,7.09,-24.73,7.69,-18.36
PRFT,2011-11-03,N,9.65,9.24,9.99,9.21,-4.55,9.89,2.48,15,10.11,8.94,-7.35,9.17,-4.97
PRFT,2012-03-01,N,12.08,12.19,12.43,11.89,2.89,12.05,-0.24,15,12.8,11.59,5.96,12.27,1.57
PRFT,2012-05-03,N,12.56,12.5,12.69,12.31,-1.99,12.49,-0.55,15,12.95,11.7,-6.84,11.96,-4.77
PRFT,2012-08-02,N,12.65,13.1,13.1,12.47,3.55,12.51,-1.1,15,13.1,11.01,-12.96,11.17,-11.69
PRFT,2012-11-01,N,11.37,11.19,12.12,11.01,6.59,12.05,5.98,15,12.17,10.41,-8.44,10.63,-6.5
PRFT,2013-03-07,N,11.74,11.8,12.37,11.8,5.36,12.32,4.94,8,12.38,11.35,5.45,11.94,1.7
PRFT,2013-05-09,N,11.73,11.6,11.6,10.76,-8.26,11.39,-2.89,8,12.38,10.76,-8.26,12.31,4.94
PRFT,2013-08-01,N,13.65,14.0,15.95,13.75,16.84,15.88,16.33,15,17.55,13.75,28.57,16.95,24.17
PRFT,2013-11-07,N,17.82,19.5,20.05,18.18,12.45,19.68,10.37,8,20.9,18.18,17.21,19.8,11.04
PRFT,2014-03-06,N,20.89,20.95,20.95,18.41,-11.87,18.96,-9.23,15,20.95,18.41,-11.87,19.34,-7.41
PRFT,2014-05-08,N,18.21,17.32,18.3,16.07,-11.75,17.5,-3.89,8,18.66,16.07,-11.75,16.89,-7.24
PRFT,2014-07-31,N,18.37,18.16,18.2,16.89,-8.05,16.98,-7.51,15,18.2,16.39,-10.77,16.8,-8.54
PRFT,2014-11-06,N,17.3,16.37,17.41,15.36,-11.21,17.32,0.11,16,17.5,15.36,-11.21,17.37,0.4
PRFT,2015-03-05,N,19.59,19.79,20.2,18.67,-4.69,19.54,-0.25,15,20.83,18.67,6.32,20.72,5.76
PRFT,2015-05-07,N,19.89,17.8,19.34,15.95,-19.8,19.01,-4.42,8,19.95,15.95,-19.8,19.77,-0.6
PRFT,2015-07-30,N,15.55,16.21,16.55,15.79,6.43,16.41,5.53,22,16.96,15.68,9.06,16.43,5.65
PRFT,2015-11-05,N,16.94,17.0,17.2,15.9,-6.13,16.78,-0.94,15,17.76,15.9,-6.13,17.18,1.41
PRFT,2016-03-03,N,18.48,19.0,20.48,19.0,10.76,20.17,9.08,15,20.48,18.07,10.76,19.87,7.46
PRFT,2016-05-05,N,20.3,20.22,20.97,20.22,3.24,20.54,1.13,15,21.0,19.89,3.39,20.23,-0.34
PRFT,2016-08-04,N,22.17,19.12,20.14,17.92,-19.17,19.98,-9.87,15,21.19,17.66,-20.34,20.02,-9.69
PRFT,2016-11-03,N,17.88,15.4,16.43,15.4,-13.87,15.86,-11.29,15,18.35,14.14,-20.91,18.0,0.67
PRFT,2017-02-28,N,17.96,18.88,19.05,17.8,6.06,18.17,1.16,17,19.05,17.52,6.06,18.14,1.05
PRFT,2017-05-04,N,17.29,16.36,17.19,16.2,-6.3,16.62,-3.87,16,17.19,16.2,-6.3,16.47,-4.74
PRFT,2017-08-03,N,18.41,18.13,18.72,16.7,-9.28,17.01,-7.6,16,18.72,16.7,-9.28,17.62,-4.29
PRFT,2017-11-02,N,19.15,19.0,19.46,18.92,1.61,19.39,1.25,16,19.49,17.86,-6.73,19.28,0.67
PRFT,2018-03-01,N,19.47,19.58,20.97,19.05,7.7,20.41,4.82,16,24.3,19.05,24.8,23.71,21.77
PRFT,2018-05-01,N,24.73,24.66,25.0,22.26,-9.98,23.85,-3.55,18,25.0,22.26,-9.98,24.78,0.2
PRFT,2018-08-02,N,26.35,27.01,27.01,25.72,2.5,26.68,1.25,16,27.88,25.72,5.8,27.16,3.07
PRFT,2018-11-01,N,25.02,25.83,25.83,24.43,3.23,24.93,-0.35,16,26.09,23.88,-4.55,24.91,-0.43
PRFT,2019-02-26,N,26.59,27.4,28.94,27.35,8.83,28.82,8.38,18,29.49,27.35,10.9,28.68,7.86
PRFT,2019-05-02,N,29.34,29.72,31.85,29.51,8.55,31.58,7.63,16,32.92,29.51,12.2,31.29,6.64
