Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PRGO,2002-01-23,N,11.8,12.04,12.78,12.03,8.3,12.5,5.93,23,13.25,10.78,12.28,11.0,-6.77
PRGO,2002-04-25,N,11.76,11.82,13.02,11.82,10.71,12.55,6.71,22,13.02,11.51,10.71,12.54,6.63
PRGO,2002-08-02,Y,10.75,10.74,10.75,9.25,-13.95,9.47,-11.9,14,10.75,9.25,-13.95,9.94,-7.53
PRGO,2002-10-24,N,11.78,11.91,12.19,11.72,3.48,11.73,-0.42,22,13.5,11.53,14.6,13.32,13.07
PRGO,2003-01-27,N,12.41,12.48,12.75,11.95,-3.7,12.12,-2.33,25,12.75,10.89,-12.24,11.85,-4.51
PRGO,2003-04-23,N,12.89,13.15,13.82,13.15,7.21,13.45,4.34,23,15.55,13.15,20.63,14.11,9.46
PRGO,2003-08-11,N,15.34,15.25,15.28,14.71,-4.1,14.99,-2.28,4,15.28,14.0,-8.73,14.06,-8.34
PRGO,2003-10-24,N,12.79,12.55,13.66,12.37,6.8,13.53,5.78,28,15.14,12.37,18.37,15.11,18.13
PRGO,2004-02-03,N,16.93,18.01,18.1,16.95,6.91,17.13,1.18,17,19.5,16.89,15.18,18.3,8.09
PRGO,2004-04-23,N,20.69,21.49,24.96,21.38,20.63,21.91,5.89,28,24.96,18.35,20.63,19.04,-7.97
PRGO,2004-08-10,N,17.39,17.98,18.0,16.98,3.5,17.68,1.66,10,19.75,16.98,13.57,19.64,12.99
PRGO,2004-10-26,Y,18.6,18.79,19.18,18.05,3.11,18.52,-0.43,24,19.19,16.95,-8.87,18.8,1.07
PRGO,2005-02-01,N,17.14,16.26,18.73,16.25,9.21,17.92,4.48,17,18.73,16.25,9.21,18.11,5.59
PRGO,2005-05-05,Y,17.67,17.85,18.23,17.32,3.16,17.41,-1.47,15,18.23,15.5,-12.28,15.8,-10.58
PRGO,2005-09-07,Y,15.1,14.9,15.45,14.9,2.31,15.0,-0.66,9,15.45,14.37,-4.83,14.73,-2.45
PRGO,2005-10-27,Y,13.28,13.29,13.48,12.94,-2.56,13.22,-0.45,22,14.84,12.94,11.74,14.28,7.53
PRGO,2006-02-02,N,15.99,16.75,16.76,16.04,4.81,16.39,2.5,15,16.76,15.15,-5.25,15.62,-2.31
PRGO,2006-04-27,N,16.43,16.3,16.96,16.29,3.22,16.39,-0.24,22,16.96,14.42,-12.23,15.65,-4.74
