Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PRQR,2015-02-23,Y,20.11,20.14,21.0,18.8,-6.51,20.96,4.22,25,27.6,17.73,37.24,24.25,20.58
PRQR,2015-11-23,N,13.09,8.69,11.03,8.47,-35.29,9.85,-24.75,25,11.03,6.95,-46.9,7.32,-44.07
PRQR,2016-08-18,N,5.38,5.25,5.36,5.09,-5.39,5.09,-5.2,1,5.36,5.09,-5.39,5.2,-3.34
PRQR,2017-02-27,N,4.05,4.0,4.03,4.0,-1.23,4.0,-1.23,18,5.05,4.0,24.69,4.55,12.34
PRQR,2017-05-17,N,4.95,4.95,5.15,4.9,4.04,4.9,-1.01,3,5.15,4.9,4.04,5.05,2.02
PRQR,2017-08-16,N,4.9,5.0,5.09,4.93,3.87,4.95,1.02,3,5.1,4.3,-12.24,4.75,-3.06
PRQR,2017-11-20,N,3.55,3.1,3.25,3.1,4.83,3.1,,343,22.85,2.75,543.66,19.25,442.25
PRQR,2019-02-28,N,13.1,13.25,13.38,12.5,-4.58,13.32,1.67,16,15.55,12.5,18.7,15.18,15.87
PRQR,2019-05-08,N,11.09,11.07,11.29,10.9,1.8,11.05,-0.36,10,11.9,10.47,7.3,11.5,3.69
PRQR,2019-08-08,N,8.95,8.95,8.95,8.43,-5.81,8.54,-4.58,9,8.97,8.15,-8.93,8.23,-8.04
PRQR,2020-02-25,N,8.46,8.65,8.65,7.51,-11.22,7.72,-8.74,25,8.69,4.83,-42.9,5.35,-36.76
PRQR,2020-05-06,N,4.92,5.0,5.5,5.0,11.78,5.48,11.38,10,5.9,5.0,19.91,5.56,13.0
PRQR,2020-08-05,N,5.13,5.2,5.2,5.02,-2.14,5.16,0.58,17,5.81,5.02,13.25,5.38,4.87
PRQR,2021-02-25,N,4.75,4.76,4.85,4.48,-5.68,4.55,-4.21,23,6.3,4.26,32.63,5.64,18.73
PRQR,2021-08-05,N,5.96,5.9,6.05,5.64,-5.36,5.97,0.16,16,6.63,5.46,11.24,5.53,-7.21
PRQR,2022-02-24,N,1.07,0.97,1.07,0.95,-11.21,1.03,-3.73,23,1.11,0.89,-16.82,1.06,-0.93
PRQR,2022-05-05,N,0.7,0.7,0.72,0.66,-5.71,0.67,-4.28,16,0.72,0.53,-24.28,0.67,-4.28
PRQR,2023-03-29,N,3.58,3.21,3.26,2.33,-34.91,2.52,-29.6,24,3.26,1.85,-48.32,2.3,-35.75
