Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PSN,2019-06-18,N,31.32,32.43,33.88,31.59,8.17,32.96,5.23,4,37.95,31.59,21.16,37.95,21.16
PSN,2019-08-13,N,36.24,35.05,36.9,32.5,-10.32,35.93,-0.85,4,36.9,32.5,-10.32,34.16,-5.73
PSN,2020-03-10,N,33.55,33.68,34.07,30.54,-8.97,32.91,-1.9,11,34.07,24.67,-26.46,26.55,-20.86
PSN,2020-05-06,N,37.39,36.0,37.21,34.73,-7.11,35.99,-3.74,10,40.87,34.73,9.3,38.79,3.74
PSN,2020-08-05,N,35.32,36.22,36.24,34.96,2.6,35.52,0.56,17,36.95,32.3,-8.55,32.8,-7.13
PSN,2020-11-04,N,33.59,34.1,34.1,31.61,-5.89,31.68,-5.68,17,34.17,30.18,-10.15,31.75,-5.47
PSN,2021-02-24,N,39.79,36.14,37.09,35.09,-11.81,36.77,-7.58,24,38.35,34.83,-12.46,37.7,-5.25
PSN,2021-05-05,N,43.7,45.0,45.0,41.83,-4.27,41.91,-4.09,17,45.0,39.81,-8.9,40.05,-8.35
PSN,2021-08-04,N,37.55,30.86,33.0,30.86,-17.81,32.0,-14.78,17,36.04,30.86,-17.81,34.79,-7.35
PSN,2021-11-03,N,34.64,34.85,36.66,34.3,5.83,36.05,4.07,17,37.38,34.3,7.9,35.48,2.42
PSN,2022-02-23,N,33.1,33.75,34.38,30.72,-7.19,30.76,-7.06,24,38.0,29.91,14.8,37.56,13.47
PSN,2022-05-04,N,36.71,36.81,38.58,36.02,5.09,38.32,4.38,17,38.62,34.46,-6.12,36.24,-1.28
PSN,2022-08-03,N,42.56,43.19,43.19,40.22,-5.49,41.72,-1.97,17,43.84,40.22,-5.49,43.2,1.5
