Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PSO,2013-09-29,Y,20.32,20.2,20.37,20.18,-0.73,20.34,0.04,19,21.62,19.77,6.34,21.62,6.34
PSO,2013-11-25,Y,21.68,21.69,21.74,21.61,-0.32,21.65,-0.13,25,22.17,20.77,-4.19,21.38,-1.38
PSO,2013-12-30,Y,22.19,22.28,22.4,22.22,0.94,22.4,0.94,18,22.4,21.05,-5.13,21.05,-5.13
PSO,2014-02-28,Y,17.07,16.88,17.27,16.82,-1.52,17.17,0.52,21,17.96,16.59,5.15,16.7,-2.22
PSO,2015-02-27,Y,21.85,21.78,21.91,21.73,-0.54,21.87,0.09,21,22.46,21.28,2.79,22.16,1.41
PSO,2015-03-20,Y,22.16,22.11,22.27,22.05,0.49,22.2,0.18,28,22.47,20.27,-8.52,20.39,-7.94
PSO,2017-02-24,Y,8.19,8.18,8.25,8.15,0.73,8.22,0.36,21,8.48,7.87,-3.9,8.09,-1.22
PSO,2017-07-28,N,8.5,8.75,8.84,8.64,3.99,8.68,2.11,22,8.84,7.72,-9.17,7.73,-9.05
PSO,2018-02-23,Y,9.83,9.89,10.02,9.89,1.93,10.02,1.93,21,10.77,9.8,9.56,10.71,8.95
PSO,2018-07-27,N,12.06,12.67,12.73,12.42,5.55,12.49,3.56,22,12.73,11.52,5.55,11.63,-3.56
PSO,2019-02-22,N,11.54,11.57,11.9,11.56,3.11,11.9,3.11,22,11.9,10.7,-7.27,11.02,-4.5
PSO,2019-07-26,N,10.83,11.5,11.51,11.32,6.27,11.44,5.63,22,11.51,9.67,-10.71,9.86,-8.95
PSO,2020-02-21,N,7.55,7.16,7.26,7.07,-6.35,7.23,-4.23,1,7.26,7.07,-6.35,7.23,-4.23
PSO,2020-07-24,Y,6.96,6.59,6.73,6.58,-5.45,6.67,-4.16,28,8.27,6.58,18.82,7.6,9.19
PSO,2021-03-08,Y,11.04,11.12,11.28,11.12,2.17,11.21,1.53,11,11.57,10.88,4.8,11.08,0.36
PSO,2021-07-30,Y,12.16,11.69,11.69,11.5,-5.42,11.51,-5.34,21,11.69,10.29,-15.37,10.41,-14.39
PSO,2022-08-01,Y,10.51,10.78,10.87,10.58,3.42,10.58,0.66,18,10.98,10.36,4.47,10.41,-0.95
PSO,2023-03-03,Y,10.57,10.49,10.51,10.3,-2.55,10.33,-2.27,14,10.51,9.96,-5.77,10.2,-3.5
