Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PSX,2012-08-01,N,35.74,37.14,38.19,35.9,6.85,36.38,1.79,16,40.79,35.9,14.15,40.65,13.73
PSX,2012-10-31,N,45.08,44.92,45.54,44.34,-1.64,45.29,0.46,16,48.74,42.95,8.11,43.75,-2.95
PSX,2013-01-30,N,57.23,59.61,60.12,57.96,5.04,58.07,1.46,16,62.48,57.25,9.17,61.33,7.16
PSX,2013-05-01,N,58.54,58.69,59.49,57.19,-2.3,57.31,-2.1,16,63.62,56.82,8.67,63.18,7.92
PSX,2013-07-31,N,56.43,55.32,59.81,55.14,5.98,59.36,5.19,16,59.81,54.4,5.98,54.63,-3.18
PSX,2013-10-30,N,64.14,64.09,65.64,63.05,2.33,65.23,1.69,16,68.36,63.05,6.57,67.09,4.61
PSX,2014-01-29,N,75.08,74.03,76.9,70.81,-5.68,74.18,-1.19,23,76.98,68.78,-8.39,74.95,-0.17
PSX,2014-04-30,N,83.75,83.91,84.5,83.11,0.89,83.22,-0.63,16,85.42,80.81,-3.51,81.86,-2.25
PSX,2014-07-30,N,82.47,82.19,83.41,81.31,-1.4,81.72,-0.9,16,84.37,79.25,-3.9,83.79,1.6
PSX,2014-10-29,N,77.53,78.56,78.97,75.61,-2.47,76.39,-1.47,24,80.31,70.22,-9.42,79.42,2.43
PSX,2015-01-29,N,68.37,69.95,70.69,68.65,3.39,70.48,3.08,22,78.17,68.65,14.33,77.34,13.11
PSX,2015-04-30,N,81.0,80.9,81.17,78.9,-2.59,79.31,-2.08,15,82.19,78.9,-2.59,81.05,0.06
PSX,2015-07-31,N,79.12,78.47,80.63,77.91,1.9,79.5,0.48,21,84.85,75.67,7.24,75.73,-4.27
PSX,2015-10-30,N,86.43,88.32,90.82,87.3,5.07,89.05,3.03,21,94.12,87.3,8.89,91.67,6.06
PSX,2016-01-29,N,78.7,78.09,80.23,75.8,-3.68,80.15,1.84,21,81.75,71.73,-8.85,80.09,1.76
PSX,2016-04-29,N,87.79,85.21,86.03,81.15,-7.56,82.11,-6.46,21,86.03,76.68,-12.65,77.9,-11.26
PSX,2016-07-29,N,76.25,75.38,76.16,73.81,-3.19,76.06,-0.24,21,79.52,73.81,4.28,78.05,2.36
PSX,2016-10-28,N,79.98,79.23,81.76,79.0,2.21,80.13,0.17,21,84.61,77.66,5.77,83.64,4.56
PSX,2017-02-03,N,81.05,80.5,81.2,78.81,-2.76,79.95,-1.35,14,81.2,77.81,-3.99,78.66,-2.94
PSX,2017-04-28,N,78.05,79.59,80.94,79.06,3.7,79.56,1.93,22,80.94,76.81,3.7,78.25,0.25
PSX,2017-08-01,N,83.75,85.45,87.3,84.0,4.36,86.67,3.61,18,87.3,80.73,4.23,81.56,-2.61
PSX,2017-10-27,N,91.18,91.05,92.08,90.2,-1.07,91.99,0.88,22,94.95,90.2,4.13,92.65,1.61
PSX,2018-02-02,N,100.86,100.34,100.34,95.35,-4.74,96.28,-3.81,15,101.1,89.14,-11.62,91.99,-8.79
PSX,2018-04-27,N,112.52,110.76,111.97,109.7,-2.5,111.34,-1.04,22,122.38,109.7,8.76,120.33,6.94
PSX,2018-07-27,N,116.0,117.79,120.36,116.77,3.75,118.79,2.4,22,123.97,114.59,6.87,115.44,-0.48
PSX,2018-10-26,N,98.49,101.45,103.79,95.3,5.38,99.45,0.97,22,104.6,94.35,6.2,96.61,-1.9
PSX,2019-02-08,N,91.74,94.92,95.17,91.72,3.73,93.52,1.94,8,96.75,91.72,5.46,95.99,4.63
PSX,2019-04-30,N,95.36,95.5,96.64,93.65,-1.79,94.27,-1.14,18,96.64,83.72,-12.2,84.81,-11.06
PSX,2019-07-26,N,101.57,102.35,102.64,100.47,-1.08,102.32,0.73,22,104.46,94.99,-6.47,98.83,-2.69
PSX,2019-10-25,N,110.63,112.23,117.0,111.9,5.75,114.42,3.42,22,119.92,111.9,8.39,118.36,6.98
PSX,2020-01-31,N,96.41,94.9,94.93,90.21,-6.43,91.37,-5.22,22,94.93,86.72,-10.05,89.25,-7.42
PSX,2020-05-01,N,73.17,70.55,71.37,65.26,-10.81,66.36,-9.3,15,77.73,65.26,-10.81,70.93,-3.06
PSX,2020-07-31,N,63.09,61.37,63.1,60.59,-3.96,62.02,-1.69,22,67.47,60.03,6.94,60.97,-3.36
PSX,2020-10-30,N,45.98,45.38,46.74,44.91,-2.32,46.66,1.47,22,64.85,44.91,41.03,61.59,33.94
PSX,2021-01-29,N,71.45,69.3,71.4,67.39,-5.68,67.8,-5.1,22,82.98,65.38,16.13,82.31,15.19
PSX,2021-04-30,N,81.12,80.05,82.49,79.9,1.68,80.91,-0.25,22,89.1,79.9,9.83,84.29,3.9
PSX,2021-08-03,N,73.48,73.5,76.1,73.12,3.56,76.07,3.52,18,76.1,64.45,-12.28,65.95,-10.24
PSX,2021-10-29,N,76.75,77.0,77.68,74.07,-3.49,74.78,-2.56,22,80.13,69.51,-9.43,69.64,-9.26
PSX,2022-01-28,N,85.82,86.16,89.2,81.98,-4.47,84.25,-1.82,22,93.55,81.98,9.0,85.07,-0.87
