Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PTCT,2013-08-12,Y,15.46,15.58,15.58,14.56,-5.82,15.0,-2.97,4,16.1,14.35,-7.17,15.66,1.29
PTCT,2013-11-14,N,16.3,17.29,17.34,15.42,6.31,15.87,-2.69,1,17.34,14.48,-11.22,14.56,-10.72
PTCT,2014-03-06,Y,33.38,32.81,33.35,28.23,-15.42,31.0,-7.13,15,33.35,28.08,-15.87,31.01,-7.1
PTCT,2014-05-06,Y,17.44,17.62,17.96,16.8,-3.66,17.6,0.91,10,18.36,14.52,-16.74,15.07,-13.58
PTCT,2014-08-07,N,30.4,30.1,30.1,27.14,-10.72,27.38,-9.93,8,33.74,26.08,-14.21,33.42,9.93
PTCT,2014-11-06,N,38.97,39.29,42.24,38.99,8.39,42.17,8.21,16,44.66,38.5,14.6,44.41,13.95
PTCT,2015-02-27,N,73.45,70.5,75.94,69.76,-5.03,71.33,-2.89,21,77.87,66.11,-10.0,70.05,-4.64
PTCT,2015-05-04,Y,60.84,55.5,58.2,52.37,-13.92,53.13,-12.67,11,58.83,51.78,-14.89,52.09,-14.38
PTCT,2015-07-30,Y,50.74,50.85,52.2,49.89,2.87,51.21,0.92,22,53.89,34.19,-32.61,35.08,-30.86
PTCT,2015-11-09,Y,27.46,26.8,30.48,26.42,10.99,29.3,6.7,11,34.79,26.42,26.69,29.0,5.6
PTCT,2016-02-29,Y,7.98,7.56,7.69,5.29,-33.7,5.55,-30.45,18,7.69,5.27,-33.95,5.93,-25.68
PTCT,2016-05-05,Y,6.88,7.66,7.7,6.79,11.91,7.09,3.05,15,8.14,6.5,18.31,8.0,16.27
PTCT,2016-08-04,Y,6.09,6.17,7.99,6.14,31.19,7.77,27.58,15,8.52,6.14,40.06,8.02,31.85
PTCT,2016-11-02,Y,6.25,6.25,6.35,4.03,-35.51,4.19,-32.95,16,13.47,4.03,115.52,12.59,101.44
PTCT,2017-03-16,N,10.9,10.09,10.1,8.8,-19.26,8.84,-18.89,1,10.1,8.56,-21.46,9.06,-16.88
PTCT,2017-05-08,N,12.25,11.69,12.34,10.65,-13.06,10.79,-11.91,14,13.81,10.65,-13.06,13.6,11.02
PTCT,2017-08-08,Y,19.1,20.0,20.93,19.36,9.58,19.5,2.09,10,20.93,16.9,-11.51,17.5,-8.37
PTCT,2017-11-02,Y,17.85,17.5,18.23,17.2,-3.64,17.44,-2.29,15,18.23,14.87,-16.69,15.97,-10.53
PTCT,2018-03-06,Y,26.84,27.9,31.25,27.0,16.43,29.33,9.27,10,31.25,27.0,16.43,30.2,12.51
PTCT,2018-05-09,Y,30.74,30.8,30.8,27.65,-10.05,28.83,-6.21,9,32.58,27.65,-10.05,31.99,4.06
PTCT,2018-08-07,Y,38.29,40.81,42.01,39.5,9.71,40.72,6.34,10,45.15,39.5,17.91,42.35,10.6
PTCT,2018-11-05,Y,37.9,35.14,36.8,32.5,-14.24,34.76,-8.28,11,37.66,30.32,-19.99,33.92,-10.5
PTCT,2019-02-28,Y,34.54,33.03,35.62,32.1,-7.06,35.56,2.95,15,36.47,32.1,-7.06,36.15,4.66
PTCT,2019-05-02,Y,37.38,36.94,37.53,35.23,-5.75,36.81,-1.52,15,42.0,35.23,12.35,38.93,4.14
PTCT,2019-08-06,Y,44.75,45.44,47.0,43.63,5.02,46.32,3.5,10,47.88,43.54,6.99,45.12,0.82
PTCT,2019-10-29,Y,39.31,40.5,42.66,40.26,8.52,40.74,3.63,17,43.91,39.52,11.7,43.69,11.14
PTCT,2020-03-02,Y,54.93,55.07,56.8,50.23,-8.55,51.87,-5.57,18,57.06,30.79,-43.94,39.54,-28.01
PTCT,2020-04-30,Y,50.92,48.7,50.15,46.53,-8.62,48.0,-5.73,15,51.15,43.65,-14.27,48.83,-4.1
PTCT,2020-08-05,Y,48.97,45.04,47.4,44.78,-8.55,47.02,-3.98,16,51.23,44.78,-8.55,48.58,-0.79
PTCT,2020-10-29,Y,53.89,55.0,55.0,50.77,-5.78,52.19,-3.15,22,63.68,50.77,18.16,63.13,17.14
PTCT,2021-02-25,Y,55.19,54.41,57.68,54.0,4.51,57.1,3.46,22,60.61,54.0,9.82,56.18,1.79
PTCT,2021-05-04,Y,38.47,38.26,41.21,38.26,7.12,40.88,6.26,17,41.73,37.12,8.47,39.43,2.49
PTCT,2021-07-29,Y,38.24,39.86,39.86,37.66,4.23,38.33,0.23,22,40.89,36.38,6.92,38.2,-0.1
PTCT,2021-10-28,Y,36.44,35.05,38.59,35.05,5.9,37.93,4.08,22,42.95,35.05,17.86,40.01,9.79
PTCT,2022-02-22,Y,38.45,37.3,38.77,35.36,-8.03,35.63,-7.33,24,38.77,32.45,-15.6,37.8,-1.69
PTCT,2022-05-03,Y,35.76,35.47,36.83,34.76,2.99,36.71,2.65,17,37.24,30.03,-16.02,32.33,-9.59
PTCT,2022-08-04,Y,49.23,46.08,53.72,43.95,-10.72,53.5,8.67,15,54.46,43.95,-10.72,51.45,4.5
PTCT,2022-10-27,Y,44.59,40.48,40.48,36.04,-19.17,38.47,-13.72,22,40.95,33.25,-25.43,40.48,-9.21
PTCT,2023-02-21,Y,44.72,45.85,45.85,41.02,-8.27,44.23,-1.09,24,48.74,41.02,8.98,47.3,5.76
