Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PULS,2002-01-21,Y,22.05,22.12,23.65,22.12,7.25,23.23,5.35,25,23.65,17.17,-22.13,17.92,-18.73
PULS,2002-04-22,Y,21.15,21.36,21.95,21.27,3.78,21.66,2.41,25,23.22,19.94,9.78,22.8,7.8
PULS,2002-07-22,Y,15.56,15.64,15.64,14.58,-6.29,14.83,-4.69,25,17.51,14.35,12.53,17.46,12.21
PULS,2002-10-21,Y,12.7,12.7,12.87,11.33,-10.78,12.66,-0.31,25,13.15,11.33,-10.78,12.58,-0.94
PULS,2003-01-20,Y,14.31,14.24,14.33,13.73,-4.05,13.84,-3.28,32,14.33,12.65,-11.6,13.37,-6.56
PULS,2003-04-21,Y,13.41,13.64,13.64,13.37,1.71,13.37,-0.29,25,15.74,12.94,17.37,14.45,7.75
PULS,2003-07-21,Y,13.03,13.44,15.33,13.27,17.65,15.32,17.57,25,16.38,13.27,25.7,16.22,24.48
PULS,2003-10-20,Y,20.69,21.65,21.65,20.1,4.63,21.65,4.63,32,23.37,20.1,12.95,22.83,10.34
PULS,2004-01-19,Y,21.72,19.0,20.3,19.0,-12.52,19.0,-12.52,32,20.3,17.66,-18.69,18.88,-13.07
PULS,2004-04-19,Y,19.3,21.81,22.89,21.81,18.53,21.81,12.94,32,22.89,19.36,18.53,19.89,3.05
PULS,2004-07-19,Y,18.14,18.5,18.76,18.25,3.36,18.76,3.36,32,18.89,16.8,-7.43,18.39,1.37
PULS,2004-10-25,Y,16.48,16.5,16.64,15.59,-5.45,16.1,-2.36,25,18.39,15.59,11.52,17.39,5.45
PULS,2005-01-24,Y,16.35,16.2,16.85,16.2,3.05,16.7,2.14,25,19.03,16.2,16.39,18.1,10.7
PULS,2005-04-25,Y,14.09,13.79,14.14,13.56,-3.76,13.59,-3.54,25,14.14,12.2,-13.41,12.84,-8.87
PULS,2005-07-25,Y,14.73,13.53,13.75,12.55,-14.79,12.9,-12.42,25,15.19,12.55,-14.79,14.68,-0.33
PULS,2005-10-24,Y,16.79,17.29,17.45,16.89,3.93,17.0,1.25,25,17.45,15.8,-5.89,16.48,-1.78
PULS,2006-01-26,Y,18.95,20.25,21.48,20.25,13.35,20.85,10.02,22,21.63,19.42,14.14,21.26,12.18
PULS,2006-04-27,Y,23.33,23.75,25.04,23.37,7.32,25.04,7.32,22,28.55,23.0,22.37,24.11,3.34
PULS,2006-07-27,Y,19.6,23.58,24.75,23.25,26.27,24.75,26.27,22,28.0,23.25,42.85,27.91,42.39
PULS,2006-10-30,Y,30.33,29.78,29.79,24.46,-19.35,25.22,-16.84,18,29.79,24.24,-20.07,26.81,-11.6
PULS,2007-01-25,Y,25.91,22.27,22.65,21.57,-16.75,21.75,-16.05,22,22.74,21.25,-17.98,22.27,-14.04
PULS,2007-04-26,Y,27.02,26.62,26.97,25.45,-5.81,26.82,-0.74,22,27.76,25.45,-5.81,26.43,-2.18
PULS,2007-07-26,Y,25.77,25.27,26.53,24.08,-6.55,26.07,1.16,22,29.06,22.0,-14.62,27.92,8.34
PULS,2007-10-25,Y,26.46,27.06,28.58,27.06,8.01,27.58,4.23,22,29.79,25.82,12.58,26.36,-0.37
PULS,2008-01-24,Y,19.76,20.1,23.2,20.01,17.4,23.2,17.4,22,23.6,20.01,19.43,22.48,13.76
PULS,2008-04-24,Y,24.65,23.5,23.7,21.53,-12.65,22.08,-10.42,22,23.7,19.14,-22.35,20.23,-17.93
PULS,2008-07-24,Y,13.88,14.75,16.14,13.15,16.28,13.86,-0.14,22,16.14,13.15,16.28,16.05,15.63
PULS,2008-10-23,Y,6.48,6.16,6.16,3.95,-39.04,4.26,-34.1,29,6.61,2.46,-62.03,2.99,-53.85
PULS,2009-01-22,Y,2.82,2.82,2.82,1.83,-35.1,2.19,-22.34,29,2.82,1.09,-61.34,1.14,-59.21
PULS,2009-05-04,Y,4.63,4.38,4.59,4.03,-12.95,4.47,-3.45,11,4.76,2.81,-39.3,3.24,-30.02
PULS,2009-08-03,Y,7.4,7.34,7.45,6.72,-9.18,7.42,0.27,18,8.94,6.72,20.81,8.65,16.89
PULS,2009-11-02,Y,7.83,7.28,7.28,6.23,-20.43,6.52,-16.73,18,7.28,5.04,-35.63,5.18,-33.84
