Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PUMP,2018-08-07,Y,16.37,16.4,17.06,16.2,4.21,16.89,3.17,10,17.42,15.46,6.41,16.64,1.64
PUMP,2018-11-06,Y,17.25,18.25,19.39,17.69,12.4,18.67,8.23,10,19.5,17.15,13.04,18.88,9.44
PUMP,2019-02-26,Y,18.69,18.98,19.49,17.9,4.28,19.06,1.97,17,21.45,17.9,14.76,20.94,12.03
PUMP,2019-05-07,Y,22.17,22.5,22.84,20.33,-8.29,21.32,-3.83,10,24.15,20.1,-9.33,23.34,5.27
PUMP,2019-08-08,Y,17.34,12.01,13.67,11.59,-33.16,12.75,-26.47,8,13.67,10.91,-37.08,11.34,-34.6
PUMP,2020-04-01,N,2.5,2.3,2.3,2.04,-18.4,2.23,-10.8,17,5.39,2.04,115.6,3.5,40.0
PUMP,2020-06-01,Y,4.99,4.9,5.16,4.71,-5.61,4.82,-3.4,18,7.58,4.55,51.9,5.41,8.41
PUMP,2020-08-04,Y,5.74,5.81,6.28,5.65,9.4,6.19,7.83,17,6.9,5.57,20.2,5.69,-0.87
PUMP,2020-11-02,Y,4.18,4.22,4.57,3.95,9.33,4.12,-1.43,18,5.91,3.72,41.38,5.48,31.1
PUMP,2021-02-23,Y,10.35,10.24,11.44,9.65,10.53,11.41,10.24,24,13.99,9.65,35.16,11.26,8.79
PUMP,2021-05-04,Y,10.36,10.03,10.46,9.99,-3.57,10.17,-1.83,17,11.53,9.53,11.29,10.04,-3.08
PUMP,2021-08-03,Y,7.73,7.45,7.56,6.77,-12.41,6.89,-10.86,17,7.78,6.39,-17.33,6.57,-15.0
PUMP,2021-11-02,Y,9.58,9.35,9.75,9.33,-2.6,9.6,0.2,17,10.17,7.71,-19.51,7.78,-18.78
PUMP,2022-02-22,Y,11.94,11.67,11.94,10.67,-10.63,10.79,-9.63,24,16.05,10.67,34.42,13.28,11.22
PUMP,2022-05-03,Y,14.21,14.58,14.76,13.06,-8.09,13.88,-2.32,17,14.76,11.69,-17.73,11.95,-15.9
PUMP,2022-08-02,Y,9.75,9.75,9.82,8.21,-15.79,8.54,-12.41,17,9.82,7.93,-18.66,9.07,-6.97
PUMP,2022-11-01,Y,11.86,11.2,11.45,10.73,-9.52,10.85,-8.51,17,12.58,10.67,-10.03,11.03,-6.99
PUMP,2023-02-21,Y,9.05,8.6,9.3,8.02,-11.38,8.95,-1.1,24,10.12,6.86,-24.19,7.23,-20.11
