Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
PYPL,2015-10-28,Y,36.52,34.72,36.5,34.5,-5.53,35.9,-1.67,23,38.52,34.5,-5.53,36.36,-0.43
PYPL,2016-01-27,Y,31.59,33.63,34.75,33.35,10.0,34.24,8.38,23,37.77,31.64,19.56,35.76,13.2
PYPL,2016-04-27,Y,40.01,41.0,41.49,39.9,3.69,40.07,0.14,23,41.49,37.31,-6.74,37.53,-6.19
PYPL,2016-07-21,Y,40.13,37.29,37.59,36.43,-9.22,37.42,-6.75,29,38.65,36.28,-9.59,38.09,-5.08
PYPL,2016-10-20,Y,40.09,41.85,44.24,41.84,10.35,44.15,10.12,1,44.24,41.84,10.35,44.15,10.12
PYPL,2017-01-26,Y,41.5,41.0,41.2,39.92,-3.8,40.27,-2.96,22,42.31,39.02,-5.97,41.96,1.1
PYPL,2017-04-26,Y,44.41,47.25,48.1,46.75,8.3,47.15,6.16,23,50.35,46.75,13.37,49.39,11.21
PYPL,2017-07-26,Y,58.79,61.0,61.3,57.69,4.26,60.15,2.31,23,61.3,57.58,4.26,59.44,1.1
PYPL,2017-10-19,Y,67.25,71.33,71.73,69.69,6.66,70.97,5.53,1,71.73,69.69,6.66,70.97,5.53
PYPL,2018-01-31,Y,85.32,79.95,80.95,76.7,-10.1,78.4,-8.11,16,80.95,71.63,-16.04,78.37,-8.14
PYPL,2018-04-25,Y,74.0,76.32,77.62,75.49,4.89,76.03,2.74,23,81.94,70.22,10.72,80.79,9.17
PYPL,2018-07-25,Y,91.37,88.51,90.68,87.25,-4.5,89.14,-2.44,23,90.68,81.3,-11.02,85.45,-6.47
PYPL,2018-10-18,Y,77.48,83.75,86.17,82.92,11.21,84.78,9.42,1,86.17,82.92,11.21,84.78,9.42
PYPL,2019-01-30,Y,92.42,89.02,90.09,86.62,-6.27,88.76,-3.96,16,96.04,86.62,-6.27,94.91,2.69
PYPL,2019-04-24,Y,107.22,108.52,110.92,108.52,3.45,110.22,2.79,23,114.66,106.52,6.93,112.8,5.2
PYPL,2019-07-24,Y,121.3,116.75,117.55,113.23,-6.65,115.12,-5.09,23,117.55,102.21,-15.73,106.16,-12.48
PYPL,2019-10-23,Y,96.64,106.08,106.98,103.19,10.69,104.91,8.55,23,108.46,99.6,12.23,104.2,7.82
PYPL,2020-01-29,Y,116.66,112.79,117.2,112.42,-3.63,117.12,0.39,23,124.45,112.42,6.67,119.49,2.42
PYPL,2020-05-06,Y,128.31,139.92,147.2,139.28,14.72,146.29,14.01,9,147.2,139.28,14.72,145.51,13.4
PYPL,2020-07-29,Y,184.6,191.81,198.66,189.13,7.61,192.51,4.28,23,204.23,186.52,10.63,196.79,6.6
PYPL,2020-11-02,Y,187.76,177.94,188.75,174.81,-6.89,179.81,-4.23,18,204.92,174.81,9.13,192.67,2.61
PYPL,2021-02-03,Y,251.9,265.34,274.94,260.85,9.14,270.43,7.35,16,309.14,260.85,22.72,286.92,13.9
PYPL,2021-05-05,Y,247.4,256.0,256.31,245.11,3.6,252.02,1.86,16,258.64,233.61,-5.57,250.69,1.32
PYPL,2021-07-28,Y,301.98,285.37,289.0,281.6,-6.74,283.17,-6.22,23,289.0,266.6,-11.71,272.96,-9.6
PYPL,2021-11-08,Y,229.42,212.4,212.4,200.68,-12.52,205.42,-10.46,11,215.97,193.07,-15.84,193.61,-15.6
PYPL,2022-02-01,Y,175.8,139.89,139.9,129.01,-26.61,132.57,-24.59,17,139.9,103.03,-41.39,103.65,-41.04
PYPL,2022-04-27,Y,82.61,85.06,93.18,84.37,12.79,92.09,11.47,23,94.51,71.83,14.4,80.54,-2.5
PYPL,2022-08-02,Y,89.63,101.14,101.95,97.27,13.74,97.92,9.24,17,103.03,93.61,14.95,96.56,7.73
PYPL,2022-11-03,Y,76.55,75.0,75.31,71.17,-7.02,75.18,-1.78,15,92.62,71.17,20.99,84.92,10.93
PYPL,2023-02-09,Y,78.42,79.37,82.85,78.6,5.64,80.8,3.03,8,82.85,73.59,-6.15,74.66,-4.79
