Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
QMCO,2020-01-29,Y,8.35,7.61,7.61,6.25,-25.14,7.01,-16.04,23,7.61,5.25,-37.12,5.56,-33.41
QMCO,2020-06-24,Y,4.81,4.25,4.6,4.15,-13.72,4.37,-9.14,23,4.6,3.71,-22.86,4.29,-10.81
QMCO,2020-08-05,Y,4.92,5.1,5.22,4.82,6.09,4.99,1.42,16,5.55,4.82,12.8,5.55,12.8
QMCO,2020-10-28,Y,4.52,4.57,4.88,4.2,7.96,4.38,-3.09,23,5.8,4.05,28.31,5.62,24.33
QMCO,2021-01-27,Y,7.0,7.33,7.6,7.11,8.57,7.39,5.57,23,9.15,6.99,30.71,8.4,20.0
QMCO,2021-05-26,Y,8.82,8.45,8.55,8.03,-8.95,8.17,-7.36,23,8.55,6.85,-22.33,7.62,-13.6
QMCO,2021-08-09,Y,6.35,5.28,5.83,5.05,-20.47,5.76,-9.29,11,5.83,5.05,-20.47,5.61,-11.65
QMCO,2021-11-03,Y,6.2,6.79,7.3,6.75,17.74,7.17,15.64,16,7.45,5.99,20.16,6.07,-2.09
QMCO,2022-02-09,Y,4.95,2.87,3.24,2.71,-45.25,3.02,-38.98,9,3.24,2.67,-46.06,2.73,-44.84
QMCO,2022-06-08,Y,2.17,2.2,2.2,1.95,-10.13,2.11,-2.76,9,2.2,1.51,-30.41,1.57,-27.64
QMCO,2022-08-04,Y,1.94,1.87,1.92,1.7,-12.37,1.85,-4.63,15,1.97,1.66,-14.43,1.79,-7.73
