Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
QTRX,2018-05-09,Y,18.98,19.03,19.29,18.62,-1.89,19.12,0.73,9,20.5,18.06,8.0,20.08,5.79
QTRX,2018-08-08,Y,14.93,15.0,15.11,13.84,-7.3,14.61,-2.14,9,15.11,13.0,-12.92,14.65,-1.87
QTRX,2018-11-01,Y,17.57,18.25,18.5,17.14,5.29,17.49,-0.45,15,18.98,16.0,-8.93,16.92,-3.69
QTRX,2019-03-07,Y,23.82,24.23,25.0,22.55,-5.33,23.08,-3.1,8,25.27,21.4,-10.15,24.87,4.4
QTRX,2019-05-09,Y,23.24,24.49,25.17,21.99,8.3,22.13,-4.77,8,25.17,19.54,-15.92,22.06,-5.07
QTRX,2019-08-06,Y,29.04,29.41,29.41,27.57,-5.06,28.59,-1.54,10,29.41,24.18,-16.73,27.91,-3.89
QTRX,2020-03-09,Y,19.3,20.01,21.5,19.33,11.39,19.8,2.59,11,21.5,10.89,-43.57,14.17,-26.58
QTRX,2020-05-05,Y,26.5,28.99,28.99,25.4,9.39,28.53,7.66,10,28.99,24.55,9.39,25.31,-4.49
QTRX,2020-08-06,Y,34.93,31.9,34.19,31.7,-9.24,33.12,-5.18,15,37.77,31.7,-9.24,36.05,3.2
QTRX,2020-11-05,Y,44.09,45.58,52.75,45.41,19.64,49.7,12.72,15,52.75,42.65,19.64,46.05,4.44
QTRX,2021-03-02,Y,77.1,84.89,84.89,65.26,-15.35,65.47,-15.08,17,84.89,57.54,-25.36,59.45,-22.89
QTRX,2021-05-05,Y,52.77,50.26,53.83,49.68,-5.85,52.7,-0.13,16,57.01,41.76,-20.86,46.91,-11.1
QTRX,2021-08-05,Y,56.96,55.67,57.14,51.62,-9.37,52.38,-8.04,15,57.14,44.32,-22.19,48.19,-15.39
QTRX,2021-11-04,Y,56.3,56.3,58.64,53.24,-5.43,57.43,2.0,15,60.92,45.02,-20.03,46.12,-18.08
QTRX,2022-03-01,N,33.74,33.82,35.98,31.02,-8.06,31.6,-6.34,18,35.98,22.7,-32.72,28.8,-14.64
QTRX,2022-05-10,N,18.5,20.48,20.51,14.86,-19.67,16.82,-9.08,11,20.51,14.86,-19.67,17.2,-7.02
QTRX,2022-08-08,Y,16.49,9.96,10.0,6.31,-61.73,7.46,-54.76,11,10.85,6.31,-61.73,9.23,-44.02
QTRX,2022-11-08,Y,9.33,10.26,11.1,9.36,18.97,9.45,1.28,10,13.47,9.36,44.37,11.73,25.72
