Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
QUOT,2014-05-07,Y,16.46,17.0,17.45,15.56,6.01,17.13,4.07,9,21.45,15.56,30.31,19.25,16.95
QUOT,2014-08-06,Y,19.48,18.66,18.66,14.9,-23.55,14.91,-23.49,9,18.66,14.29,-26.68,14.5,-25.6
QUOT,2014-11-04,Y,12.44,14.93,17.25,14.51,38.66,16.57,33.19,18,17.25,14.51,38.66,16.0,28.61
QUOT,2015-02-09,Y,14.51,9.24,11.08,9.24,-36.31,10.75,-25.91,11,11.33,9.24,-36.31,10.01,-31.01
QUOT,2015-05-05,Y,10.99,10.74,11.23,9.91,-9.82,11.18,1.72,10,12.82,9.91,16.65,12.59,14.55
QUOT,2015-08-05,Y,9.19,10.0,11.09,9.88,20.54,10.25,11.41,16,11.09,9.01,20.54,9.48,3.04
QUOT,2015-11-04,Y,6.3,5.5,6.46,5.5,-12.69,6.3,,16,7.13,5.5,13.17,6.78,7.61
QUOT,2016-02-11,Y,5.45,6.33,7.68,6.33,40.91,7.38,35.41,8,9.42,6.33,72.84,8.97,64.58
QUOT,2016-05-03,Y,11.34,11.99,12.9,10.54,13.75,11.56,1.94,17,12.9,10.19,13.75,11.11,-2.02
QUOT,2016-08-02,Y,13.08,13.5,14.34,12.93,9.63,13.19,0.84,17,14.34,12.78,9.63,13.94,6.57
QUOT,2016-11-01,Y,10.75,11.75,11.75,9.82,9.3,9.85,-8.37,17,12.35,9.44,14.88,12.3,14.41
QUOT,2017-02-09,Y,10.9,12.0,13.3,11.85,22.01,13.2,21.1,8,13.3,11.85,22.01,12.85,17.88
QUOT,2017-05-02,Y,11.5,11.55,11.85,10.45,-9.13,11.65,1.3,17,11.85,10.45,-9.13,11.25,-2.17
QUOT,2017-08-01,Y,11.6,12.15,13.4,12.15,15.51,13.15,13.36,17,14.75,12.15,27.15,14.45,24.56
QUOT,2017-11-01,Y,15.5,14.45,14.85,13.6,-12.25,14.1,-9.03,16,14.85,11.95,-22.9,12.05,-22.25
QUOT,2018-02-13,Y,10.95,10.7,13.0,10.6,18.72,12.85,17.35,3,13.5,10.6,23.28,13.2,20.54
QUOT,2018-05-01,Y,13.12,12.05,13.35,11.8,-10.06,12.65,-3.58,17,14.05,11.8,-10.06,14.0,6.7
QUOT,2018-07-31,Y,14.75,13.55,13.75,12.35,-16.27,12.9,-12.54,17,14.68,12.35,-16.27,13.9,-5.76
QUOT,2018-11-07,Y,12.99,13.1,13.52,12.5,4.08,12.98,-0.07,9,13.52,12.5,4.08,12.56,-3.31
QUOT,2019-02-12,Y,10.12,9.41,9.86,9.41,-7.01,9.75,-3.65,3,10.22,9.41,-7.01,10.22,0.98
QUOT,2019-05-07,Y,9.64,10.3,10.66,9.7,10.58,10.4,7.88,10,10.7,9.7,10.99,10.44,8.29
QUOT,2019-08-06,Y,10.15,7.8,8.16,6.92,-31.82,7.27,-28.37,10,8.16,6.92,-31.82,7.81,-23.05
QUOT,2020-02-12,Y,10.85,9.45,10.46,9.33,-14.0,10.06,-7.28,9,10.46,9.33,-14.0,9.93,-8.47
QUOT,2020-05-05,Y,6.45,6.25,6.28,5.69,-11.78,6.01,-6.82,10,6.28,5.28,-18.13,5.68,-11.93
QUOT,2020-08-04,Y,8.72,9.2,10.16,9.2,16.51,9.76,11.92,17,10.16,8.72,16.51,9.05,3.78
QUOT,2020-11-05,Y,9.5,7.82,8.2,7.21,-24.1,7.42,-21.89,15,8.2,6.96,-26.73,7.57,-20.31
QUOT,2021-02-10,Y,10.09,12.1,13.68,11.55,35.57,13.34,32.21,9,13.68,11.55,35.57,12.99,28.74
QUOT,2021-05-05,Y,16.87,14.2,14.2,12.48,-26.02,12.64,-25.07,16,14.2,10.93,-35.21,10.98,-34.91
QUOT,2021-08-05,Y,10.87,9.77,9.77,7.9,-27.32,8.15,-25.02,15,9.77,6.93,-36.24,7.01,-35.51
QUOT,2021-11-03,Y,6.77,5.5,6.08,5.09,-24.81,5.88,-13.14,16,7.71,5.09,-24.81,7.29,7.68
QUOT,2022-02-09,Y,7.22,5.99,6.62,5.9,-18.28,6.39,-11.49,9,6.74,5.85,-18.97,6.62,-8.31
QUOT,2022-05-04,Y,5.49,5.43,5.96,4.84,-11.83,4.96,-9.65,16,5.96,3.75,-31.69,4.19,-23.67
QUOT,2022-08-09,Y,2.73,2.63,2.67,2.39,-12.45,2.41,-11.72,10,2.67,2.21,-19.04,2.23,-18.31
QUOT,2022-11-08,Y,2.63,2.85,3.33,2.66,26.61,3.23,22.81,10,3.67,2.66,39.54,3.0,14.06
QUOT,2023-02-28,Y,3.78,3.81,3.81,3.18,-15.87,3.34,-11.64,17,3.97,2.93,-22.48,3.23,-14.55
