Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
QURE,2014-12-01,N,15.05,15.7,15.7,13.2,-12.29,13.43,-10.76,19,17.32,12.28,-18.4,15.24,1.26
QURE,2015-04-06,N,22.86,34.4,35.5,31.83,55.29,33.61,47.02,11,35.5,26.05,55.29,26.97,17.97
QURE,2015-06-11,N,30.06,30.07,30.56,28.62,-4.79,30.25,0.63,8,32.99,28.62,9.74,31.41,4.49
QURE,2015-08-27,N,24.61,23.55,26.61,23.5,8.12,25.23,2.51,22,34.85,23.5,41.6,33.4,35.75
QURE,2015-11-30,N,22.5,21.22,22.0,18.46,-17.95,18.78,-16.53,18,22.0,15.59,-30.71,16.0,-28.88
QURE,2016-08-25,N,8.25,8.31,8.52,8.05,3.27,8.22,-0.36,22,8.6,7.5,-9.09,7.86,-4.72
QURE,2017-08-09,N,8.36,8.36,8.82,8.19,5.5,8.67,3.7,10,9.15,8.16,9.44,8.41,0.59
QURE,2018-03-15,N,22.36,22.6,23.28,21.43,-4.15,21.72,-2.86,2,23.28,21.43,-4.15,21.59,-3.44
QURE,2018-08-08,N,32.49,32.54,33.49,29.71,-8.55,31.96,-1.63,10,36.81,29.71,13.29,36.41,12.06
QURE,2018-11-07,N,25.63,26.01,28.54,25.82,11.35,27.9,8.85,10,35.0,21.98,36.55,31.84,24.22
QURE,2019-03-13,N,65.5,65.26,65.92,63.2,-3.51,64.96,-0.82,3,65.92,62.02,-5.31,63.35,-3.28
QURE,2019-04-29,N,57.35,54.15,57.63,54.15,-5.57,56.64,-1.23,21,62.89,54.15,9.65,59.74,4.16
QURE,2020-02-27,N,53.56,52.24,54.89,49.12,-8.28,51.81,-3.26,23,58.47,37.5,-29.98,43.12,-19.49
QURE,2020-07-27,N,39.46,39.81,41.32,39.37,4.71,41.0,3.9,28,43.39,36.49,9.95,38.52,-2.38
QURE,2021-03-01,N,36.7,37.34,38.27,36.58,4.27,38.05,3.67,21,38.79,30.76,-16.18,33.4,-8.99
QURE,2021-05-10,N,32.55,32.13,32.85,31.5,-3.22,32.25,-0.92,14,34.82,30.29,6.97,33.95,4.3
QURE,2021-07-29,N,29.74,30.0,30.24,28.84,-3.02,29.16,-1.95,23,31.16,26.42,-11.16,26.8,-9.88
QURE,2021-10-25,N,28.46,28.1,29.58,27.91,3.93,29.36,3.16,28,36.55,27.91,28.42,29.64,4.14
QURE,2022-02-28,N,16.87,16.52,17.35,16.47,2.84,16.99,0.71,21,18.14,14.29,-15.29,17.96,6.46
QURE,2022-08-08,Y,18.64,18.4,20.43,17.88,9.6,19.02,2.03,11,20.81,17.88,11.64,19.05,2.19
