Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
RBBN,2019-02-20,Y,6.07,5.65,5.93,5.21,-14.16,5.36,-11.69,23,5.93,4.92,-18.94,5.22,-14.0
RBBN,2019-05-02,Y,5.32,4.9,4.99,4.52,-15.03,4.74,-10.9,15,5.26,4.52,-15.03,4.89,-8.08
RBBN,2019-07-31,Y,4.92,5.04,5.46,5.04,10.97,5.1,3.65,16,5.49,5.04,11.58,5.25,6.7
RBBN,2019-10-30,Y,5.48,4.52,4.69,4.26,-22.26,4.29,-21.71,16,4.69,2.7,-50.72,2.75,-49.81
RBBN,2020-02-19,Y,3.27,3.1,3.44,2.85,-12.84,3.23,-1.22,2,3.59,2.85,-12.84,3.5,7.03
RBBN,2020-05-06,Y,3.13,3.45,3.68,3.31,17.57,3.6,15.01,9,3.69,3.09,17.89,3.28,4.79
RBBN,2020-08-05,Y,4.75,5.04,5.64,4.63,18.73,4.65,-2.1,16,5.64,4.33,18.73,4.43,-6.73
RBBN,2020-10-29,Y,3.86,4.24,4.62,4.2,19.68,4.31,11.65,22,6.05,4.08,56.73,5.88,52.33
RBBN,2021-02-17,Y,10.94,10.23,10.69,9.35,-14.53,10.15,-7.22,2,10.69,9.35,-14.53,9.63,-11.97
RBBN,2021-04-28,Y,8.14,7.64,7.84,6.79,-16.58,7.17,-11.91,23,7.84,6.29,-22.72,7.25,-10.93
RBBN,2021-07-28,Y,7.06,6.89,7.32,6.75,-4.39,7.06,0.0,23,7.78,6.02,-14.73,6.47,-8.35
RBBN,2021-10-27,Y,5.86,5.43,5.6,5.11,-12.79,5.32,-9.21,23,6.24,5.11,-12.79,5.78,-1.36
RBBN,2022-02-16,Y,4.53,3.86,3.92,3.38,-25.38,3.5,-22.73,2,3.92,3.38,-25.38,3.49,-22.95
RBBN,2022-04-27,Y,3.05,3.21,3.47,3.18,13.77,3.3,8.19,23,3.65,2.8,19.67,2.88,-5.57
RBBN,2022-07-27,Y,3.63,3.58,3.6,3.26,-10.19,3.3,-9.09,23,3.76,3.17,-12.67,3.53,-2.75
RBBN,2022-10-26,Y,2.84,2.58,2.85,2.5,-11.97,2.79,-1.76,23,2.86,2.44,-14.08,2.75,-3.16
RBBN,2023-02-15,Y,3.8,4.16,4.84,3.94,27.36,4.63,21.84,2,4.84,3.94,27.36,4.48,17.89
