Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
RCUS,2019-03-07,Y,11.67,11.66,11.79,11.37,-2.57,11.68,0.08,8,12.7,11.37,8.82,11.67,0.0
RCUS,2019-08-05,N,6.84,6.74,6.74,6.3,-7.89,6.6,-3.5,14,7.72,6.3,12.86,7.38,7.89
RCUS,2020-03-11,N,17.53,17.03,17.71,16.72,-4.62,16.97,-3.19,10,17.71,9.85,-43.81,10.5,-40.1
RCUS,2020-08-04,Y,20.99,21.37,22.16,21.01,5.57,21.27,1.33,17,25.48,20.67,21.39,24.58,17.1
RCUS,2020-11-05,Y,20.92,21.09,21.72,19.83,-5.21,20.27,-3.1,15,24.74,19.83,18.26,24.38,16.53
RCUS,2021-02-24,Y,35.33,35.77,36.21,33.44,-5.34,34.25,-3.05,23,39.19,30.81,-12.79,37.07,4.92
RCUS,2021-08-05,Y,30.48,30.52,31.49,27.0,-11.41,27.26,-10.56,15,31.49,26.6,-12.72,28.38,-6.88
RCUS,2021-11-08,Y,34.74,35.49,39.2,34.85,12.83,38.9,11.97,11,48.03,34.85,38.25,47.55,36.87
RCUS,2022-02-23,Y,30.01,28.72,35.78,28.72,19.22,35.59,18.59,23,38.63,28.72,28.72,35.95,19.79
RCUS,2022-05-09,Y,21.5,23.86,25.72,22.99,19.62,24.01,11.67,11,25.72,16.74,-22.13,18.92,-11.99
RCUS,2022-08-03,Y,26.35,24.83,27.43,24.83,-5.76,26.85,1.89,16,28.47,24.45,8.04,25.93,-1.59
RCUS,2023-02-28,Y,18.21,18.44,18.88,17.26,-5.21,17.42,-4.33,17,18.88,15.7,-13.78,16.45,-9.66
