Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
RENN,2011-06-20,Y,7.6,7.89,7.89,7.1,-6.57,7.21,-5.13,25,11.99,6.13,57.76,10.26,35.0
RENN,2011-08-11,Y,7.78,7.48,8.26,7.28,-6.42,8.03,3.34,8,8.5,6.75,-13.23,6.97,-10.41
RENN,2011-11-10,Y,5.08,4.62,4.98,4.51,-11.22,4.96,-2.36,8,4.99,4.25,-16.33,4.28,-15.74
RENN,2012-03-08,Y,5.35,5.79,5.8,5.38,8.41,5.4,0.93,8,5.9,5.23,10.28,5.29,-1.12
RENN,2012-05-14,Y,5.49,5.77,6.19,5.74,12.75,5.84,6.37,4,6.43,4.82,17.12,4.93,-10.2
RENN,2012-08-07,Y,4.11,3.9,4.0,3.73,-9.24,3.98,-3.16,10,4.09,3.73,-9.24,4.04,-1.7
RENN,2013-03-11,N,3.07,2.93,3.18,2.92,-4.88,3.03,-1.3,4,3.24,2.92,5.53,2.97,-3.25
RENN,2013-05-13,Y,2.99,3.13,3.14,2.91,5.01,3.0,0.33,4,3.14,2.78,-7.02,2.85,-4.68
RENN,2013-08-14,Y,4.2,3.63,3.9,3.54,-15.71,3.72,-11.42,2,3.9,3.54,-15.71,3.59,-14.52
RENN,2013-11-27,Y,3.35,2.96,3.05,2.91,-13.13,2.98,-11.04,23,3.1,2.76,-17.61,2.99,-10.74
RENN,2014-03-18,Y,3.77,3.45,3.54,3.22,-14.58,3.4,-9.81,3,3.54,3.2,-15.11,3.22,-14.58
RENN,2014-05-21,Y,3.17,3.16,3.32,3.13,4.73,3.28,3.47,30,3.6,3.13,13.56,3.31,4.41
RENN,2014-08-25,Y,3.27,3.27,3.44,3.26,5.19,3.37,3.05,25,3.65,3.23,11.62,3.36,2.75
RENN,2014-11-20,Y,2.96,2.81,2.9,2.65,-10.47,2.66,-10.13,2,2.9,2.65,-10.47,2.68,-9.45
RENN,2015-03-18,Y,2.39,2.46,2.46,2.36,2.92,2.43,1.67,2,2.46,2.35,2.92,2.4,0.41
RENN,2015-05-12,Y,2.9,2.86,3.05,2.82,5.17,3.02,4.13,3,3.05,2.82,5.17,2.97,2.41
RENN,2015-08-20,N,3.68,3.54,3.65,3.5,-4.89,3.6,-2.17,1,3.65,3.42,-7.06,3.45,-6.24
RENN,2015-11-27,N,3.5,3.42,3.53,3.4,-2.85,3.42,-2.28,21,3.77,3.37,7.71,3.57,1.99
RENN,2016-06-08,N,2.2,2.14,2.18,2.11,-4.09,2.17,-1.36,9,2.18,1.87,-15.0,1.97,-10.45
RENN,2016-12-14,N,1.76,1.76,1.8,1.76,2.27,1.76,,2,1.8,1.66,-5.68,1.66,-5.68
RENN,2017-04-19,N,7.45,7.38,7.53,7.38,1.07,7.42,-0.4,3,7.54,7.36,1.2,7.39,-0.8
RENN,2017-06-21,Y,6.33,6.37,6.69,6.3,5.68,6.46,2.05,30,6.69,6.01,5.68,6.14,-3.0
RENN,2017-08-21,N,8.23,8.5,8.83,7.75,7.29,7.96,-3.28,28,8.83,7.16,-13.0,8.07,-1.94
RENN,2017-12-13,N,10.18,10.21,10.53,9.9,3.43,9.99,-1.86,3,11.14,9.9,9.43,10.46,2.75
RENN,2018-05-14,N,8.78,8.79,8.95,8.65,1.93,8.85,0.79,7,9.04,8.59,2.96,8.8,0.22
RENN,2018-06-20,N,9.94,10.02,10.2,9.97,2.61,10.01,0.7,31,10.2,1.66,-83.29,2.37,-76.15
RENN,2018-09-11,N,1.37,2.0,2.32,1.85,69.34,2.16,57.66,11,2.32,1.48,69.34,1.48,8.02
RENN,2018-12-21,N,1.56,1.49,1.52,1.27,-18.58,1.27,-18.58,1,1.52,1.27,-18.58,1.27,-18.58
RENN,2019-04-30,N,1.96,2.38,2.42,1.7,23.46,1.73,-11.73,18,2.42,1.41,-28.06,1.43,-27.04
RENN,2019-06-11,Y,1.38,1.37,1.38,1.31,-5.07,1.34,-2.89,10,1.38,0.87,-36.95,1.0,-27.53
RENN,2019-09-17,Y,0.88,0.87,0.89,0.83,-5.68,0.84,-4.54,3,0.89,0.83,-5.68,0.85,-3.4
RENN,2019-10-15,Y,0.72,0.75,0.77,0.71,6.94,0.72,0.0,3,0.77,0.65,-9.72,0.72,0.0
RENN,2020-03-30,N,0.92,0.89,0.9,0.85,-7.6,0.85,-7.6,21,1.0,0.6,-34.78,0.84,-8.69
RENN,2022-05-26,Y,28.17,28.17,28.66,27.85,1.73,28.64,1.66,22,30.29,27.75,7.52,28.96,2.8
