Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
REZI,2019-03-06,Y,24.75,21.0,21.14,17.6,-28.88,18.96,-23.39,9,21.14,17.6,-28.88,20.01,-19.15
REZI,2019-05-09,N,22.86,23.02,23.02,21.4,-6.38,22.67,-0.83,9,23.99,21.4,-6.38,22.02,-3.67
REZI,2019-08-08,N,17.1,17.5,18.06,16.78,5.61,17.08,-0.11,9,18.06,13.93,-18.53,14.67,-14.21
REZI,2020-02-27,N,8.51,9.97,10.95,8.96,28.67,10.26,20.56,23,10.95,3.84,-54.87,5.11,-39.95
REZI,2020-05-07,N,4.7,4.72,5.35,4.51,13.82,5.27,12.12,9,6.11,4.51,30.0,5.51,17.23
REZI,2020-08-04,N,11.11,11.32,12.71,11.31,14.4,12.48,12.33,18,14.9,11.31,34.11,13.62,22.59
REZI,2020-11-05,N,11.35,14.2,16.37,13.45,44.22,15.39,35.59,16,19.95,13.45,75.77,17.55,54.62
REZI,2021-02-25,N,28.97,27.83,28.39,24.06,-16.94,24.69,-14.77,23,31.67,24.0,-17.15,29.71,2.55
REZI,2021-05-06,Y,29.97,30.66,31.45,29.76,4.93,30.28,1.03,15,31.45,26.47,-11.67,29.04,-3.1
REZI,2021-08-05,Y,30.5,31.6,33.25,30.17,9.01,31.89,4.55,15,33.25,28.27,9.01,29.41,-3.57
REZI,2021-11-04,Y,27.2,25.55,26.86,24.0,-11.76,26.46,-2.72,15,28.29,24.0,-11.76,27.26,0.22
REZI,2022-02-15,Y,24.82,25.11,26.94,24.11,8.54,26.77,7.85,3,27.0,24.11,8.78,25.53,2.86
REZI,2022-05-03,Y,23.63,25.31,27.0,24.31,14.26,26.03,10.15,17,27.0,21.34,14.26,22.94,-2.92
REZI,2022-08-04,Y,22.66,23.0,23.08,21.97,-3.04,22.89,1.01,15,23.84,21.97,5.2,22.48,-0.79
