Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
RLMD,2020-06-25,Y,49.98,50.68,51.01,41.25,-17.46,43.37,-13.22,22,51.01,38.8,-22.36,42.33,-15.3
RLMD,2020-09-24,Y,36.2,36.2,37.59,36.2,3.83,36.8,1.65,22,40.47,34.4,11.79,34.86,-3.7
RLMD,2020-11-12,Y,32.85,32.74,33.25,31.91,-2.86,32.57,-0.85,8,36.97,31.91,12.54,36.87,12.23
RLMD,2021-03-23,Y,34.34,34.32,34.38,31.76,-7.51,31.87,-7.19,24,39.06,31.09,13.74,34.69,1.01
RLMD,2021-05-12,Y,33.61,34.32,34.71,33.29,3.27,33.5,-0.32,9,38.67,33.29,15.05,37.91,12.79
RLMD,2021-08-10,Y,23.0,22.04,23.83,20.6,-10.43,23.79,3.43,10,24.35,20.6,-10.43,22.43,-2.47
RLMD,2021-11-11,Y,25.66,24.66,25.01,22.62,-11.84,22.82,-11.06,8,25.01,19.81,-22.79,20.39,-20.53
RLMD,2022-03-23,Y,23.33,23.4,25.63,23.02,9.85,25.1,7.58,22,30.95,23.02,32.66,26.03,11.57
RLMD,2022-05-05,Y,22.4,22.55,23.7,20.83,-7.0,21.23,-5.22,15,23.7,17.9,-20.08,20.1,-10.26
RLMD,2022-08-04,Y,25.0,24.86,26.3,24.36,5.2,26.18,4.71,15,30.95,24.36,23.79,29.01,16.04
RLMD,2022-08-11,Y,27.82,28.01,30.23,27.7,8.66,29.1,4.6,8,30.95,27.29,11.25,29.01,4.27
RLMD,2022-11-10,Y,5.84,5.79,6.56,5.67,12.32,6.35,8.73,8,6.74,5.62,15.41,5.94,1.71
RLMD,2023-03-23,Y,2.32,2.26,2.29,2.0,-13.79,2.27,-2.15,29,3.09,2.0,33.18,2.64,13.79
