Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ROK,2002-01-22,N,18.22,18.26,18.89,18.0,3.67,18.48,1.48,24,19.42,17.64,6.58,18.62,2.19
ROK,2002-04-23,N,19.54,20.25,20.9,20.1,6.96,20.48,4.81,24,22.79,19.78,16.63,22.5,15.14
ROK,2002-07-23,N,16.26,16.1,16.68,15.8,-2.82,16.2,-0.36,24,19.1,15.7,17.46,18.22,12.05
ROK,2002-11-07,N,17.2,17.05,17.7,16.86,2.9,17.66,2.67,8,19.92,16.86,15.81,19.55,13.66
ROK,2003-01-21,Y,22.48,22.23,22.73,22.17,-1.37,22.66,0.8,31,23.74,20.7,-7.91,23.47,4.4
ROK,2003-04-22,N,21.58,20.8,22.9,20.64,6.11,22.74,5.37,24,22.98,20.64,6.48,22.74,5.37
ROK,2003-07-22,N,24.65,24.65,26.01,24.34,5.51,25.84,4.82,24,27.31,24.34,10.79,26.28,6.61
ROK,2003-11-06,N,31.65,33.03,33.03,33.03,4.36,33.03,4.36,15,33.49,30.44,5.81,31.46,-0.6
ROK,2004-01-27,N,35.07,35.95,35.95,30.63,-12.66,33.28,-5.1,24,35.95,29.76,-15.14,30.45,-13.17
ROK,2004-04-27,N,34.4,35.1,35.4,33.95,2.87,34.02,-1.13,24,35.4,30.89,-10.22,32.47,-5.6
ROK,2004-07-28,N,35.97,37.0,37.86,36.29,5.25,37.56,4.42,23,38.5,35.88,7.03,38.29,6.47
ROK,2004-11-04,N,41.99,43.7,45.14,42.37,7.5,44.98,7.12,15,45.98,41.5,9.5,44.83,6.76
ROK,2005-01-26,N,52.49,52.9,54.89,52.11,4.57,54.78,4.36,23,61.46,52.11,17.08,59.95,14.21
ROK,2005-04-26,N,56.38,53.0,53.0,46.2,-18.05,48.0,-14.86,24,53.0,45.49,-19.31,51.09,-9.38
