Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
RPD,2015-08-18,Y,24.38,23.65,25.38,23.02,-5.57,24.72,1.39,3,25.38,21.04,-13.69,21.11,-13.41
RPD,2015-11-12,Y,20.9,20.56,21.23,18.55,-11.24,19.97,-4.44,8,21.23,18.37,-12.1,18.51,-11.43
RPD,2016-02-10,Y,9.98,10.19,10.93,9.05,9.51,10.76,7.81,9,13.16,9.05,31.86,12.7,27.25
RPD,2016-05-11,Y,11.42,12.0,12.28,10.82,7.53,11.31,-0.96,9,12.28,10.82,7.53,11.58,1.4
RPD,2016-08-08,Y,13.96,14.59,16.64,14.34,19.19,15.65,12.1,11,18.98,14.34,35.95,18.48,32.37
RPD,2016-11-09,Y,14.23,12.85,13.48,10.63,-25.29,11.7,-17.77,9,13.48,10.63,-25.29,11.56,-18.76
RPD,2017-02-09,Y,12.56,13.3,14.4,13.3,14.64,14.15,12.65,8,15.37,13.3,22.37,15.16,20.7
RPD,2017-05-09,Y,17.99,18.54,19.09,17.35,6.11,18.73,4.16,10,19.09,17.35,6.11,17.84,-0.83
RPD,2017-08-07,Y,15.06,17.34,17.43,14.75,15.73,15.07,0.06,11,17.43,14.74,15.73,16.51,9.62
RPD,2017-11-07,Y,17.72,18.19,19.71,17.85,11.23,19.38,9.36,10,20.25,17.64,14.27,18.45,4.11
RPD,2018-02-12,N,23.73,24.08,24.1,21.33,-10.11,23.15,-2.44,7,24.55,21.33,-10.11,24.19,1.93
RPD,2018-05-08,Y,31.07,32.96,33.7,31.11,8.46,31.77,2.25,10,33.7,29.64,8.46,30.79,-0.9
RPD,2018-08-06,Y,29.91,33.34,36.23,32.06,21.13,32.53,8.75,11,36.23,30.51,21.13,33.42,11.73
RPD,2018-11-06,Y,33.52,36.12,38.0,35.02,13.36,37.14,10.79,10,38.0,31.14,13.36,32.78,-2.2
RPD,2019-02-07,Y,39.95,42.8,45.17,42.04,13.06,44.49,11.36,8,47.62,42.04,19.19,45.94,14.99
RPD,2019-05-02,Y,52.88,54.28,57.0,52.31,7.79,52.46,-0.79,15,57.0,49.46,7.79,53.11,0.43
RPD,2019-08-01,N,60.65,63.34,64.48,60.82,6.31,61.06,0.67,16,64.48,53.06,-12.51,53.48,-11.82
RPD,2020-02-10,Y,62.38,58.34,59.31,56.1,-10.06,56.58,-9.29,11,59.31,52.12,-16.44,52.99,-15.05
RPD,2020-05-07,Y,50.8,51.7,51.77,47.45,-6.59,48.78,-3.97,8,51.77,44.23,-12.93,46.72,-8.03
RPD,2020-08-06,Y,59.58,61.34,61.35,57.79,-3.0,59.22,-0.6,15,63.45,56.02,6.49,62.48,4.86
RPD,2020-11-04,Y,66.29,67.35,71.76,67.35,8.25,68.52,3.36,16,72.65,64.82,9.59,71.72,8.19
RPD,2021-02-09,Y,90.24,91.7,92.0,86.57,-4.06,89.51,-0.8,10,92.0,79.67,-11.71,83.13,-7.87
RPD,2021-05-06,Y,73.55,73.89,76.4,73.57,3.87,75.21,2.25,15,82.7,73.57,12.44,81.67,11.04
RPD,2021-08-04,Y,116.46,116.88,120.0,112.35,-3.52,113.76,-2.31,16,120.0,108.17,-7.11,110.8,-4.86
RPD,2021-11-03,Y,128.8,142.0,145.0,127.22,12.57,136.3,5.82,16,145.0,127.22,12.57,132.31,2.72
RPD,2022-02-09,Y,100.35,98.07,103.9,98.0,3.53,99.79,-0.55,9,103.9,91.24,-9.07,91.26,-9.05
RPD,2022-05-04,Y,94.71,83.86,87.0,76.23,-19.51,78.23,-17.4,16,87.0,63.24,-33.22,70.36,-25.71
RPD,2022-08-03,Y,71.78,70.73,72.79,66.74,-7.02,67.44,-6.04,16,72.79,61.86,-13.82,62.55,-12.85
RPD,2022-11-02,Y,39.07,31.86,33.43,29.27,-25.08,30.19,-22.72,16,33.43,26.48,-32.22,28.57,-26.87
RPD,2023-02-08,Y,51.47,51.59,55.61,49.66,8.04,51.03,-0.85,9,55.61,47.65,8.04,49.7,-3.43
