Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
RPRX,2007-11-09,Y,39.15,39.08,41.8,38.96,6.74,41.68,6.43,7,43.48,38.96,11.03,41.2,5.2
RPRX,2008-03-17,N,34.24,35.11,35.11,33.84,2.54,34.68,1.28,4,37.11,33.84,8.38,37.08,8.29
RPRX,2008-05-09,Y,35.32,35.28,36.52,33.96,-3.85,34.56,-2.15,7,37.47,33.79,6.08,37.2,5.32
RPRX,2008-08-11,N,36.92,36.64,37.56,36.47,1.73,37.4,1.3,4,37.56,35.47,-3.92,35.88,-2.81
RPRX,2008-11-10,N,34.36,35.68,35.76,33.2,4.07,33.2,-3.37,11,42.56,30.8,23.86,36.0,4.77
RPRX,2009-03-16,Y,25.6,25.4,29.04,25.4,13.43,28.68,12.03,4,29.04,25.4,13.43,26.0,1.56
RPRX,2009-05-11,N,26.68,30.28,30.28,26.16,13.49,27.4,2.69,4,30.28,26.04,13.49,27.64,3.59
RPRX,2009-08-17,N,4.59,3.2,3.6,2.96,-35.65,3.28,-28.69,4,5.52,2.6,-43.47,4.12,-10.43
RPRX,2009-11-09,N,3.87,3.2,3.44,3.0,-22.48,3.26,-15.76,11,3.44,2.72,-29.71,2.88,-25.58
RPRX,2010-03-15,Y,3.11,3.0,3.04,2.76,-11.25,2.98,-4.18,4,3.04,2.61,-16.07,2.64,-15.11
RPRX,2010-05-10,N,2.96,3.0,3.2,3.0,8.1,3.16,6.75,11,3.2,2.33,-21.28,2.44,-17.56
RPRX,2010-08-09,Y,1.55,1.56,1.56,1.4,-9.67,1.46,-5.8,11,1.76,1.4,13.54,1.71,10.32
RPRX,2010-11-10,N,1.25,1.25,1.33,1.21,6.4,1.3,4.0,9,1.33,1.14,-8.0,1.15,-7.2
RPRX,2011-03-28,Y,5.46,5.49,5.64,5.36,3.29,5.5,0.73,18,5.76,4.51,-17.39,5.3,-2.93
RPRX,2011-05-16,N,5.13,5.14,5.98,5.14,16.56,5.4,5.26,4,6.14,5.14,19.68,5.86,14.23
RPRX,2011-08-09,N,4.34,4.32,4.51,4.12,-5.28,4.38,0.68,10,5.15,4.12,18.39,4.25,-2.29
RPRX,2011-11-10,N,4.71,4.86,4.86,4.61,3.18,4.71,,8,4.86,4.53,-3.82,4.63,-1.69
RPRX,2012-03-27,N,4.42,4.38,4.42,4.09,-7.46,4.16,-5.88,24,4.42,3.68,-16.74,4.37,-1.13
RPRX,2012-05-15,N,7.38,7.36,7.92,7.23,7.31,7.57,2.57,3,7.92,7.09,7.31,7.4,0.27
RPRX,2012-08-13,N,9.0,8.94,9.11,8.69,-3.44,8.93,-0.77,4,9.52,8.69,5.88,9.52,5.88
RPRX,2012-11-13,Y,13.82,13.87,14.13,12.92,-6.51,13.05,-5.57,3,14.13,11.75,-14.97,12.48,-9.69
RPRX,2013-03-18,N,9.42,9.31,9.47,9.02,-4.14,9.09,-3.5,32,19.88,8.42,111.04,19.52,107.21
RPRX,2013-05-10,Y,17.89,17.98,18.17,17.63,1.5,17.68,-1.22,7,18.17,16.14,-9.83,16.69,-6.75
RPRX,2013-08-12,N,19.0,18.95,19.41,18.73,2.15,19.17,0.89,4,19.64,18.21,-4.15,19.43,2.26
RPRX,2013-11-07,N,15.65,15.69,16.0,14.28,-8.75,14.9,-4.79,8,16.0,14.28,-8.75,15.11,-3.45
RPRX,2014-03-17,N,18.95,19.01,19.2,18.3,-3.43,18.75,-1.05,4,20.77,18.3,9.6,20.01,5.59
RPRX,2014-05-12,N,15.18,14.97,16.12,14.97,6.19,15.9,4.74,4,16.14,14.97,6.32,15.7,3.42
RPRX,2014-08-11,N,14.17,14.31,14.48,13.87,2.18,13.96,-1.48,4,14.79,13.6,4.37,14.56,2.75
RPRX,2014-11-10,N,10.11,8.96,9.65,8.55,-15.51,9.22,-8.89,12,10.72,8.55,-15.51,9.02,-10.86
RPRX,2015-03-16,N,9.26,9.35,9.36,9.0,-2.8,9.3,0.43,4,9.49,8.86,-4.31,8.98,-3.02
RPRX,2015-05-07,N,7.51,7.53,7.65,7.34,-2.26,7.44,-0.93,8,7.75,7.1,-5.45,7.56,0.66
RPRX,2015-08-10,N,7.82,7.77,8.48,7.73,8.43,8.36,6.9,11,8.8,7.14,12.53,7.42,-5.11
RPRX,2015-11-09,N,1.78,1.8,1.83,1.65,-7.3,1.66,-6.74,11,1.83,1.42,-20.22,1.47,-17.41
RPRX,2016-03-14,N,1.0,1.03,1.25,1.02,25.0,1.04,4.0,4,1.25,0.94,25.0,0.99,-1.0
RPRX,2016-05-10,N,2.15,2.11,2.19,2.02,-6.04,2.16,0.46,10,2.57,2.02,19.53,2.06,-3.72
RPRX,2016-08-10,N,2.09,2.0,2.08,2.0,-4.3,2.04,-2.39,9,2.48,2.0,18.66,2.06,-1.43
RPRX,2016-11-09,N,1.56,1.5,1.79,1.5,14.74,1.73,10.89,9,2.15,1.5,37.82,1.96,25.64
RPRX,2017-03-20,Y,1.22,1.25,1.26,1.14,-5.73,1.17,-4.09,32,1.28,0.93,-23.77,0.99,-18.85
RPRX,2020-08-12,N,45.77,46.23,47.15,44.1,-3.64,44.99,-1.7,10,47.15,41.51,-9.3,41.97,-8.3
RPRX,2020-11-11,N,40.6,41.8,43.39,39.62,6.87,40.31,-0.71,10,43.39,38.59,6.87,40.37,-0.56
RPRX,2021-02-17,N,47.51,48.02,48.43,46.04,-3.09,47.38,-0.27,3,48.43,45.01,-5.26,47.51,0.0
