Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
RVNC,2014-03-26,Y,30.82,30.93,31.16,29.2,-5.25,29.73,-3.53,26,32.54,25.06,-18.68,28.62,-7.13
RVNC,2014-08-12,Y,24.46,24.71,24.71,23.31,-4.7,24.02,-1.79,3,25.88,23.31,5.8,25.13,2.73
RVNC,2014-11-12,Y,21.0,14.44,17.23,14.02,-33.23,16.07,-23.47,10,17.23,14.02,-33.23,16.89,-19.57
RVNC,2015-03-02,Y,15.72,15.48,15.5,14.1,-10.3,15.02,-4.45,18,20.74,14.1,31.93,19.55,24.36
RVNC,2015-05-13,Y,20.29,20.5,24.84,20.5,22.42,24.29,19.71,2,27.8,20.5,37.01,26.39,30.06
RVNC,2015-08-06,Y,31.21,26.61,29.93,24.82,-20.47,29.82,-4.45,15,31.93,24.82,-20.47,30.59,-1.98
RVNC,2015-11-09,Y,36.15,36.0,39.5,35.06,9.26,39.38,8.93,11,42.41,32.65,17.31,35.31,-2.32
RVNC,2016-03-02,Y,17.8,18.8,20.38,18.5,14.43,20.05,12.63,16,20.99,15.63,17.85,16.62,-6.68
RVNC,2016-05-09,Y,16.94,16.11,17.6,15.41,-9.03,17.43,2.89,11,18.44,15.41,-9.03,18.34,8.26
RVNC,2016-08-04,Y,13.7,13.91,13.92,13.0,-5.1,13.82,0.87,15,15.66,13.0,14.3,15.1,10.21
RVNC,2016-11-03,Y,12.55,12.35,13.98,12.35,11.39,13.5,7.56,15,19.1,12.35,52.19,18.0,43.42
RVNC,2017-02-27,Y,21.1,19.8,21.4,19.2,-9.0,21.0,-0.47,18,21.4,18.0,-14.69,20.1,-4.73
RVNC,2017-05-09,Y,20.3,19.5,22.0,18.42,-9.26,21.9,7.88,10,22.0,18.43,-9.21,20.6,1.47
RVNC,2017-08-03,Y,22.75,23.7,25.1,22.75,10.32,23.75,4.39,15,25.1,22.35,10.32,23.15,1.75
RVNC,2017-11-02,Y,25.9,25.8,26.25,25.3,-2.31,26.2,1.15,15,27.7,24.55,6.94,25.95,0.19
RVNC,2018-02-28,Y,30.95,29.25,31.5,29.05,-6.13,29.85,-3.55,16,34.55,29.05,11.63,31.0,0.16
RVNC,2018-05-08,Y,28.4,28.35,29.2,27.2,-4.22,29.0,2.11,10,31.7,27.2,11.61,30.85,8.62
RVNC,2018-08-02,Y,29.75,29.9,29.9,26.5,-10.92,26.85,-9.74,15,29.9,25.85,-13.1,26.2,-11.93
RVNC,2018-11-01,Y,23.01,24.46,26.89,24.27,16.86,24.88,8.12,15,26.89,20.52,16.86,20.99,-8.77
RVNC,2019-02-26,Y,17.07,17.0,17.32,15.38,-9.9,16.98,-0.52,17,17.75,15.38,-9.9,15.45,-9.49
RVNC,2019-05-08,Y,12.68,10.57,13.13,10.51,-17.11,12.82,1.1,9,13.13,10.51,-17.11,11.9,-6.15
RVNC,2019-08-05,Y,11.94,11.79,12.9,11.79,8.04,12.31,3.09,11,13.28,10.62,11.22,11.34,-5.02
RVNC,2020-02-24,Y,26.91,27.67,27.67,24.21,-10.03,24.76,-7.98,25,27.67,11.78,-56.22,13.1,-51.31
RVNC,2020-05-07,Y,18.62,18.5,20.25,18.5,8.75,20.09,7.89,8,21.78,18.39,16.97,19.3,3.65
RVNC,2020-08-06,Y,23.58,23.28,26.7,23.01,13.23,26.06,10.51,15,26.7,23.01,13.23,25.29,7.25
RVNC,2020-11-09,Y,27.6,26.64,26.84,23.4,-15.21,25.73,-6.77,11,27.5,23.4,-15.21,24.01,-13.0
RVNC,2021-02-22,Y,26.96,27.55,27.55,25.04,-7.12,25.91,-3.89,25,29.43,23.92,-11.27,29.3,8.67
RVNC,2021-05-10,Y,27.43,26.59,28.43,26.57,3.64,27.35,-0.29,11,30.0,26.57,9.36,28.04,2.22
RVNC,2021-08-05,Y,29.83,29.85,29.85,28.77,-3.55,29.07,-2.54,15,29.85,25.45,-14.68,26.97,-9.58
RVNC,2021-11-09,Y,13.92,14.26,14.85,13.43,6.68,14.62,5.02,10,15.69,13.29,12.71,13.75,-1.22
RVNC,2022-02-28,Y,13.57,13.0,15.34,12.9,13.04,15.2,12.01,18,17.99,12.9,32.57,17.54,29.25
RVNC,2022-05-10,Y,14.86,14.48,15.74,13.02,-12.38,13.22,-11.03,10,15.74,12.66,-14.8,13.76,-7.4
RVNC,2022-08-09,Y,17.47,19.04,21.6,17.84,23.64,21.57,23.46,10,23.09,17.84,32.16,21.74,24.44
RVNC,2022-11-08,Y,21.39,20.34,21.1,18.96,-11.36,20.3,-5.09,10,24.5,18.96,14.53,22.62,5.75
RVNC,2023-02-28,Y,34.7,33.5,34.65,31.68,-8.7,32.25,-7.06,17,34.65,27.75,-20.02,32.13,-7.4
