Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
RXT,2020-08-31,N,19.33,20.95,22.06,20.35,14.12,21.35,10.45,21,22.75,17.5,17.69,18.24,-5.63
RXT,2020-11-10,Y,17.6,17.5,17.76,16.75,-4.82,17.44,-0.9,10,17.87,15.44,-12.27,16.61,-5.62
RXT,2021-02-18,Y,24.96,22.05,22.68,20.77,-16.78,20.93,-16.14,1,22.68,20.77,-16.78,20.93,-16.14
RXT,2021-05-10,Y,24.02,19.15,19.5,17.26,-28.14,19.01,-20.85,11,20.63,17.26,-28.14,20.43,-14.94
RXT,2021-08-11,Y,16.67,14.62,14.78,13.32,-20.09,14.31,-14.15,9,14.78,13.07,-21.59,13.31,-20.15
RXT,2021-11-15,Y,14.99,16.96,18.5,16.37,23.41,16.7,11.4,4,18.5,14.9,23.41,15.35,2.4
RXT,2022-02-22,Y,10.85,7.3,9.51,7.28,-32.9,9.46,-12.81,24,11.42,7.28,-32.9,11.24,3.59
RXT,2022-05-10,Y,8.63,9.0,9.24,8.11,7.06,8.17,-5.33,10,9.79,8.0,13.44,9.14,5.9
RXT,2022-08-09,Y,6.88,5.75,6.23,5.4,-21.51,5.8,-15.69,10,6.23,5.17,-24.85,5.42,-21.22
RXT,2022-11-09,Y,4.36,5.03,5.95,5.0,36.46,5.92,35.77,9,6.07,4.7,39.22,4.72,8.25
RXT,2023-02-22,Y,2.64,2.98,3.12,2.63,18.18,2.67,1.13,23,3.12,1.92,-27.27,1.92,-27.27
