Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
S,2002-01-29,Y,17.23,17.28,17.28,15.99,-7.19,16.98,-1.39,17,17.28,11.69,-32.15,12.66,-26.52
S,2002-02-27,Y,13.09,13.1,13.61,13.09,3.97,13.41,2.44,16,15.52,13.09,18.56,14.82,13.21
S,2002-04-15,Y,12.82,13.33,15.52,13.33,21.06,15.48,20.74,4,15.95,13.33,24.41,15.85,23.63
S,2002-07-18,N,11.14,11.8,12.14,11.57,8.97,11.67,4.75,1,12.14,11.33,8.97,11.38,2.15
S,2002-10-17,Y,10.16,10.47,11.44,10.47,12.59,11.32,11.41,1,11.44,10.47,12.59,11.32,11.41
S,2003-01-15,Y,15.94,15.18,16.0,15.2,-4.64,15.49,-2.82,2,16.0,14.78,-7.27,14.9,-6.52
S,2003-02-05,N,12.36,11.19,13.32,12.48,7.76,12.52,1.29,16,13.32,11.7,7.76,13.1,5.98
S,2003-03-31,Y,11.75,11.21,12.25,11.76,4.25,12.15,3.4,18,12.71,10.93,8.17,11.05,-5.95
S,2003-04-21,Y,11.27,10.23,10.98,10.22,-9.31,10.68,-5.23,25,12.51,10.22,11.0,12.05,6.92
S,2003-05-15,N,11.69,11.17,11.84,11.52,-1.45,11.73,0.34,1,12.51,11.52,7.01,12.05,3.07
S,2003-07-28,Y,15.19,14.46,15.19,14.6,-3.88,14.99,-1.31,18,15.19,13.55,-10.79,14.21,-6.45
S,2003-10-23,N,15.74,15.23,16.25,15.73,3.24,15.9,1.01,29,16.48,14.76,-6.22,15.38,-2.28
S,2003-12-18,Y,15.57,14.87,15.95,15.42,2.44,15.84,1.73,1,15.95,15.42,2.44,15.84,1.73
S,2004-02-03,N,18.0,17.14,18.19,17.82,1.05,17.95,-0.27,17,18.85,16.97,-5.72,18.3,1.66
S,2004-04-20,N,18.98,18.75,19.98,19.21,5.26,19.25,1.42,31,19.98,17.03,-10.27,17.94,-5.47
S,2004-07-21,Y,18.3,17.45,17.6,17.35,-5.19,17.47,-4.53,30,19.3,17.09,-6.61,19.02,3.93
S,2004-10-19,N,20.6,20.61,20.3,19.8,-3.88,19.95,-3.15,31,23.1,19.8,12.13,22.49,9.17
