Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SAGE,2014-11-13,Y,35.06,35.19,36.06,34.83,2.85,35.44,1.08,9,39.9,34.83,13.8,39.43,12.46
SAGE,2015-02-27,N,42.99,42.51,43.68,42.14,-1.97,43.45,1.07,21,55.01,41.72,27.95,53.38,24.16
SAGE,2015-05-14,N,57.29,57.95,61.39,53.57,7.15,58.29,1.74,1,64.98,53.57,13.42,58.44,2.0
SAGE,2016-02-24,N,32.11,31.37,31.39,28.97,-9.77,30.75,-4.23,23,37.49,28.26,16.75,31.58,-1.65
SAGE,2016-05-05,N,35.15,35.17,35.61,34.07,-3.1,34.79,-1.05,15,35.97,29.71,-15.5,31.21,-11.23
SAGE,2016-08-09,N,42.46,36.46,40.49,35.64,-16.06,36.86,-13.18,10,40.49,35.02,-17.52,36.45,-14.15
SAGE,2016-11-03,N,41.21,43.75,44.0,38.29,-7.08,38.71,-6.06,15,56.45,38.29,36.98,51.66,25.35
SAGE,2017-02-23,N,61.93,61.53,65.22,60.57,5.31,62.33,0.64,22,70.98,60.52,14.61,67.33,8.71
SAGE,2017-05-09,Y,66.03,67.03,67.03,63.54,-3.77,66.37,0.51,10,72.25,63.54,9.41,65.54,-0.74
SAGE,2017-08-03,Y,78.4,79.89,89.49,78.61,14.14,87.0,10.96,15,90.44,78.61,15.35,80.88,3.16
SAGE,2017-11-02,N,61.83,60.89,63.88,59.65,-3.52,62.56,1.18,16,99.8,59.65,61.41,85.68,38.57
SAGE,2018-02-22,N,163.86,167.33,171.43,150.3,-8.27,155.4,-5.16,23,181.0,150.3,10.46,172.22,5.1
SAGE,2018-05-03,N,146.6,142.94,149.72,142.1,-3.06,148.13,1.04,16,177.14,142.1,20.83,164.26,12.04
SAGE,2018-08-07,N,147.59,154.97,155.57,139.19,-5.69,151.2,2.44,11,155.57,139.19,-5.69,152.08,3.04
SAGE,2018-11-06,N,126.16,123.54,128.94,118.4,-6.15,128.26,1.66,11,136.24,102.45,-18.79,114.21,-9.47
SAGE,2019-02-19,N,160.93,162.0,162.0,149.52,-7.09,152.95,-4.95,28,162.0,145.21,-9.76,158.19,-1.7
SAGE,2019-05-02,N,166.76,162.01,168.55,160.08,-4.0,165.52,-0.74,16,172.54,160.08,-4.0,167.97,0.72
SAGE,2019-08-06,N,156.64,158.14,163.38,156.82,4.3,162.34,3.63,11,174.73,156.82,11.54,162.0,3.42
SAGE,2020-02-27,N,63.65,54.18,55.54,50.01,-21.42,52.01,-18.28,23,56.64,25.01,-60.7,26.6,-58.2
SAGE,2020-05-07,Y,40.76,38.5,41.22,37.51,-7.97,39.2,-3.82,8,41.22,33.82,-17.02,36.94,-9.37
SAGE,2020-08-10,N,50.7,51.28,54.13,48.59,6.76,53.31,5.14,14,54.32,48.59,7.14,51.29,1.16
SAGE,2020-11-05,N,78.55,75.5,81.0,75.47,-3.92,78.11,-0.56,16,82.23,72.46,-7.75,76.18,-3.01
SAGE,2021-02-24,N,80.24,79.84,87.85,78.28,9.48,85.04,5.98,24,88.51,68.23,-14.96,76.69,-4.42
SAGE,2021-05-04,N,78.96,77.04,77.89,70.83,-10.29,71.14,-9.9,18,77.89,69.32,-12.2,74.41,-5.76
SAGE,2021-08-03,N,43.37,43.62,44.41,40.82,-5.87,41.76,-3.71,18,44.68,39.77,-8.3,41.98,-3.2
SAGE,2021-11-02,N,42.37,41.4,43.67,39.12,-7.67,43.57,2.83,18,47.75,39.12,12.69,40.9,-3.46
SAGE,2022-02-24,N,32.61,31.0,35.03,31.0,7.42,34.71,6.43,23,37.98,30.48,16.46,34.69,6.37
SAGE,2022-05-03,N,32.6,32.3,33.32,31.82,-2.39,32.79,0.58,18,34.48,27.36,-16.07,32.53,-0.21
SAGE,2022-08-02,N,34.45,34.31,36.47,33.88,5.86,35.25,2.32,18,43.6,33.88,26.56,42.77,24.15
SAGE,2022-11-08,N,33.88,35.05,35.98,33.91,6.19,33.91,0.08,11,37.13,32.13,9.59,35.97,6.16
SAGE,2023-02-16,N,45.11,44.94,45.2,42.06,-6.76,45.06,-0.11,2,45.56,42.06,-6.76,45.52,0.9
