Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SATS,2008-02-26,Y,39.09,39.61,39.61,38.0,-2.78,38.75,-0.86,24,41.74,29.25,-25.17,31.04,-20.59
SATS,2008-05-13,Y,31.47,31.22,33.75,31.22,7.24,33.13,5.27,3,34.33,31.22,9.08,33.75,7.24
SATS,2008-08-04,Y,32.47,32.5,33.0,32.46,1.6,32.83,1.07,11,33.96,31.02,4.55,31.65,-2.55
SATS,2008-11-10,Y,18.05,17.76,18.13,17.32,-4.04,17.35,-3.87,11,18.13,13.0,-27.97,13.93,-22.82
SATS,2009-03-02,Y,14.94,14.96,14.96,14.53,-2.74,14.87,-0.46,18,15.67,13.28,-11.11,14.64,-2.0
SATS,2009-05-11,N,17.3,16.96,17.98,16.66,3.87,17.29,-0.11,4,17.98,15.34,-11.38,16.1,-6.99
SATS,2009-08-10,N,14.8,16.53,16.53,15.27,11.68,15.97,7.9,11,19.95,15.27,34.79,19.57,32.29
SATS,2009-11-09,Y,20.0,19.8,19.94,18.61,-6.95,19.57,-2.14,11,20.92,18.61,-6.95,20.14,0.74
SATS,2010-03-01,Y,19.62,19.57,19.64,19.12,-2.54,19.64,0.1,18,21.01,19.12,7.08,20.1,2.44
SATS,2010-05-10,Y,19.51,19.22,20.8,19.21,6.61,20.56,5.38,11,21.06,18.85,7.94,19.34,-0.87
SATS,2010-08-09,Y,19.64,19.46,19.95,19.12,-2.69,19.28,-1.88,11,19.95,18.16,-7.58,19.18,-2.39
SATS,2010-11-05,N,21.35,22.38,22.38,21.36,4.82,21.65,1.4,14,22.38,20.55,4.82,21.01,-1.59
SATS,2011-02-24,N,31.47,31.12,34.36,30.85,9.18,34.19,8.64,22,37.04,30.85,17.69,35.45,12.64
SATS,2011-05-02,N,37.08,35.09,36.11,34.6,-6.68,34.99,-5.63,18,36.11,31.76,-14.34,33.44,-9.81
SATS,2011-08-09,N,25.26,25.67,26.65,25.32,5.5,26.47,4.79,10,26.71,22.44,-11.16,22.6,-10.53
SATS,2011-11-07,Y,25.36,25.71,25.71,25.16,1.38,25.2,-0.63,11,25.71,22.45,-11.47,22.54,-11.11
SATS,2012-02-23,Y,30.95,31.0,31.0,30.59,-1.16,30.64,-1.0,22,31.0,28.28,-8.62,28.77,-7.04
SATS,2012-05-07,Y,28.04,27.56,28.01,27.44,-2.13,27.77,-0.96,11,28.76,26.62,-5.06,26.75,-4.6
SATS,2012-08-08,N,28.51,30.0,30.18,28.76,5.85,29.58,3.75,9,30.18,28.1,5.85,28.34,-0.59
SATS,2012-11-06,N,32.6,32.0,33.21,31.8,-2.45,33.03,1.31,10,33.21,29.82,-8.52,30.46,-6.56
SATS,2013-02-20,N,39.38,39.2,39.99,37.71,-4.24,39.54,0.43,23,39.99,37.2,-5.53,38.25,-2.86
SATS,2013-05-09,N,39.93,38.33,40.9,38.33,-4.0,40.15,0.57,8,40.9,37.51,-6.06,40.46,1.32
SATS,2013-08-06,N,41.38,38.5,44.0,38.5,-6.95,42.87,3.6,10,44.11,38.5,-6.95,42.16,1.88
SATS,2013-11-12,Y,49.6,48.31,50.86,48.31,-2.6,50.69,2.19,3,51.6,48.31,4.03,50.36,1.53
SATS,2014-02-21,N,47.91,46.45,47.11,43.41,-9.39,46.49,-2.96,0,47.11,43.41,-9.39,46.49,-2.96
SATS,2014-05-09,N,46.18,46.13,47.41,45.61,2.66,47.16,2.12,7,50.38,45.61,9.09,49.7,7.62
SATS,2014-08-07,N,50.6,51.83,51.83,48.61,-3.93,49.18,-2.8,8,51.83,47.96,-5.21,48.35,-4.44
SATS,2014-11-06,N,45.86,46.09,49.49,46.09,7.91,48.54,5.84,16,53.23,46.09,16.07,53.04,15.65
SATS,2015-02-20,N,54.37,56.0,56.0,54.38,2.99,55.31,1.72,0,56.0,54.38,2.99,55.31,1.72
SATS,2015-05-07,N,50.44,49.94,49.98,48.01,-4.81,49.03,-2.79,8,49.98,48.01,-4.81,49.13,-2.59
SATS,2015-08-06,N,47.17,46.69,47.55,45.96,-2.56,47.04,-0.27,15,47.55,43.39,-8.01,43.81,-7.12
SATS,2015-11-06,N,45.89,44.85,45.65,44.09,-3.92,45.3,-1.28,14,45.65,38.29,-16.56,39.42,-14.09
SATS,2016-02-24,N,38.02,38.4,43.1,37.78,13.36,42.64,12.15,23,46.27,37.78,21.69,45.03,18.43
SATS,2016-05-10,N,39.58,41.51,42.0,40.15,6.11,41.09,3.81,10,42.14,39.03,6.46,39.95,0.93
SATS,2016-08-09,N,38.63,40.34,41.0,38.74,6.13,39.22,1.55,10,41.0,36.59,6.13,38.56,-0.18
SATS,2016-11-08,N,46.05,46.5,47.24,44.49,-3.38,46.83,1.69,10,50.77,44.49,10.24,49.94,8.44
SATS,2017-02-24,N,55.24,55.02,57.28,53.96,3.69,56.25,1.82,21,57.28,51.54,-6.69,55.27,0.05
SATS,2017-05-10,N,58.61,59.2,59.27,56.85,-3.0,57.44,-1.99,10,59.27,55.65,-5.05,58.03,-0.98
SATS,2017-08-09,N,60.06,58.87,61.6,56.42,-6.06,56.87,-5.31,10,61.6,52.83,-12.03,56.94,-5.19
SATS,2017-11-08,N,53.88,55.25,58.0,55.25,7.64,56.95,5.69,10,60.1,54.61,11.54,59.87,11.11
SATS,2018-02-22,N,59.85,58.82,60.98,57.58,-3.79,57.71,-3.57,23,60.98,55.53,-7.21,57.68,-3.62
SATS,2018-05-10,N,51.45,52.4,52.4,50.7,1.84,51.86,0.79,9,54.23,50.42,5.4,50.52,-1.8
SATS,2018-08-07,N,45.58,46.64,48.9,45.64,7.28,48.0,5.3,11,49.32,45.64,8.2,48.32,6.01
SATS,2018-11-08,N,42.08,40.47,42.45,38.0,-9.69,38.21,-9.19,9,42.45,34.74,-17.44,42.0,-0.19
SATS,2019-02-21,N,43.65,41.23,41.93,38.4,-12.02,39.27,-10.03,23,41.93,36.8,-15.69,37.19,-14.79
SATS,2019-05-08,N,39.25,41.49,42.37,40.45,7.94,41.19,4.94,10,42.37,38.73,7.94,40.4,2.92
SATS,2019-08-08,N,43.13,41.64,42.7,39.77,-7.79,39.96,-7.34,9,42.7,38.42,-10.92,38.7,-10.27
SATS,2020-02-20,N,39.62,37.86,40.92,37.5,-5.35,40.05,1.08,2,40.92,37.5,-5.35,39.08,-1.36
SATS,2020-05-07,N,30.1,30.06,30.06,28.75,-4.48,29.44,-2.19,9,31.22,26.14,-13.15,27.09,-10.0
SATS,2020-08-06,N,29.92,31.52,31.94,30.3,6.75,30.75,2.77,16,32.42,28.93,8.35,29.03,-2.97
SATS,2020-11-05,N,23.12,23.99,24.8,22.53,7.26,24.44,5.7,16,27.0,22.53,16.78,24.02,3.89
SATS,2021-02-23,N,22.07,21.99,23.85,21.9,8.06,22.93,3.89,25,28.37,21.9,28.54,26.04,17.98
SATS,2021-05-06,N,23.47,24.2,26.2,24.0,11.63,26.14,11.37,16,28.05,24.0,19.51,26.02,10.86
SATS,2021-08-03,N,22.75,23.4,24.25,22.95,6.59,24.14,6.1,18,26.8,22.95,17.8,24.16,6.19
SATS,2021-11-09,N,26.1,26.2,27.71,25.86,6.16,26.96,3.29,11,30.9,25.86,18.39,28.68,9.88
SATS,2022-02-24,N,24.44,22.08,22.08,18.63,-23.77,21.13,-13.54,23,25.25,18.63,-23.77,25.11,2.74
SATS,2022-05-05,N,23.73,23.88,24.41,22.78,-4.0,22.97,-3.2,16,24.41,20.44,-13.86,21.87,-7.83
SATS,2022-08-04,N,20.49,19.75,20.55,19.75,-3.61,20.13,-1.75,16,21.04,19.34,-5.61,19.35,-5.56
SATS,2023-02-22,Y,17.71,18.52,20.42,17.73,15.3,20.1,13.49,23,21.06,17.73,18.91,18.18,2.65
