Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SBAC,2002-02-27,Y,2.23,2.54,2.58,2.27,15.69,2.4,7.62,16,6.0,2.27,169.05,4.13,85.2
SBAC,2002-05-06,Y,2.6,2.58,2.7,1.71,-34.23,2.35,-9.61,11,2.7,1.71,-34.23,2.04,-21.53
SBAC,2002-08-12,Y,1.3,1.47,1.63,1.45,25.38,1.5,15.38,4,1.91,1.31,46.92,1.85,42.3
SBAC,2002-11-05,Y,0.5,0.7,0.72,0.59,43.99,0.61,21.99,10,0.72,0.31,43.99,0.47,-6.0
SBAC,2003-03-24,Y,1.27,1.01,1.18,0.95,-25.19,1.12,-11.02,25,1.48,0.95,-25.19,1.2,-5.51
SBAC,2003-05-14,Y,2.2,2.27,2.5,2.25,13.63,2.37,7.72,2,2.5,2.25,13.63,2.46,11.81
SBAC,2003-08-11,Y,4.0,3.84,3.95,3.21,-19.75,3.32,-17.0,4,3.95,3.07,-23.25,3.19,-20.25
SBAC,2003-11-10,Y,3.82,3.7,3.75,3.27,-14.39,3.5,-8.37,11,3.8,3.2,-16.23,3.37,-11.78
SBAC,2004-02-26,Y,4.13,4.45,4.49,4.12,8.71,4.45,7.74,22,4.71,3.75,14.04,3.85,-6.77
SBAC,2004-05-06,Y,3.7,3.61,3.8,3.3,-10.81,3.39,-8.37,15,3.8,3.1,-16.21,3.45,-6.75
SBAC,2004-07-29,Y,4.49,4.68,5.03,4.58,12.02,5.03,12.02,22,5.6,4.55,24.72,5.23,16.48
SBAC,2004-10-29,Y,8.36,9.02,9.07,8.43,8.36,9.0,7.52,21,9.52,8.43,13.73,8.9,6.33
SBAC,2005-03-10,Y,9.25,9.15,10.13,9.0,9.51,10.06,8.75,8,10.13,9.0,9.51,9.27,0.21
SBAC,2005-05-02,Y,8.46,8.36,8.77,8.21,3.66,8.53,0.94,18,11.5,8.21,35.93,11.24,32.86
SBAC,2005-08-01,Y,16.25,15.75,15.84,14.79,-8.98,15.53,-4.43,18,15.84,13.7,-15.69,14.17,-12.8
SBAC,2005-11-07,Y,15.35,15.5,16.68,15.36,8.66,16.43,7.03,11,18.0,15.36,17.26,17.66,15.04
SBAC,2006-02-20,Y,21.99,21.97,22.65,21.77,3.0,22.35,1.63,25,24.25,20.87,10.27,23.86,8.5
SBAC,2006-05-08,Y,26.75,28.0,28.2,26.55,5.42,26.59,-0.59,11,28.2,21.16,-20.89,22.3,-16.63
SBAC,2006-08-03,Y,24.35,24.66,25.0,23.44,-3.73,23.53,-3.36,15,25.03,23.02,-5.46,24.36,0.04
SBAC,2006-11-06,Y,27.52,26.86,28.22,26.5,-3.7,27.74,0.79,11,28.27,26.24,-4.65,28.0,1.74
SBAC,2007-02-22,Y,29.95,29.8,30.39,28.71,-4.14,28.93,-3.4,22,30.39,25.76,-13.98,27.27,-8.94
SBAC,2007-05-07,Y,30.64,30.4,30.45,29.4,-4.04,30.12,-1.69,11,31.35,29.4,-4.04,30.6,-0.13
SBAC,2007-08-02,Y,33.97,33.43,34.04,31.73,-6.62,32.0,-5.82,15,36.45,28.14,-17.18,30.97,-8.85
SBAC,2007-11-01,Y,34.69,35.1,37.5,34.9,8.1,37.22,7.29,15,38.5,30.81,-11.18,34.35,-0.98
SBAC,2008-02-21,Y,29.57,30.33,32.43,30.27,9.67,32.2,8.89,29,33.72,26.57,14.03,28.4,-3.95
SBAC,2008-04-30,Y,32.34,32.29,34.07,32.08,5.34,33.51,3.61,16,36.1,32.08,11.62,35.77,10.6
SBAC,2008-08-04,N,37.68,36.42,36.75,34.4,-8.7,34.88,-7.43,11,36.75,34.1,-9.5,35.15,-6.71
SBAC,2008-10-30,Y,20.47,20.46,21.03,19.18,-6.3,20.99,2.54,22,21.63,9.49,-53.63,10.8,-47.23
SBAC,2009-02-26,Y,20.19,20.2,21.48,20.02,6.38,20.78,2.92,22,24.19,18.92,19.81,22.4,10.94
SBAC,2009-05-04,Y,25.0,24.45,25.51,23.22,-7.12,25.23,0.92,11,26.2,21.87,-12.51,22.2,-11.2
SBAC,2009-07-28,Y,26.78,26.25,26.4,25.26,-5.67,25.44,-5.0,24,27.01,23.85,-10.94,24.64,-7.99
SBAC,2009-10-29,Y,29.38,29.12,29.41,27.87,-5.13,28.21,-3.98,22,32.59,27.22,10.92,31.73,7.99
SBAC,2010-02-25,Y,35.44,35.59,35.59,33.57,-5.27,35.36,-0.22,22,36.92,33.57,-5.27,35.27,-0.47
SBAC,2010-05-04,Y,34.72,34.22,34.4,33.21,-4.37,33.68,-3.02,17,34.65,31.0,-10.73,32.03,-7.77
SBAC,2010-08-02,Y,37.15,36.28,37.11,35.9,-3.36,36.03,-3.01,18,37.32,34.94,-5.94,36.72,-1.13
SBAC,2010-10-28,Y,40.04,40.4,40.4,38.77,-3.17,39.26,-1.94,22,40.4,36.38,-9.14,38.4,-4.07
SBAC,2011-02-24,Y,42.44,42.35,42.99,42.15,1.29,42.37,-0.16,22,42.99,39.64,-6.59,40.6,-4.33
SBAC,2011-04-28,Y,39.86,39.2,39.57,38.43,-3.58,38.63,-3.08,22,39.57,37.09,-6.94,39.31,-1.37
SBAC,2011-08-01,Y,38.4,38.25,37.79,37.0,-3.64,37.67,-1.9,18,39.06,32.76,-14.68,33.97,-11.51
SBAC,2011-10-31,Y,38.09,36.69,39.49,36.47,-4.25,38.58,1.28,18,40.25,36.47,5.67,38.89,2.1
SBAC,2012-02-23,Y,46.96,44.83,47.25,44.83,-4.53,46.84,-0.25,22,50.44,44.83,7.41,49.94,6.34
SBAC,2012-04-30,Y,53.79,53.78,55.45,53.42,3.08,54.33,1.0,18,55.85,49.37,-8.21,49.88,-7.26
SBAC,2012-08-02,Y,58.46,58.75,61.84,58.71,5.78,59.19,1.24,15,61.84,58.71,5.78,60.51,3.5
SBAC,2012-11-05,Y,66.15,65.95,67.53,65.06,2.08,66.4,0.37,11,68.68,63.85,3.82,65.97,-0.27
SBAC,2013-02-21,Y,67.75,68.09,70.88,68.09,4.61,70.0,3.32,22,74.04,68.09,9.28,71.22,5.12
SBAC,2013-04-29,Y,77.87,79.09,79.98,77.83,2.7,78.98,1.43,18,82.31,77.83,5.7,80.78,3.73
SBAC,2013-08-01,Y,74.31,75.0,75.45,73.16,-1.54,73.38,-1.25,15,75.9,71.43,-3.87,71.64,-3.59
SBAC,2013-11-04,Y,87.73,90.0,92.13,88.02,5.01,90.96,3.68,11,92.21,88.02,5.1,90.0,2.58
SBAC,2014-02-25,Y,95.34,94.0,95.3,92.0,-3.5,92.79,-2.67,24,96.42,91.78,-3.73,91.89,-3.61
SBAC,2014-05-01,Y,90.56,93.75,98.15,92.0,8.38,94.89,4.78,15,101.06,92.0,11.59,100.19,10.63
SBAC,2014-07-24,Y,103.48,102.91,106.71,102.56,3.12,103.22,-0.25,22,111.73,102.56,7.97,108.57,4.91
SBAC,2014-11-04,Y,110.69,111.17,111.95,108.73,-1.77,110.41,-0.25,18,117.95,108.73,6.55,117.58,6.22
SBAC,2015-02-26,Y,120.0,120.98,125.0,119.33,4.16,124.71,3.92,22,126.65,117.6,5.54,122.56,2.13
SBAC,2015-04-23,Y,124.38,123.35,124.49,120.87,-2.82,121.18,-2.57,22,124.49,113.01,-9.14,118.16,-5.0
SBAC,2015-07-29,Y,116.81,116.3,118.98,114.4,-2.06,118.21,1.19,23,128.47,114.4,9.98,120.44,3.1
SBAC,2015-11-04,Y,117.63,101.51,110.55,101.12,-14.03,109.75,-6.69,16,110.55,101.12,-14.03,103.02,-12.42
SBAC,2016-02-25,Y,96.6,94.1,95.63,89.11,-7.75,94.66,-2.0,22,100.75,89.11,-7.75,99.17,2.66
SBAC,2016-05-02,Y,105.19,100.0,101.69,97.61,-7.2,99.03,-5.85,18,102.8,96.68,-8.09,97.3,-7.5
SBAC,2016-07-28,Y,112.48,114.95,115.2,111.81,2.41,115.0,2.24,22,117.67,110.76,4.61,113.21,0.64
SBAC,2016-11-01,Y,110.89,109.02,109.83,105.05,-5.26,107.43,-3.12,17,109.83,95.66,-13.73,100.75,-9.14
SBAC,2017-02-27,Y,112.79,112.5,116.7,111.77,3.46,115.77,2.64,18,118.38,111.77,4.95,115.65,2.53
SBAC,2017-05-01,Y,127.25,129.01,130.78,127.61,2.77,128.97,1.35,18,136.34,126.78,7.14,132.8,4.36
SBAC,2017-07-31,Y,137.55,135.1,138.84,134.5,-2.21,137.43,-0.08,18,144.81,134.5,5.27,142.9,3.88
SBAC,2017-10-30,Y,150.17,150.19,159.13,148.36,5.96,157.18,4.66,18,170.82,148.36,13.75,165.21,10.01
SBAC,2018-02-26,Y,172.73,161.82,170.0,160.51,-7.07,163.2,-5.51,18,171.38,151.43,-12.33,168.69,-2.33
SBAC,2018-04-30,Y,160.23,161.84,161.84,153.76,-4.03,157.5,-1.7,18,163.13,151.24,-5.61,157.69,-1.58
SBAC,2018-07-30,Y,158.21,158.25,160.88,156.39,1.68,158.25,0.02,18,162.66,154.08,2.81,157.82,-0.24
SBAC,2018-11-05,Y,166.62,169.11,170.0,164.76,2.02,166.21,-0.24,11,174.19,164.76,4.54,172.02,3.24
SBAC,2019-02-21,Y,182.66,181.49,184.63,179.35,-1.81,182.55,-0.06,22,191.27,178.57,4.71,190.95,4.53
SBAC,2019-04-29,Y,199.81,199.61,204.12,197.86,2.15,203.73,1.96,18,214.94,197.86,7.57,209.98,5.08
SBAC,2019-07-29,Y,236.98,248.86,249.05,238.18,5.09,248.43,4.83,18,261.73,238.18,10.44,260.29,9.83
SBAC,2019-10-28,Y,242.51,230.3,242.46,230.3,-5.03,238.68,-1.57,18,242.61,225.0,-7.22,237.26,-2.16
SBAC,2020-02-20,Y,292.13,292.43,309.85,287.38,6.06,295.65,1.2,1,309.85,287.38,6.06,295.65,1.2
SBAC,2020-05-05,Y,294.51,295.95,300.02,285.22,-3.15,288.35,-2.09,10,300.75,276.36,-6.16,284.1,-3.53
SBAC,2020-08-03,Y,305.39,311.56,319.92,307.13,4.75,310.31,1.61,18,319.92,294.57,4.75,305.44,0.01
SBAC,2020-11-02,Y,293.52,297.0,298.04,288.08,-1.85,291.01,-0.85,18,312.13,286.42,6.34,290.1,-1.16
SBAC,2021-02-22,Y,259.7,256.42,258.21,247.16,-4.82,248.79,-4.2,25,271.64,232.88,-10.32,266.07,2.45
SBAC,2021-04-26,Y,296.78,297.67,300.28,293.63,1.17,294.78,-0.67,25,301.62,281.45,-5.16,290.93,-1.97
SBAC,2021-08-02,Y,342.36,350.0,350.63,332.5,-2.88,346.02,1.06,18,364.22,332.5,6.38,362.16,5.78
SBAC,2021-11-01,Y,347.4,347.01,361.2,344.16,3.97,358.34,3.14,18,361.82,335.71,4.15,344.99,-0.69
SBAC,2022-02-28,Y,303.39,318.56,328.39,310.96,8.24,316.69,4.38,18,338.74,310.96,11.65,330.63,8.97
SBAC,2022-04-25,Y,359.94,379.99,379.99,349.95,5.57,351.2,-2.42,25,379.99,310.88,-13.63,326.62,-9.25
SBAC,2022-08-01,Y,332.85,345.0,345.14,335.8,3.69,338.17,1.59,18,356.59,335.8,7.13,344.49,3.49
SBAC,2022-10-31,Y,269.9,278.87,285.04,273.29,5.6,275.76,2.17,18,301.85,263.09,11.83,290.68,7.69
SBAC,2023-02-21,Y,272.79,267.12,269.35,256.03,-6.14,259.0,-5.05,24,269.35,239.14,-12.33,255.98,-6.16
