Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SD,2007-03-30,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SD,2007-05-15,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SD,2007-12-03,Y,31.2,32.0,32.0,30.5,2.56,31.65,1.44,18,36.44,30.5,16.79,34.7,11.21
SD,2008-03-03,Y,39.0,38.29,40.0,37.13,-4.79,39.61,1.58,18,41.05,35.85,-8.07,37.84,-2.97
SD,2008-05-09,Y,50.23,49.79,49.79,47.75,-4.93,48.29,-3.86,7,49.9,47.36,-5.71,48.33,-3.78
SD,2008-08-07,Y,45.35,44.3,44.71,36.42,-19.69,37.59,-17.11,8,44.71,30.05,-33.73,34.09,-24.82
SD,2008-11-06,Y,9.99,11.08,11.23,9.93,12.41,10.29,3.0,15,11.51,4.84,-51.55,7.71,-22.82
SD,2009-02-26,Y,6.58,7.04,7.11,6.2,8.05,6.76,2.73,22,7.11,4.49,-31.76,6.23,-5.31
SD,2009-05-07,Y,9.4,10.29,11.82,10.15,25.74,11.11,18.19,8,11.82,9.48,25.74,9.94,5.74
SD,2009-08-06,Y,9.61,10.03,10.9,9.4,13.3,10.87,12.99,15,13.02,9.4,35.34,12.99,35.03
SD,2009-11-05,Y,10.62,9.84,10.3,9.41,-11.39,10.16,-4.33,15,10.88,9.01,-15.16,9.19,-13.37
SD,2010-02-25,Y,8.4,7.92,7.94,7.66,-8.8,7.94,-5.47,22,8.31,7.24,-13.8,7.44,-11.42
SD,2010-05-06,Y,6.78,6.7,6.77,6.12,-9.73,6.25,-7.81,15,7.15,5.73,-15.48,5.96,-12.09
SD,2010-08-04,Y,6.07,5.47,5.64,4.97,-18.12,5.2,-14.33,16,5.64,4.09,-32.61,4.29,-29.32
SD,2010-11-04,Y,5.86,5.21,5.21,4.84,-17.4,5.16,-11.94,15,5.46,4.84,-17.4,5.26,-10.23
SD,2011-02-24,Y,9.18,10.19,10.54,9.83,14.81,10.53,14.7,22,11.47,9.71,24.94,10.63,15.79
SD,2011-05-05,Y,10.67,10.15,10.99,10.14,-4.96,10.36,-2.9,15,11.24,9.83,-7.87,10.45,-2.06
SD,2011-08-04,Y,9.76,9.03,9.1,6.95,-28.79,7.79,-20.18,15,9.1,6.45,-33.91,6.72,-31.14
SD,2011-11-03,Y,8.25,7.69,7.96,7.56,-8.36,7.86,-4.72,15,7.98,6.67,-19.15,7.13,-13.57
SD,2012-02-23,Y,8.24,8.44,8.82,8.36,7.03,8.81,6.91,22,8.98,7.55,8.98,8.47,2.79
SD,2012-05-03,Y,6.91,7.0,7.32,6.93,5.93,7.08,2.46,15,7.32,5.95,-13.89,6.08,-12.01
SD,2012-08-02,Y,6.58,6.5,6.62,6.17,-6.23,6.37,-3.19,15,6.88,6.17,-6.23,6.45,-1.97
SD,2012-11-08,Y,6.1,5.68,5.98,4.8,-21.14,5.51,-9.67,8,5.98,4.8,-21.14,5.34,-12.45
SD,2013-02-28,Y,5.7,5.25,5.57,5.05,-11.4,5.41,-5.08,15,6.2,5.05,-11.4,5.63,-1.22
SD,2013-05-07,Y,5.39,5.49,5.6,5.2,3.89,5.23,-2.96,10,5.6,5.01,-7.05,5.23,-2.96
SD,2013-08-06,Y,5.78,5.87,5.9,5.23,-9.51,5.26,-8.99,10,5.9,5.05,-12.62,5.21,-9.86
SD,2013-11-05,Y,6.51,6.63,6.66,5.92,-9.06,6.04,-7.21,10,6.66,5.75,-11.67,5.89,-9.52
SD,2014-02-27,Y,6.33,6.48,6.75,6.36,6.63,6.45,1.89,22,6.75,6.18,6.63,6.45,1.89
SD,2014-05-07,Y,6.73,6.86,6.95,6.47,-3.86,6.63,-1.48,9,6.95,6.47,-3.86,6.62,-1.63
SD,2014-08-06,Y,5.76,5.48,5.5,5.13,-10.93,5.19,-9.89,9,5.5,5.13,-10.93,5.18,-10.06
SD,2014-11-05,Y,3.69,3.63,3.65,3.3,-10.56,3.54,-4.06,17,4.2,3.3,13.82,4.01,8.67
SD,2015-01-08,Y,1.3,1.44,1.46,1.32,12.3,1.36,4.61,9,1.46,1.12,-13.84,1.18,-9.23
SD,2015-02-26,Y,1.89,2.06,2.08,1.75,10.05,1.77,-6.34,22,2.08,1.38,-26.98,1.64,-13.22
SD,2015-05-06,Y,1.77,1.69,1.7,1.59,-10.16,1.63,-7.9,9,1.7,1.18,-33.33,1.18,-33.33
SD,2015-08-05,Y,0.5,0.5,0.56,0.46,12.0,0.55,10.0,16,0.6,0.45,19.99,0.45,-9.99
SD,2015-11-04,Y,0.4,0.45,0.47,0.42,17.49,0.44,9.99,16,0.47,0.3,-25.0,0.3,-25.0
SD,2017-02-22,Y,21.61,17.8,18.05,17.42,-19.38,17.69,-18.13,23,20.64,17.11,-20.82,20.01,-7.4
SD,2017-05-10,Y,18.09,19.62,20.48,19.32,7.84,20.05,5.58,9,20.64,18.85,14.09,20.37,12.6
SD,2017-08-02,Y,18.79,17.41,17.75,17.14,-2.16,17.34,-1.08,16,19.22,17.16,-8.67,17.59,-6.38
SD,2017-11-01,Y,19.21,15.92,16.84,15.73,-22.66,16.25,-20.1,16,19.98,14.65,-23.73,16.57,-13.74
SD,2018-02-21,Y,15.64,14.53,14.68,13.97,-27.65,14.05,-27.23,23,16.5,13.94,-10.86,14.5,-7.28
