Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SE,2006-05-02,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SE,2006-08-03,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SE,2006-11-03,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SE,2007-04-02,Y,26.32,26.5,26.6,26.06,1.06,26.2,-0.45,18,27.01,25.49,-3.15,27.01,2.62
SE,2007-05-08,N,26.53,26.3,26.72,25.38,-4.33,26.14,-1.47,10,27.0,25.38,-4.33,26.8,1.01
SE,2007-08-06,N,24.78,24.66,24.75,22.05,-11.01,24.44,-1.37,11,25.0,21.24,-14.28,22.37,-9.72
SE,2007-11-06,N,25.88,25.85,26.34,25.18,-2.7,25.39,-1.89,10,26.34,24.05,-7.07,24.97,-3.51
SE,2008-02-06,N,22.67,23.39,23.41,22.71,3.26,23.25,2.55,9,23.9,22.71,5.42,23.13,2.02
SE,2008-05-06,N,25.85,26.74,27.0,25.97,4.44,26.7,3.28,10,27.44,25.97,6.15,27.3,5.6
SE,2008-08-06,N,27.41,27.7,27.72,26.52,-3.24,26.91,-1.82,9,27.72,25.4,-7.33,26.06,-4.92
SE,2008-11-06,N,18.17,18.28,18.48,17.0,-6.43,17.23,-5.11,15,18.48,13.36,-26.47,14.91,-17.94
SE,2009-02-05,N,14.69,14.4,15.14,13.8,-6.05,14.95,1.76,15,16.28,12.64,-13.95,13.09,-10.89
SE,2009-05-05,N,15.46,15.8,16.0,15.26,3.49,15.49,0.19,10,16.5,14.75,6.72,14.83,-4.07
SE,2009-08-04,N,18.77,18.72,18.88,18.48,-1.54,18.72,-0.26,17,19.45,18.0,-4.1,19.1,1.75
SE,2009-11-05,N,19.47,19.71,19.73,19.14,-1.69,19.34,-0.66,15,19.73,18.82,-3.33,19.1,-1.9
SE,2010-05-04,N,23.74,23.48,23.5,23.05,-2.9,23.24,-2.1,17,23.5,18.57,-21.77,19.68,-17.1
SE,2010-08-04,N,21.24,21.33,21.58,21.2,1.6,21.52,1.31,16,22.11,20.65,4.09,20.98,-1.22
SE,2010-11-03,N,24.16,23.95,24.02,23.63,-2.19,23.99,-0.7,16,24.77,23.51,-2.69,24.05,-0.45
SE,2011-02-03,N,26.33,26.36,26.53,26.06,-1.02,26.19,-0.53,15,26.57,25.51,-3.11,26.25,-0.3
SE,2011-05-03,N,28.71,28.55,28.63,27.78,-3.23,28.03,-2.36,17,28.79,26.65,-7.17,27.39,-4.59
