Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SGU,2002-01-31,N,19.5,19.5,20.39,19.2,4.56,20.2,3.58,15,20.98,18.5,7.58,18.89,-3.12
SGU,2002-04-30,Y,19.26,19.26,19.85,19.26,3.06,19.64,2.02,17,19.89,19.03,3.27,19.6,1.76
SGU,2002-08-01,N,18.13,18.0,18.14,17.89,-1.32,17.89,-1.32,15,18.14,15.8,-12.85,17.16,-5.35
SGU,2002-11-26,Y,17.7,17.72,17.8,17.51,-1.07,17.64,-0.28,24,18.8,17.51,6.21,18.23,2.99
SGU,2003-01-21,Y,20.19,20.3,20.34,20.05,0.74,20.05,-0.69,31,20.78,18.5,-8.37,19.39,-3.91
SGU,2003-04-30,Y,20.98,21.0,21.2,20.98,1.04,21.16,0.85,16,21.5,20.48,2.47,21.05,0.33
SGU,2003-08-06,N,22.85,22.65,22.8,21.85,-4.37,22.4,-1.96,9,22.8,20.86,-8.7,21.37,-6.47
SGU,2003-12-04,N,23.4,23.45,23.45,23.45,0.21,23.45,0.21,15,24.4,23.3,4.27,24.11,3.03
SGU,2004-01-29,N,24.96,24.68,24.68,24.68,1.12,24.68,-1.12,22,25.04,23.62,-5.36,24.79,-0.68
SGU,2004-04-29,N,23.9,23.1,23.1,23.1,3.34,23.1,-3.34,22,23.27,19.55,-18.2,21.37,-10.58
SGU,2004-07-29,N,23.69,23.2,23.31,21.5,-9.24,21.81,-7.93,22,23.31,19.6,-17.26,20.89,-11.81
SGU,2005-02-09,Y,4.45,4.45,4.59,3.78,-15.05,3.8,-14.6,9,4.59,3.5,-21.34,3.75,-15.73
SGU,2005-05-06,N,2.37,2.59,3.58,2.5,51.05,3.4,43.45,14,4.5,2.5,89.87,3.34,40.92
SGU,2005-08-09,N,3.56,3.9,3.9,2.9,-18.53,3.2,-10.11,10,3.9,2.5,-29.77,2.77,-22.19
SGU,2005-12-13,Y,1.95,1.95,2.0,1.87,-4.1,1.89,-3.07,3,2.0,1.67,-14.35,1.68,-13.84
SGU,2006-02-06,N,2.76,2.82,3.0,2.35,-14.85,2.41,-12.68,11,3.09,2.2,-20.28,2.9,5.07
SGU,2006-05-09,N,2.8,2.88,2.93,2.73,4.64,2.75,-1.78,10,2.93,2.45,-12.49,2.53,-9.64
SGU,2006-08-09,N,2.45,2.52,2.52,2.27,-6.93,2.4,-2.04,9,2.52,2.17,-11.42,2.29,-6.12
SGU,2006-12-15,N,2.58,2.7,2.86,2.59,10.85,2.79,8.13,0,2.86,2.59,10.85,2.79,8.13
SGU,2007-02-09,N,3.99,3.99,4.0,3.65,-8.52,3.73,-6.51,7,4.0,3.65,-8.52,3.84,-3.75
SGU,2007-05-10,N,4.22,4.3,4.88,4.28,15.63,4.49,6.39,8,4.88,4.12,15.63,4.7,11.37
SGU,2007-08-09,N,3.95,4.05,4.38,3.99,10.88,4.09,3.79,8,4.38,3.7,10.88,4.05,2.78
SGU,2007-12-07,N,3.82,3.52,4.05,3.52,-7.85,3.97,3.92,14,4.11,3.52,-7.85,3.78,-1.04
SGU,2008-02-07,N,3.9,3.85,4.0,3.41,-12.56,3.59,-7.94,8,4.0,3.16,-18.97,3.28,-15.89
SGU,2008-05-07,Y,2.93,2.93,3.01,2.87,2.73,3.0,2.38,9,3.48,2.86,18.77,3.32,13.31
SGU,2008-08-06,Y,2.45,2.29,2.58,2.04,-16.73,2.54,3.67,9,2.69,2.04,-16.73,2.54,4.08
SGU,2008-12-10,Y,2.21,1.86,2.37,1.86,-15.83,2.15,-2.71,9,2.37,1.86,-15.83,2.13,-3.61
SGU,2009-02-04,Y,2.4,2.45,2.73,2.4,13.75,2.52,5.0,16,2.73,2.38,13.75,2.62,9.16
SGU,2009-05-08,Y,3.17,3.19,3.22,3.08,-2.83,3.14,-0.94,7,3.45,3.08,8.83,3.4,7.25
SGU,2009-08-05,Y,3.46,3.46,3.67,3.46,6.06,3.49,0.86,16,3.67,3.01,-13.0,3.48,0.57
SGU,2009-12-09,Y,3.86,3.85,3.95,3.82,2.33,3.89,0.77,9,3.95,3.75,-2.84,3.9,1.03
SGU,2010-02-03,Y,4.17,4.08,4.18,3.97,-4.79,3.98,-4.55,16,4.46,3.95,6.95,4.42,5.99
SGU,2010-05-10,Y,4.32,4.32,4.4,4.3,1.85,4.37,1.15,11,4.4,4.17,-3.47,4.34,0.46
SGU,2010-08-03,Y,4.36,4.42,4.42,4.34,1.37,4.38,0.68,17,4.48,4.34,2.75,4.34,-0.22
SGU,2010-12-09,Y,5.29,5.24,5.36,5.03,-4.91,5.21,-1.51,8,5.51,5.03,-4.91,5.51,4.15
SGU,2011-02-07,Y,5.41,5.37,5.45,5.27,-2.58,5.36,-0.92,11,5.63,5.09,-5.91,5.5,1.66
SGU,2011-05-04,Y,5.55,5.55,5.67,5.51,2.16,5.53,-0.36,16,5.69,5.27,-5.04,5.48,-1.26
SGU,2011-08-03,Y,4.34,4.33,4.34,4.19,-3.67,4.2,-3.44,16,4.47,3.86,-11.26,4.3,-0.91
SGU,2011-12-07,Y,4.28,4.23,4.29,4.13,-3.5,4.18,-2.33,9,4.29,4.05,-5.37,4.11,-3.97
SGU,2012-02-07,Y,3.83,3.73,3.85,3.73,-2.61,3.83,,10,3.99,3.64,-4.96,3.93,2.61
SGU,2012-05-07,Y,3.3,3.37,3.37,3.26,2.12,3.32,0.6,11,3.56,3.2,7.87,3.36,1.81
SGU,2012-08-06,Y,3.76,4.0,4.0,3.65,6.38,3.67,-2.39,11,4.0,3.62,6.38,3.92,4.25
SGU,2012-12-10,Y,3.69,3.66,3.73,3.66,1.08,3.73,1.08,11,3.77,3.64,2.16,3.73,1.08
