Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SIMO,2005-07-28,Y,11.28,11.15,11.26,10.44,-7.44,10.44,-7.44,22,11.35,9.82,-12.94,10.07,-10.72
SIMO,2005-10-27,Y,13.43,13.1,13.44,12.14,-9.6,13.24,-1.41,22,15.89,12.14,18.31,14.32,6.62
SIMO,2006-01-25,Y,13.69,14.9,15.5,14.26,13.22,15.39,12.41,23,17.45,14.26,27.46,15.94,16.43
SIMO,2006-04-28,Y,14.88,14.88,15.0,14.63,-1.68,14.76,-0.8,21,15.89,13.55,-8.93,14.7,-1.2
SIMO,2006-07-27,Y,12.87,13.22,13.8,13.21,7.22,13.34,3.65,22,14.09,12.98,9.47,13.98,8.62
SIMO,2006-10-26,Y,15.8,17.0,17.02,15.4,7.72,15.4,-2.53,22,17.02,14.41,-8.79,15.9,0.63
SIMO,2007-02-01,Y,19.0,19.6,20.14,19.3,6.0,19.94,4.94,15,21.97,19.3,15.63,21.93,15.42
SIMO,2007-04-26,Y,24.69,26.27,26.85,22.18,-10.16,22.75,-7.85,22,26.85,19.92,-19.31,21.61,-12.47
SIMO,2007-07-30,Y,22.65,20.0,20.9,18.25,-19.42,18.3,-19.2,18,20.9,16.6,-26.71,17.17,-24.19
SIMO,2007-10-30,Y,21.7,23.2,26.1,22.8,20.27,25.0,15.2,17,26.1,19.63,20.27,20.49,-5.57
SIMO,2008-01-31,Y,15.4,17.55,17.62,15.4,14.41,16.05,4.28,15,17.62,15.1,14.41,15.22,-1.16
SIMO,2008-04-29,Y,15.75,16.98,17.54,16.71,11.36,17.43,10.66,17,19.11,16.48,21.33,18.88,19.87
SIMO,2008-07-29,Y,11.0,8.07,8.07,6.75,-38.63,6.8,-38.18,17,8.25,6.75,-38.63,8.08,-26.54
SIMO,2008-10-30,Y,3.45,3.5,3.81,3.31,10.43,3.48,0.86,22,3.82,1.99,-42.31,2.06,-40.28
SIMO,2009-02-05,Y,2.45,2.63,2.66,2.46,8.57,2.52,2.85,15,2.66,2.19,-10.61,2.23,-8.97
SIMO,2009-05-11,Y,3.54,3.5,3.59,3.26,-7.9,3.32,-6.21,4,3.59,3.01,-14.97,3.06,-13.55
SIMO,2009-07-29,Y,3.93,3.95,3.95,3.61,-8.14,3.73,-5.08,23,3.95,3.19,-18.82,3.36,-14.5
SIMO,2009-10-29,Y,3.61,3.77,3.78,3.32,-8.03,3.5,-3.04,22,3.78,2.89,-19.94,2.95,-18.28
SIMO,2010-02-01,Y,3.2,2.9,3.02,2.64,-17.5,2.88,-10.0,18,3.08,2.64,-17.5,3.0,-6.25
SIMO,2010-04-29,Y,5.48,5.75,5.75,5.35,4.92,5.44,-0.72,22,6.45,4.8,17.7,5.29,-3.46
