Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SLS,2018-05-11,Y,5.55,5.6,5.69,5.47,2.52,5.61,1.08,7,5.7,5.38,-3.06,5.58,0.54
SLS,2018-08-14,Y,1.08,1.02,1.06,0.92,-14.81,0.94,-12.96,3,1.06,0.89,-17.59,0.89,-17.59
SLS,2018-11-15,N,1.95,1.82,1.82,1.65,-15.38,1.68,-13.84,2,1.82,1.62,-16.92,1.65,-15.38
SLS,2019-04-11,Y,1.07,1.05,1.08,1.04,-2.8,1.04,-2.8,7,1.08,0.95,-11.21,0.96,-10.28
SLS,2019-05-15,N,0.85,0.89,0.94,0.84,10.58,0.85,0.0,3,0.94,0.78,10.58,0.8,-5.88
SLS,2019-08-14,Y,0.15,0.17,0.18,0.15,20.0,0.16,6.66,2,0.18,0.15,20.0,0.16,6.66
SLS,2020-03-19,Y,1.73,1.83,1.87,1.66,8.09,1.72,-0.57,1,1.87,1.66,8.09,1.72,-0.57
SLS,2020-05-14,N,2.77,2.8,3.12,2.74,12.63,2.87,3.61,2,3.12,2.74,12.63,2.86,3.24
SLS,2020-08-13,Y,3.28,3.04,3.1,2.86,-12.8,2.92,-10.97,8,3.1,2.43,-25.91,2.48,-24.39
SLS,2020-11-12,Y,2.59,2.57,2.63,2.47,-4.63,2.63,1.54,8,3.2,2.47,23.55,3.12,20.46
SLS,2021-05-13,Y,7.61,8.13,8.5,7.89,11.69,8.15,7.09,8,10.45,7.89,37.31,9.75,28.12
SLS,2021-08-12,Y,9.91,10.05,10.82,9.74,9.18,10.07,1.61,8,10.82,8.15,-17.75,8.68,-12.41
SLS,2021-11-12,Y,7.18,7.18,7.7,7.11,7.24,7.47,4.03,7,7.7,6.78,7.24,7.01,-2.36
SLS,2022-03-31,Y,6.68,4.22,4.25,4.0,-40.11,4.15,-37.87,14,4.25,3.22,-51.79,3.52,-47.3
SLS,2022-05-12,Y,2.41,2.39,2.72,2.3,12.86,2.66,10.37,8,3.7,2.3,53.52,3.46,43.56
SLS,2022-08-11,Y,3.19,3.1,3.19,2.87,-10.03,3.1,-2.82,8,3.4,2.87,-10.03,3.25,1.88
SLS,2022-11-14,N,4.55,3.11,3.2,2.48,-45.49,2.55,-43.95,7,3.2,2.12,-53.4,2.6,-42.85
SLS,2023-03-30,N,1.25,1.27,1.41,1.26,12.79,1.38,10.39,23,1.74,1.26,39.2,1.4,11.99
